Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,dc36da361b371b370d380e38e038e3385d385c38e736e63650375237d636d636,db36dd361f371e37d236d236a136a036a936a836ca36cc3610371137e036e136,eaffcafff4ffe4fff8ff1800e2fed2fe6c4e9c4ef4f024f112b1c4b1980d180d,1200e0fff8fff8fff6ffd6ff0e00fefffeffeeff100000001e00c0fffeff1e00
1,1,0,db36da361b371c370c380c38de38dd385b385c38e636e83652375037d836d936,da36de3622372137d236d336a336a336a636a736a736cb3612371137e136df36,caffeaff1400e4ff28000800e2fe02ff6c4e5c4ea4f084f074b1c4b1b80dd80d,0200c0fff8ff1a000800e6ff0e00fefffeff0c0010001000d0ffd0ffdeff1e00
2,2,0,db36dc361b371b370e380d38e138e03859385b38e736e73650375137da36d836,da36db3621372037d136d236a136a236a736a536cd36cc3611371137e136e136,caffeaff0400f4ff0800080012fff2fe6c4e5c4eb4f074f0b4b1a4b1860e180e,020002000a00e8ffe6ff1800feff9effdeffeeff0000e2ff0e00d0fffeff0e00
3,3,0,da36da361b371a370e380e38e038e6385b385f38e636e43650374f37d836d836,dd36da3621372037d336d336a236a136a636a736cb36cb3611371237e036e236,daffbaffe4ff0400f8ff1800e2fec2fe8c4e5c4e32f062f012b1b4b1560e460e,f0ff0200e8fff8ff18000800fefffefffefffeff10001000c0ffa2ff1e00deff
4,4,0,dd36db361b371c370d380f38e338e4385e385b38e536e53652372c37d636d536,dc36db3621372137d236d336a336a236a736a836cd36cb3611371237e036e036,daffbaffe4ff140008000800c2fe02ff6c4e5c4e62f062f0e4b1b4b1b80d360e,1200f0ff0a000a000800f6fffefffefffeffeefff2ff00001e00c0ff0e001e00
5,5,0,db36dc361c371d370e380c38e538e1385c385b38e536e53650375037d836d936,db36db3621371f37d236d236a236a436a736a836cb36cb3611371037e136e036,daffdaffe4ffe4fff8ff1800d2fec2fe5c4e4c4ef2efe2efd4b1f4b1e60e860e,c0ff0200e8ffe8ffe6ff08000e00feff0c00feff1000f2ffb0ff0e000e00feff
6,6,0,dd36dc361e371c370c380d38e538e3385f385e38e636e7364f375037d636d836,de36dd3621371e37d336d236a136a336a836a836cc36cb3612371037e036e036,eaffeaffd4fff4ff18001800e2fef2fe3c4e3c4eeaeeb2efd4b1e4b1460fa80e,e0ffe0ff0a00f8fff6ffe6ff0e00eeffdeff2c00f2fff2ff2e000e000e001e00
7,7,0,db36db3618371c370e380e38e638e2385e385a38e536e6362c375237d736d736,d936db3621372137d136d236a1369f36a836a636cd36cc36ec361237e236e036,baffeaffe4ffe4ffe8ff0800b2fe02ff2c4e3c4efaeec2ef04b224b2ea0f160f,02000200f8fff8ff2800e6fffefffeff0c00fefff2fff2ff0e0000002e00feff
8,8,0,da36db361b371b370d380d38e038e3385b385d38e536e43651372d37d436d936,db36db3620372137d436d036a236a236a736a636a836a73611371337e036e036,daffdafff4ffe4ff0800f8ff12ffc2fe2c4e2c4eaaeecaeed4b1d4b1880f380f,c0ffd0ff0a00f8ffe6ff38001e000e00eeff0c000000e2ffc0ffc0ffeefffeff
9,9,0,db36db361c371c370e380e38df38e03856385f38e536e3362c375337d536d736,db36db361f372137d136d236a136a236a736a636cb36cc36ed361237df36e236,daffdaffd4ff040008000800d2fee2fe4c4e0c4edaeeaaeef4b144b24a10980f,22000200e8ff0a000800f6ffeeffeeff1c000c00f2ff00000e00d0fffeff0e00
10,10,0,d836db361c371d370e380b38e138df385a385d38e536e53652375237d936d836,dd36dd3621372137d236d136a336a136a836a636cb36cc3611371337df36df36,daffaaffe4ffe4ff08001800d2fe12ff5c4e0c4e7aeecaeef4b124b21a10fa0f,0200f0ff0a00f8fff6fff6ffdeffeeff0c001c00f2ffe2ff000092fffefffeff
11,11,0,db36dd361d371e370d380e38e438df385c385c38e536e53652372c37d636d736,db36da3621372137d336d436a136a036a636a636cd36cc3613371137e236e036,caffbaff1400f4ff18000800d2fe02ff1c4e3c4e5aee7aeee4b1f4b12a10da0f,220012001a000a00f6ff0800eeff0e00ceff0c002e00f2ffb0ff0e00feffeeff
12,12,0,dc36dc361c371c370e380e38de38e1385e385b38e436e43650375137d536d736,da36db3622371f37d236d336a236a636a836a936a636cb3610371137e036de36,eaffeaff0400d4fff8ff2800b2fe12ffec4d0c4e5aee1aee34b214b2aa104a10,e0ff1200e8fff8ff18001800fefffeff1c001c00d4ffe2ffb0ffd0ff0e000e00
13,13,0,dd36dd361e371c370d380c38e338e2385e385c38e636e63652372c37d736d936,dc36dd3620371e37d236d136a036a136a636a636a736cc3613371237e036e136,baffcafff4ffe4ff28001800b2feb2fefc4dfc4d0aee4aee34b214b2aa103a10,f0ff2200f8ffd8ff08002800feffaefffeffdefff2ff0000c0ff00000e00eeff
14,14,0,dc36db361e371b370e380c38e238e1385f385b38e536e53651375137d736d836,db36db3621371f37d336d236a236a336a836a836a636cd3611371137e236e236,daffaaff1400040008001800f2fee2fefc4dfc4dc8ed2aee14b244b27a109a10,c0ff22001a00e8ff2800f6ffeeffeeff2c000c00d4ff1000b0ff0e000e00feff
15,15,0,dc36db361d371a370f380e38e338e1385b386038e636e63651372c37d736d636,d936db3620372037d036d436a236a036a636a536cc36ce3612371337e236e136,daffdaff0400f4ff18000800c2feb2fecc4dec4da8edc8ede4b144b2aa10ba10,c0ff2200f8ff1a00f6ff28002e00feff1c000c0020002000d0ff0e000e00eeff
16,16,0,dc36d9361b371d370f380f38e538e1385d385e38e736e53650375037d736d436,dd36da3621372037d136d336a236a036a736a836cc36cc36ed361237e136df36,caffbaffe4ffe4ff08001800d2fee2feec4dec4d34ed14ed24b214b2da10da10,120032000a00f8ff0800f6ff0e00feffceffdeff000000001e00c0ff0e001e00
