Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,db36dd361a3719370b380d38db38db3859385638e636e63650372d37d936d736,dc36dd361e372037d536d436a736a536a936aa36cd36ce36ed361137de36df36,c82ee82e80c1c0c134d1c4d05a3e4a3e1e000e00f0ff2200fcff38003600e6ff,0000e2ff0400140014001400040004000800e6ff48002800faffcaff06000600
1,1,0,db36dd361c371b370b380c38db38db3855385738e736e4364f375037d836d836,dc36dd361f372037d436d536a636a436a736ab36ce36cf36ec361337e036e036,782ec82e80c1b0c1f4d0c4d17a3eaa3efcfffcff22000200ecff0a00c6ffd6ff,0000d4ff04000400f4ff1400f4ff0400f6fff6ff08001800faffdaff16000600
2,2,0,df36dd361b371b370c380b38df38db3855385938e636e4362a375037d736d936,dd36dd361e371e37d236d436a636a536a736a836cd36cc36ec361137e136e136,482e682e70c1b0c144d144d1aa3e8a3efcffecff02001200280056003600e6ff,e2ffe2ffd0ffe2ff04000400040004001800d6ff38001800acffeaff06000600
3,3,0,df36dc361a3718370a380c38d838db3856385838e636e3362b372c37d936d836,dc36d93621372137d436d436a536a336a736a936cc36cd36ed361137e036e136,d82d382e80c180c164d124d2ca3e9a3e1e000e0032001200fcffceff2600e6ff,e2fff2fff2ff14000400f4ff240024001800f6ff08002800daffbcff26001600
4,4,0,dd36db361a371a370e380d38de38de3854385738e636e3362a375137da36d836,dd36dc361f371f37d336d436a636a436a836a736ce36cd3610371137df36e136,f82d082e30c170c1c4d1b4d1ca3eba3e0e002e000200f0ffbeff6600d6ffe6ff,0000f2ffe2ff14000400f4ffe4ff0400f6fff6ff18000800bcffacff26000600
5,5,0,dd36de3619371b370c380a38db38da3853375638e636e4362c372b37d836d736,dd36db361e372037d336d336a636a636a936a836ce36ce3611371037e236e136,a82d282ef0c0f0c0b4d154d21a3f2a3f0e00fcff32002200dcffceff2600d6ff,1000f2ff040004000400f4ff0400f4fff6fff6ff18001800daffacff06000600
6,6,0,dd36de361c371b370d380c38dc38d93856385638e636e5364f372d37d836d936,dd36db361f371f37d336d336a436a636a736a736ce36cd36ed36ec36e136e036,a82d582d30c1d0c004d2e4d1fa3eea3efcff0e0052000200dcffdcfff6ffe6ff,f2ffe2ff040014000400f4ff0400e4fff6fff6fff6fff6ffdafffaff2600f6ff
7,7,0,dc36dd361a371c370a380c38dd38dc3855375838e636e53650375037d836d936,dd36db361e371e37d436d436a536a536a936a736ce36ce3610371137e036e036,582d882dc0c0d0c076d2b6d27a3f6a3ffcff1e001200f0fffcffceffe6ffd6ff,d4fff2ff04000400f4ff1400240014000800e6ff08002800faffdaff26002600
8,8,0,dd36de361b371b370d380a38df38dd3856385437e536e4364f374f37d636d836,da36da361f371f37d336d536a536a636a736a836ce36ce3610371037e036e136,082d582d80c0d0c086d2a6d27a3f6a3f0e001e0002000200dcffdcff16001600,20001000f2fff2ff140014001400f4ff0800180008000800eaffdaff06000600
9,9,0,dd36dd361a371b370a380a38db38da3857385538e536e5362c375037da36d636,dd36dc361f371f37d336d436a536a436a736a636cd36cd361337ed36e236e036,f82c182d60c090c0a6d256d3ba3f7a3f3e000e0022000200fcff5600e6ff1600,f2fff2fff2fff2ff040024000400f4fff6ff08002800e6ffdaffcaff16000600
10,10,0,dc36de361a371a370c380d38db38de385a385538e436e4362a375137d736d936,dd36db361e371e37d336d436a536a636a836a836ce36cb3611371037df36df36,d82cc82c40c060c066d3a6d2ba3fba3ffcff1e0012000200fcffceffd6ff2600,e2fff2ff0400f2fff4fff4fff4fff4ff180008004800f6ffcaffeafff6ff0600
11,11,0,dd36de361a371a370c380c38da38db3856385738e636e4362b372c37d836d736,db36db361d371f37d436d336a436a636a936a636cd36ce3610371137e036e136,f82bc82c30c040c0c6d286d3aa3ffa3ffcff0e0002001200ecfffcff16003600,0000e2ff0400f2ff0400f4fff4ff0400f6ff080028001800bcfffaff2600f6ff
12,12,0,dd36dd361b371d370a380c38de38de3858385638e636e6362b374f37d836da36,dd36dc361f372037d436d336a636a736a936a836ce36ce360f371237e136e036,382c982c20c010c046d3a6d33a404a40fcff1e0002001200fcff0a002600d6ff,e2ffe2ff0400d0ff140004000400e4ff0800f6fff6fff6ffdaffeaff06000600
13,13,0,dd36dd361b371a370c380c38da38e13857385638e536e6362b375037d736d736,dc36dc361f371d37d436d436a536a636a836a836ce36ce3611371137e136e236,182c082cbebf20c006d406d43a40da3ffcff1e002200220038004800d6ffe6ff,0000c4fff2fff2ff24000400f4ff1400280008002800e6ffbcffcafff6fff6ff
14,14,0,dd36df361b371b370d380c38dc38d93855385938e436e7362b375037da36d736,dd36da361f371e37d336d336a336a536a936a836ce36cd36ed36ec36e036e236,c82bf82bcebfbebf36d4c6d38a402a401e001e0002000200fcfffcffe6ffe6ff,0000d4ff0400f2ff0400f4ff2400f4ff0800f6ff08001800caffdaff16001600
15,15,0,de36da361a371b370b380c38d638da3858385638e636e53651372c37db36d936,db36dd361e371e37d336d236a736a536a936a936ce36cd3610371137e136e036,082c182cdebfdebf06d436d45a407a401e002e0002002200dcfffcff2600e6ff,f2fff2ff0400f2ff04001400f4ff0400f6ffe6ff18004800eaffbcfff6ff0600
16,16,0,df36de361a371c370d380c38d738d8382e375738e336e7364f374f37d736d836,dc36dd361e371f37d536d336a536a136a936a736ce36ce36ec361137e136e036,a82b082caebfaebfc6d3c6d378409840fcff1e00f0ff0200fcfffcffe6ffe6ff,00000000e2ff040024001400f4ffe4fff6ff1800f6ff3800caff08002600f6ff
17,17,0,de36dc3618371a370c380b38d838dc3854385638e536e5362c375037d736d636,dd36dd361e371e37d436d636a536a436a936a736cd36d13610371137df36df36,782b882b8ebf8ebf46d476d4e840a840dcffecff22004200fcffceffe6ffe6ff,10000000f2ffd0ff0400f4fff4fff4fff6ff08002800f6ffdaffdaffe6ff0600
18,18,0,dd36df361b371a370a380e38d938de3856385538e636e5362b372c37d736d636,dc36db3620371f37d436d336a536a536ab36a936cd36ce3611371037e036e036,482b782b7ebf7ebf76d436d49840d8400e001e0032003200ceff4800e6ff3600,f2ffe2ff0400e2fff4fff4fff4ff14000800080028000800eaffacff06002600
19,19,0,de36dd361a3719370a380b38db38dd3857385538e436e5362b374f37d836d936,db36db361e371f37d436d436a436a536a936a936cd36cd36ec361137e036e236,282b382b3ebf5ebf86d436d5c840c8400e002e0012001200fcff0a00d6ffe6ff,1000e2ff0400e2ff2400e4ff04001400f6fff6ff08000800caff1800f6ffe6ff
20,20,0,df36de361a371b370c380c38d838d93856385738e636e3362c372c37d936d936,da36db361e371d37d436d436a636a536ab36a936ce36ce3610371137e036df36,f82af82adebedebe26d596d4e840f8400e00fcff0200420038003800f6ffd6ff,e2ff0000f2fff2fff4ff040024000400e6fff6ffe6ff2800eaffdaffe6ffd6ff
