Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,de36dc361c371b370d380d38e038db3859385a38e736e43651375137d736d836,db36dc361f371e37d236d436a336a336a436aa36a836cb3612371137df36e036,dd36df36da36db36dd36dd36d236d336de36df3615381538ea36ea360b370b37,14000400e2fff2ff20001000280008008cbdacbdecb74cb79e42b04156481648
1,1,0,dd36dd361b371a370c380e38e038df3859385638e736e53650375137da36d936,da36dc361e371e37d236d336a136a436a836a736cb36cc3611371137df36e036,df36de36db36d936db36db36d436d336df36df3617381838e436ec36e736e436,26001400e2ffe2ff00001000380028008cbdbcbdbcb7ecb72042be42a6474648
2,2,0,dd36db361b3718370c380c38dc38df3859385638e736e53650375137d836da36,dd36da3620371f37d436d336a336a136a736a836cc36cc3613371237df36e036,dd36de36dc36d936dd36dc36d136d036e136e13615381738e636e936e436e636,d0fff2fff2ff1400deff00001800a6ff9cbd6cbdacb71cb83e427e42e647f647
3,3,0,df36e03619371c370c380d38e038df385b385a38e736e63652375237da36d736,da36da3620371f37d336d336a136a336a736a836cc36ca3613371137e136df36,de36dd36d936d936dc36de36d236d036e036e23611371738e936ed360b37e836,04000400e2ffe2ff20001000080018005cbd3cbd3cb85cb8de421e43a6470648
4,4,0,dd36db361d371c370f380f38e338e13859385638e636e73652372b37d936d936,db36db3621371f37d236d436a336a236a736a936cc36cb3611371037e436e136,dd36de36da36da36db36db36d436d236e036e03610371638ea36ec36e836e736,d0ffe2ffd2fff2ff32002000080008009cbc5cbd2cb83cb8ee42fe42b647b647
5,5,0,de36dd361c371c370c380e38de38e03857385738e536e73652375237d736d936,db36db361f371e37d136d336a236a036a736a636cb36ca3612371137e136e136,de36dd36d936d836db36dd36d136ce36e136df3616381738ea36eb36e7360c37,f2fff2ff1400e2ffeeff0000280096ffbcbc2cbd8cb86cb82e438e4376473647
6,6,0,de36dc361d371b370d380b38e038e1385b385638e536e73652375137d836d636,dd36db3620371e37d136d336a336a336a936a636cc36cc3613371237e036e136,de36de36d936db36db36db36d136cf36df36e13615381538eb36e936e736e736,2600260004002400eeff100008002800dcbcdcbc9cb8bcb81e430e4346475647
7,7,0,dc36dc361a371d370e380f38de38e43857385738e736e63651375037d836d936,dd36da3620371f37d136d336a336a236a936a836cc36cc3613371137e036e036,df36de36d836d936dc36dc36d536cf36e236df3613381738ec36e936e736e436,2600f2ff0400040010000000180018004ebc7cbcceb87cb86e438e4314476647
8,8,0,dd36da361d371a370d380b38e038de3857385738e736e53650375037d936d836,da36d93620371f37d336d336a136a236a736aa36cb36ca3610371037df36e136,dc36dc36d936d836db36de36d036d536e136df3610371438eb36ec360b37e536,040004000400040020001000280018004ebc6ebc7cb94cb97e436e43a646b646
9,9,0,dc36de361a371b370d380e38e038de3857385638e636e53650374f37d936db36,dd36da3620372037d336d2369f36a336a736a736cc36cd3610371137e036df36,dc36dd36d936d936dd36dd36d236d036e036e03616381438e736ea36e7360b37,2600d0ff0400e2ff100010001800080086bb1ebcf6b96cb98e43684456463646
10,10,0,dc36de361b371c370c380d38e138e03857385638e836e53652372c37d736d836,da36db3620372037d436d136a336a236a836a936cc36ca3612371237e236df36,dc36dd36db36db36dc36db36cf36d336e136e23615381538ea36eb36e536e536,f2ff1400140024001000eeffa6ff180066bb3ebcacb97cb958440e4406464646
11,11,0,dc36de361a371c370d380e38e638e03857385738e736e73651375137d936d736,db36de361f372037d236d336a336a536a836a736cb36cb3611371237df36e136,df36dd36d936d836dd36db36d336d036df36de3615381338eb36eb360b37e536,f2ff0400e2fff2ffeeff10003800380056bb46bb46bafcb9b8442845a645e645
12,12,0,db36dd361e371b370d380d38e638e13858385638e736e63652375037d936d636,dc36da3620372037d436d336a436a236a836a836ce36cc3612371137e036e036,dd36dd36d836d836dc36dc36cf36d036df36df3615381438e936e936e7360b37,f2ff140004000400deff00000800480046bb26bb76ba46bae84498440646b645
13,13,0,dc36dd361a371c370e380c38e038de3858385938e836e63652375237d936d836,d936dd361f372037d336d336a436a436a836a836cd36a83611371237e136e036,dd36dd36d836d936de36dd36d436d136e336df3616381638ea36ec36e636e636,f2ff0400f2ff0400200010000800080056bb36bb86ba96baf844684586457645
14,14,0,da36da361a371b370d380e38df38de385a385a38e736e63651375137d836d836,da36db3621371e37d336d236a236a036a936a836cb36cb3612371237e036e036,dc36dd36da36d936dc36dd36d036d136e036e03613381538ea36ed36e736e736,14000400f2ff040010001000a6ffa6ff06bbd2ba66bad6baf844984486459645
