Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,de36df361c371a370e380c38db38db3855385738e236e63651374f37d736d836,da36db3622372137d236d236a436a336a736a736cd36cc3611371437e036e036,dd36de36da36d836dd36db36d436d136e136e03617381738e936eb36e636e736,e6ff180006000600c6ffe8ff0c000c00ee430e4498d0a8d002bc32bc2c2f5c2f
1,1,0,df36dc361d371b370d380b38e138de3856385638e436e3362b375037d936d736,dc36db3621372137cf36d136a236a236a736a636cb36ce3613371137e236e036,de36dd36d936da36de36dd36d036d136e136e23617381738ef36ea36e736e836,38003800060016000a00f8fffcff0c00de43ce4358d048d052bc72bc5c2f3c2f
2,2,0,de36df361c371c370d380a38dd38dc3856385738e436e53652375137d736d836,de36dd3621372037d336d136a436a236a736a936cc36cb3612371237e036e036,de36df36d736da36de36dc36d536d036e036df3615381738ec36ec360c37e636,f6ff180026000600d8ffe8fffcfffcffae43664348d048d072bc02bcac2fac2f
3,3,0,df36df361a371b370e380c38dd38dc3858385838e636e63651375237d636d936,dd36dd3620372037d336d336a536a236a836a536cc36cb3611371237e036e136,dd36df36d936db36db36dd36cf36d236e136e13616381237ee36ec36e636e636,28001800e4ff1600e8ffc6ff0c000c0016439e4348d048d082bcfabc9c2ffc2f
4,4,0,e036dd3619371b370d380e38d938df3854385538e636e53651375037d836d636,de36de3621371f37d236d536a436a336a736a736cb36cc3611371137e136e236,df36df36da36d736dc36dd36cf36d436e036e13618381037ec36ec360b370c37,2800180016000600d8ffe8ff1c001c002643464358cf28d0acbcdabc4c300c30
5,5,0,de36df361b371a370b380c38dc38d83855375438e536e63652374f37d736d736,dd36db361e372037d336d236a336a236a836a936cb36cc3611371337e036e136,de36df36d936d736dd36dc36d536d136e036df3614381338ec36ee360c370a37,08001800f4fff4ffe8ffd8ff1c001c002643264358cf58cfbcbc2abd3c303c30
6,6,0,de36dd361c371c370c380c38de38e03855385738e336e63650375237d836d736,da36da3620371f37d236d336a336a536a736a936cc36cc3612371337e036df36,de36dc36d836d936de36dc36d236d036e336e03617381638eb36ef36e736e636,2800f6ffd4ff0600f8ffd8ff3c002c00d642d64288cf78cf1abd1abdcc308c30
7,7,0,de36de361b371c370a380c38dc38d93855385738e336e63650375137d836da36,dc36dd3621372137d236d336a136a636a636a836cb36cb3612371237e136de36,dc36de36d936db36dd36db36d036d136df36e03615381538eb36eb360b370b37,c6ff18000600f4ffc6ffd8ff3c001c00d642e64238cf88cffabc8abdf2308c30
8,8,0,df36de3619371b370b380c38de38db3857385538e336e43653375237d736d836,db36dd361f371f37d336d336a536a236a736a836cb36cd3611371137e036e036,df36de36db36d836db36db36d436d236e236e13616381738ed36eb36e6360937,18002800f4ff0600d8ffd8ff1c001c009642d642e0cee0ce6abd0abdec30b230
9,9,0,e136de361b371c370b380c38d738db3854385738e536e43650375237d936d736,e036dc3622371e37d136d336a536a536a836a836ce36cc36ec360f37df36df36,df36de36d936da36dc36db36d036d036e436e13615381738ed36ea36e736e736,0800380026002600f8ffe8ff0c002c0036429642b0ced0ce9abd9abd6e318e31
