Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,de36df361a371a370c380c38d538dc3856385538e636e6362c375237d836d836,dc36db361e372037d436d536a336a236a836ab36cd36cb361237ed36e036e236,db36db36d836d836db36da36d536d336de36de3610371738ec36eb36e7360d37,f8ff0600160016002200f0fff8ff18008a41ba41fad34ad404be76be802bb02b
1,1,0,e036dc361c371b370c380b38d838d63856385538e636e33650372d37d936da36,d936db361e371f37d336d436a436a136ab36a936ce36cd3610371237e036e036,dd36dd36d936d936dd36dc36d536d436dd36de3614381538ea36ea360b37e736,f8ff06000600e4ff0200e0ff180008005a414a41fad36ad4a6bea6bef02bb02b
2,2,0,de36df361b371c370d380c38d938d83856385638e436e3362c374f37d936d936,da36dc361f372137d436d436a136a336a836a636cd36cd3610371337e036dd36,dd36dc36db36d936d936da36d136ce36e036df3610371037e836ee36e7360b37,f8ff0600e4ffe4fff0ff02001800f8ff5a416a410ad4fad386be86be002c102c
3,3,0,df36df361b371c370f380c38da38d73856385638e336e4362d372d37d936d836,da36dd361e371f37d436d236a336a336a836a736cc36cb3611371237e136e236,de36dd36db36da36db36dd36d236d536dd36e03611371538e936e8360b370c37,360026002600e4ff0200d0ff180048006a417a41bad3bad386be96be102c002c
4,4,0,de36e0361a371b370e380f38d838d93857385738e336e6362d372c37db36da36,db36dc361f371f37d236d536a236a136a736a836ca36cb3610371037e036e036,dc36dd36d836d936db36dd36d436d136df36e23614381137e836e836e636e736,c8ff06001600160012000200080008003a417a41dad3bad3d6beb6be102c402c
5,5,0,de36dd361b371c370f380d38db38db3856385c38e536e4362c375137d936da36,db36dd3620372037d536d336a536a336a536a936ce36cd3612371237e036e036,dc36dc36da36d936dd36dc36d436d136de36dc3616381738ed3614370a370d37,060006002600f4ff02001200f8fff8ff1a414a419ad38ad3f6be06bfa02c302c
6,6,0,df36de3618371b370e380e38dc38de3859385638e536e6362c372c37da36da36,da36db361e372037d436d336a336a136a736a836cc36cc3611371237e036e236,dd36dd36d936da36da36dd36d536cd36dd36de3615381037ea36ef360c370c37,260016001600f4ffe0ff0200080018009e40ae403cd36ad326bfd6be0e2d902c
7,7,0,de36df361a371c370f380e38de38dd3854385738e436e3362d372b37d936d736,dd36db361e372037d236d436a236a536a936a836cd36cd3610371137e236df36,dd36dc36d936d936db36dd36d236d236dd36dd3612371137e936ed36e7360c37,f8ffe8ff160006001200e0ffe8ffe8ff5e40ce401cd32cd326bf86bf0e2d0e2d
8,8,0,df36de361a371b370f381038d638d63858385638e536e6362b375137da36d936,de36db3620372037d336d336a136a236a736a836cd36cd3611371137e036df36,dc36dc36db36d936dc36db36d136d136df36de3615381538ef36ed36e836e836,0600e8fff4ff06004200f0ff0800f8ff8e405e400cd3c4d246bf36bf6e2d4e2d
9,9,0,e036dd361b371a370c380d38d938dc3855385738e636e3362d372c37d836da36,dd36dc3620372037d536d436a336a136a836a736cc36cc3611371137e136e136,dd36dd36da36d836db36dc36d436d236e136df3613371838ee36ed360c37e836,16002600e4fff4fff0ffe0ffe8fff8ff7e407e4064d2b4d286bfa6bf8e2d9e2d
