Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,db36dc361b371b370d380e38e138e0385e385d38e536e53652372b37d936d936,dd36da3621371f37d236d236a236a336a736a736cc36a63610371337de36de36,db36dc36db36d936de36de36d536d236dd36df3616381238ed36f036e736e736,fa550a560cd40cd4d4a9c4a9382cf82bd201d2010001200168fc48fca001a001
1,1,0,dd36dd361c371c370d380e38e538e1385d385d38e236e73650375037d936d836,db36d93620372137d136d336a136a236a736a636a836a53611371137e036df36,dc36dd36d936d736dd36dc36d236d336de36dd3614381538ec3614370a370d37,ea55ea551ed4a8d3b4a9a4a9cc2c662cf201d2013001400138fc58fcd001b001
2,2,0,db36da361a371b370f380c38de38e1385b385a38e636e6362c375037da36d736,da36db3620372037d336d236a436a436a736a636ca36a83610371237e036de36,dc36df36da36d836dd36dc36d436cf36df36df3615381338ef36ea360b370d37,ea55fa55b8d32ed4d4a904aacc2cc62ce201d2011001200148fc48fca001a001
3,3,0,dc36dd361a371b370f380d38db38db385b385d38e636e53651372d37d836d936,dd36db361f372137d236d136a436a436a736a736a836a636ed361037de36e036,dc36de36db36d836dd36dd36d136d336df36df3616381638ea36eb360c37e736,8a55da5558d398d3f4a9c4a9ec2ccc2cb201020250011001defbdefb90018001
4,4,0,dc36dd361a371b370c380f38dc38de3859385d38e636e5364f375037d836d736,dd36d93620371f37d336d336a536a536a636a736a836a83611371237df36df36,dd36da36d836d836dd36dd36d336d036de36e03614381338ef36ef360b370a37,ba55ea5548d338d304aa14aa2c2d2c2dd201f2012001200158fc48fcc001c001
5,5,0,db36d8361a371a370e380e38dd38df385c385d38e336e5362c372c37d836d636,dd36db361f372037d336d336a536a536a736a836a736a83611371237de36e036,dd36da36dc36d936dd36dc36cf36d036dd36dd3617381738ee3613370d37e636,6a555a5508d318d3e4a904aa6c2d5c2d1202d20110011001eefb48fca001c001
6,6,0,dd36dc361b371c370d380e38e038de385d385d38e536e5362c375137d836d736,df36db3621371f37d336d236a536a236a736a836a736a73610371037de36df36,da36dc36d736d836dd36dd36d336d236dd36de3610371338ec36ed360c370a37,2c557a5508d388d278aaf8aa8c2dfc2de201e2013001200148fc58fca001a001
7,7,0,dc36b4361a371c370c380d38e338de385e385c38e736e4362c372c37da36d636,db36d93620372137d136d436a436a336a736a636ca36cb3612371137df36df36,dc36db36d936d736db36de36d536d036de36df3615381738ed3614370a370c37,3c553c5552d222d2a8aaa8aafc2d9c2dd201f201f0000001fefbcefbb001a001
8,8,0,db36dc361a371c370c380c38e038de385e385d38e436e53650375137d636d736,da36da361f372037d336d236a136a236a836a736a636cb3611371137df36de36,df36de36db36da36de36db36d036d336de36df3613381438ec36eb360c370e37,5a553c5522d232d2a8aae8aa6c2edc2dd201d2014001100148fcfefbb001c001
9,9,0,da36dc361b371d370c380d38e438e2385f385b38e536e63650372b37da36d636,da36dd3622372137d336d236a436a236a436a736a736a8360f370f37e036df36,dd36dc36db36da36db36dd36d436d136e036de3615381538ef36f0360c37e536,4a554a5522d2f2d1c8aaa8aa3c2e4c2ee201f2010001200148fc48fc9001b001
10,10,0,dd36de361d371a370d380d38db38e4385b385a38e636e63650372c37d836da36,d836de3621372137d236d336a236a336a936a936cb36a43611371137df36df36,dd36dc36d936da36dc36dc36d036d236df36de3616381137ed36ee36e7360a37,88549854d2d1b2d1f8aa28abc82eb82eb201f20130012001defb58fcb001a001
11,11,0,db36d8361c371c370d380c38df38db385e385f38e436e43652372b37d836d936,dd36da3620371f37d236d136a336a436a636a736a836a7361137ed36df36e036,dd36dd36d836d836dc36dc36d536d436e036dd3615381238ed36ef36e836e836,6854d85482d162d128abf8aaf82ea82ee201d2012001300138fc48fca001a001
12,12,0,d836dc361b371b370c380c38de38e03860385d38e436e5362b374f37d736d736,dd36da3621372037d336d236a336a136a636a636ca36cc36ed361137df36e036,da36db36d936d836dd36dd36d336d236de36dd3615381438ed36ef360c370c37,6854485462d152d138ab98ab882f082fd201d2014001100148fc28fca001b001
13,13,0,d836db361b371b370c380d38e138e1385c385d38e636e5362c375037da36d736,db36db3622372137d336d436a336a336a736a736cb36a7361137ed36e236e136,dd36dd36db36d936dd36dd36d236d236df36de3612381338ef36ef36e7360b37,48542854c2d0f2d098ab58ab682f882fe201e2012001100158fceefb8001b001
14,14,0,db36dd361c371b370c380d38e238e1385b385a38e536e63652372c37d836d836,db36dc361f372037d336d136a336a336a636a536cb36a73612371237e136df36,dc36dc36d936d936dd36dd36d836d436dd36df3616381738ee36ef360a370c37,18545854a0d0d2d078abc8ab0830682fd201f2013001400138fc38fca001c001
15,15,0,dd36d8361b371d370d380e38df38e0385c385f38e436e43651372c37d936d836,db36db3620372137d336d336a436a536a736a436a636cb3613371137e036e036,dc36dc36da36d936dd36dc36d536d136df36e03616381137ec36ef36e6360c37,18544854a0d0a0d088ab48ab2830c82fd201f2011001300158fc78fca001b001
16,16,0,da36dc361b371c370e380f38df38df385b385e38e636e4362c372a37d736d736,db36db3620371e37d236d236a236a136a536a836cd36a73611371237df36e036,dd36dd36d936d836dd36dc36d436d636dd36de3613381738eb36ec360b37e736,e8532854facfa0d022ac32ac38300830e201d2012001400168fc48fc8001b001
17,17,0,d936dc361b371d370c380c38df38de385d385d38e436e33650375137d736d936,db36dd361f371f37d336d436a336a336a736a636ca36cc36ed361037df36df36,dc36dc36d936d936dd36dd36d336d036dc36df3616381638ec3615370a370a37,6853b853aacf1ad0a8ab12acd830b830d20102023001100158fc58fca001b001
18,18,0,dc36db361d371b370c380f38df38df385e385d38e436e4362b375037d836d836,db36dc3620372037d236d336a236a136a836a436a636cb361137ed36dd36e036,dd36df36d936d936dc36dc36d036d036de36df3615381037ec361537e7360c37,b853b853aacfaacf32ac92ace830e830c201e2013001400158fcdefba001b001
19,19,0,d936d9361b371c370d380e38e038e1385b385938e636e73652372c37d836da36,da36dd3620372137d236d236a436a236a736a636a536cc36ed36eb36e036df36,dd36df36d836d936dd36db36d236cf36dd36de3613381738ed36f0360c370c37,b853a8534acf6acf92ac42acf830b830e201c2014001f00048fc78fca001d001
20,20,0,db36db361b371b370e380d38de38de385c386138e336e3362c375137d936d636,de36db361f372037d336d336a236a336a636a636cb36cd36ed361337de36de36,dd36de36d836db36dc36de36d036d236e136e03616381738eb36eb36e736e736,585368534acf1acf72acf2ac48314831e201e2011001200148fc58fca001b001
21,21,0,dd36dc361d371c370d380c38de38db385d385e38e636e6364f375437d936d936,da36dc361f371f37d336d336a336a436a636a636cb36cb361537ec36de36df36,db36de36d936d936dd36dc36d436d636e036df3616381638ec36ed360c370c37,385378534acf1acfb2ac72ac2831a831d20102020001100138fc38fc9001a001
22,22,0,db36d8361b371b370d380e38dd38df385e385c38e836e63650372b37d936d736,db36dd3620372037d236d336a536a136a636a636cb36cc3612371237de36e036,df36de36d836d936da36dc36d136d336e036de3616381338ef36ed36e7360a37,48534853a6ce56cec2ac12ad28324831c20112021001400178fcdefbb001c001
23,23,0,dc36dc361b371b370d380d38dc38dc385d385b38e636e6362c372b37d936d836,dd36db361e372137d436d336a336a536a736a736cb36cc3612371037e036df36,dd36dc36d936d936db36db36cf36d136df36e13615381638eb36ee360b370b37,c852d85246ce76ced2acb2ac0832d831c201c2013001000138fc48fcc0019001
