Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,dd36dd361b371b370d380d38e038dd3853375237e536e63650372c37d736d636,dd36dd3620372037d236d336a436a536a836a836cc36ce3611371237e136de36,dc36de36d936d936dd36dc36d636d536e136e03616381538eb3614370b37e636,dc0422394d076f529c169c5ae6266a6817371737183719378b3588351b371d37
1,1,0,dd36dd361a371b370e380e38dd38df3856385638e536e5362c372a37d736d836,d936de3620372237d236d336a436a336a736a736cd36ce361337ed36df36e036,dd36df36d936d936dd36db36d136d336de36de3613381338ed361437e6360c37,8d689a260d59e814dd50e20614375b031437153719371837873589351c371b37
2,2,0,de36db361e371e370d380e38dc38de3857385638e436e7364f375037d936d936,db36db361f371e37d236d336a536a436a936a836cd36cb3611371137e236e236,df36dc36d936db36da36de36cf36d236df36df36153816381537ef360b37e736,ac14ac585d23a166233693691447a56a1337143717371837883589351d371c37
3,3,0,dd36dd361c371a370c380d38db38de3857385538e536e6362a375037d936da36,de36db361f372037d336d136a536a436a636a836cc36cc3612371137e036df36,df36dd36da36d936db36dc36d036d436df36e136163816381437ee36e7360a37,a554170996429b04ac282c035117920617371737183717378b35893520371d37
4,4,0,dd36df361b371b370d380c38dd38df3857385338e536e3362b372d37da36db36,dd36dc3620372037d336d436a436a136a936a736ca36ce3611371037e036e236,da36df36d936d936dc36dd36cf36d036de36e03617381638ed361537e736e736,eb32676a6744ac6a1956b168ad6425631537183717371637863587351d371a37
5,5,0,de36df361b371c370d380c38da38dc3857385638e636e53650375137d936da36,dc36db3620372037d536d336a436a336a636a636ce36ce3610371137e036e236,dc36de36d836d936db36dd36d436d436e036e03616381538ed36ef360c37e836,a23493049619da04a90a560921050f191537163716371737893587351c371c37
6,6,0,dd36df361e371d370d380d38df38de3856385438e536e6364f375037d836da36,da36dc3621371f37d136d136a336a436a736a936ce36ce3612371037e136e036,dd36dd36d936db36dd36dc36d336d336e036e03617381638ef36ed36e836e636,ef4aa56aa35a1f659568a256d56a244515371637183718378b3587351c371c37
7,7,0,dd36df361b371b370d380d38dd38d93856385838e536e5364f372b37d736d636,db36db3621372037d536d336a436a436a636a636cd36ce3611371137e136e136,de36de36d936da36dd36db36d336d236e036df3616381738ed36ed36e836e736,2d15a908d506a3165a0417279104e638173715371b371537873587351d371c37
8,8,0,de36dd361c371c370c380c38de38df385a385838e336e63650372b37d836d936,db36dc3620372037d536d536a336a536a736a536cc36cc361237ed36e036df36,df36df36d936d936db36dd36d336d136e136dd3615381638ed36ee360c37e736,1e67535a8f69a3489f6ae13611671c251737173716371937893589351a371a37
9,9,0,de36df361b371b370c380b38df38dc3856385638e436e5362b372937db36da36,da36db361f372037d236d336a236a336a736a736cc36cb3610371337e136e136,de36dc36da36d936dd36dd36d136d136de36e13616381137ec3614370c370b37,ea04e32425035335980625486c148f58173716371837183789358a351c371c37
10,10,0,df36dc361b371c370c380f38df38dd3854385738e436e6362c375037d936d936,db36db3620372237d336d136a636a236a736a836cf36ce3610371037e036e036,dc36dd36da36d936dc36dc36cf36d436df36e13614381338ed361337e536e736,1e6bd93aa5689728196322172453a408163717371a371a37863587351c371e37
11,11,0,db36db361d371b370e380e38dd38d93856385638e536e33651372a37d836da36,db36dc3620372137d436d336a336a236a836a836ce36a73614371137e036e136,de36dd36d936dc36db36dc36cf36d236df36de3612381638ed36ef360a370b37,2e05ee4455091e551d19df64a9321f6a1637173718371a378b3587351b371b37
12,12,0,dd36df361c371c370d380c38e238dd3856385438e736e4362c372b37da36d836,da36dd3622372137d436d536a536a336a936a736cd36cb36ed361037e036e236,de36dd36d836d836dd36dc36d136d236df36dd3614381237ef36ef360a370b37,8f66d61a7156990919451c05213323031737163717371b37873588351c371b37
