Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,dd36dd361a371c370c380d38d838db385b385538e736e53651375137d636d736,da36da3622372137d236d236a336a236a836a736cb36cc3613371037de36df36,de36dd36db36da36de36dd36d336d236e036df3617381538ed3614370b37e636,6e324e323251b6512ecd82cc84ae74aec201c2014001100178fc78fcb001e001
1,1,0,dc36dd361b371a370d380d38d838da3858385638e436e6362d375037d536d736,d936da361f372037d436d336a336a236a536a636cc36cb3611371137df36df36,dc36dd36db36db36dc36de36d536d336de36df3612371338ef3614370c370a37,be324e328651665102cd0ecd00afe0aeb201a2012001100178fc48fca001c001
2,2,0,dd36de361b371b370d380d38d938da3858385538e536e63650375237d736d736,db36db3620372037d236d336a336a536a836a736cc36a73611371237df36de36,de36db36d936db36dd36dc36cf36d036de36e13613381638ed36ed36e736e636,6e33be3222513251f2cc62cc00af20afc201e2012001000168fc68fca001a001
3,3,0,dd36e0361b3719370d381038da38dc3858385738e536e2364f375037d636d736,d936da3620372137d336d436a336a236a736a636cc36cc3611371137e036e036,dd36dc36d936dd36dd36dc36d536d436df36de361438113717371637e7360d37,4e335e3300513251b2ccb2cc50af60afe201c2010001f00088fc48fca001d001
4,4,0,de36db361a371b370c380c38db38dd3859385838e736e43651375337d836d836,dd36da3621372037d436d236a136a436a736a636cb36cb3611371237e236e036,de36de36db36db36de36dc36d436d336df36e03610371538ef36ee36e736e736,3e336e332251005172cc28cb50af70afb201d2012001f00078fc68fcc001a001
5,5,0,dc36e0361a3719370c380c38df38de3854385838e536e73650375137db36d736,da36dc3620372037d436d236a236a236a736a736cd36ce3611371137df36de36,dc36dc36dc36dc36dd36df36d436d336de36e03616381538f036ef360b370c37,6e336e330051005152cc52cca0afd0af9201d2011001f00088fc88fcb001b001
6,6,0,df36de3619371d370c380c38da38df3859385938e736e73652372d37d836da36,dd36db3621372037d136d236a436a536a836a636cc36a73610371137e036df36,dd36dd36db36dd36dd36dd36d536d436de36e03612371538ef3617370c37e536,fe33de33a050d05022cc68cbd0af80afa201a201f000f00068fc48fcb001c001
7,7,0,dd36dd361d371a370e380c38db38d73857385a38e636e3362c375137d836d936,dd36da3622372137d336d236a536a436a836a836cc36cb3612371137e136e036,de36dd36db36db36dc36dc36d636d236e036de36103716381537ef36e736e636,4e345e348050a05078cb58cbc0afe0afc201c2012001200158fc88fcc0019001
8,8,0,e036dd361c371c370f380e38dc38dc3856385538e436e73650375037d836d836,da36db361e372237d336d336a636a236a836a636cc36cb3611371137de36e036,dc36dc36db36dc36dd36db36d436d636df36de3616380e3714371537e836e836,be344e347050805028cbe8cad0afd0afc201c2012001100148fc48fcc0018001
9,9,0,dd36df361a371b370f380e38dd38da385b385938e736e8364f374f37d936d736,da36d93620372137d436d136a236a336a536a736cc36cc3612371137e136e136,de36dc36db36d936db36dd36d736d436dd36e03616381438ef36ec360b37e736,8e3422350a50ea4f08cb18cb00b070b0c201a2010001f00038fc78fcd001c001
10,10,0,de36dd3619371a370d380d38df38df385b385b38e436e53650375037d636d536,dc36dc3622372037d436d436a336a436a636a736cd36a73613371137df36df36,dc36dd36db36dc36de36de36d436d236df36df36133814381537f036e7360a37,4235ce34ca4f1a50f8ca98ca50b070b0c201b201f000000178fc68fcb001a001
11,11,0,de36dd361a371b370f380c38dc38da3857385738e636e6364f375037d636d736,dc36dd3620372137d136d236a336a436a836a736cb36cc3612371037df36e036,dd36dd36da36dd36dd36db36d636d536df36e13613381338ec36ed36e536e736,b23582357a4faa4f98cae8ca80b070b0c201d2013001200178fc78fcb001d001
12,12,0,df36de361c371a370d380c38d738d9385a385638e636e6364f375237d836d636,dc36da3622371f37d136d336a136a236a736a536cd36cb3610371437df36e036,dd36dd36da36dc36dd36dc36d736d436df36de3615381638ef36f0360c37e836,c235f2358a4f8a4f98ca84c9b0b000b1e201b2012001200158fca8fcc001a001
13,13,0,dc36e03619371a370e380c38da38d83858385c38e636e63651375037d736d736,da36db3620372237d436d336a336a336a636a836cc36a83613371037de36e136,de36dd36d936db36de36dd36d336d136de36e13614381237ef3616370b370a37,423622365a4f9a4f48ca68cad0b0d0b0c201c2010001100138fc68fca001c001
14,14,0,e036dc361a371b370d380d38d938da3856385a38e736e83650375137d636da36,db36db3620372037d236d236a336a536a736a836cc36cb3610371137de36df36,dc36dd36da36db36dc36dd36d236d436dd36dd3612371037ed361537e736e436,42361236aa4f6a4fb4c964c930b1e0b0d201e2010001100178fc58fc9001b001
15,15,0,db36de361b371a370d380e38da38da3854385638e436e6362d375137d836d736,db36da361e372037d136d436a336a236a736a936cd36cd3611371337de36df36,dc36dd36da36db36dc36dc36d436d636de36e0361638153814371437e836e736,123662363a4f9a4f84c9e4c940b130b1a201e2011001300178fc48fcc001b001
16,16,0,dd36dd361d371a370e380d38de38da3855385738e836e7362d372d37d736d636,dc36db3621372037d236d236a236a336a736a736cd36a73612371037df36de36,dc36da36db36dc36dc36dd36d336d336df36de3610371338ed36ee36e8360d37,083742362a4f3a4f94c944c910b150b1f201c2012001100188fc68fca001c001
17,17,0,dc36dc361a371a370d380e38df38e03859385438e636e6362d372c37d736d836,db36da361f372037d036d336a336a236a636a636cc36cd3610371337e036e036,dd36dc36db36da36dc36dd36d636d536dc36e03610371337ef36f0360b37e736,1837c236fa4e1a4f44c974c960b150b1d201e2010001300148fc88fcc001a001
18,18,0,df36dd3619371c370c380c38db38dd3858385638e336e43650375137d836d636,db36db3621372037d136d336a136a136a736a736cc36cc3611371137e036e036,dd36df36d936dd36dd36df36d436d236df36df3615381338f036ee36e7360a37,a2363837a64eb64e02c904c8d0b190b1c201c2012001200148fc68fcc001a001
19,19,0,de36dd361d371b370c380d38da38dc3858385538e736e73650375037d936d836,db36db361e371e37d236d536a536a236a736a636cc36cb3611371137df36de36,dc36df36db36db36df36dd36d236d436dd36de3613371037f036ef36e736e836,98377837464e564eb2c8f2c8d0b1d0b1d201e201f000200158fc68fcb001c001
20,20,0,de36dc361b371a370c380c38dd38d73858385a38e436e53650375137d836d936,db36dd3621372237d336d336a336a436a636a636cd36cb3611371037df36de36,dd36da36db36da36dc36df36ce36d536e036df3612381338f036ec36e736e636,0838c837364e164e62c854c740b200b2c201d2011001200168fca8fcc001e001
21,21,0,dd36df361b371b370d380c38e038e03857385738e636e73651375037d836d536,da36dc3620372137d236d336a236a236a736a736cc36cc3610371137df36e136,dd36dd36dd36db36dc36dc36d636d436df36e23616381438ef36ed360c370b37,d837d837464e064e04c8a2c820b230b2d201a2010001000168fc78fc9001c001
22,22,0,de36df361c371b370e380f38de38df3859385738e536e73652375237da36da36,da36db3620372037d436d236a336a336a636a736cc36cb3611371037e036de36,db36dc36db36db36dd36dd36d236d236e036df36133815381437f0360b37e536,d837e837f64df64da4c754c7a8b270b2a201c2012001100178fc58fcc001b001
23,23,0,db36e0361a371a370c380c38de38d93856385838e636e63650375037d736d536,d936da3622372037d136d236a636a336a736a736cd36a73611371037e136df36,dd36da36db36da36dc36dd36d436d636e036df36103710371637ef36e5360b37,5838f837d64df64da4c7d4c798b2a8b2d201b20130013001a8fc78fcc001d001
24,24,0,dd36db361a3719370e380c38da38dd3859385a38e636e73650375037da36d836,db36db3621372037d136d536a236a236a636a636cb36cd3610371237df36e136,dd36de36dc36dc36de36dd36d236d336de36df3616381237ee36ed36e736e836,f837bc38b64da44d84c7e4c6c8b2e8b2c201b2010001100158fc88fcc001d001
25,25,0,df36dd361a371b370e380c38e038e1385a385838e636e63651375037d736d636,dc36da3620372237d336d336a236a336a736a736cb36cc361337ed36dd36e136,dd36dd36db36dc36dd36dd36d136d136e036df3615381137ec36f0360b370b37,0a396838c64da44d54c784c7f8b2d8b2b201e2011001f00078fc48fcc001a001
26,26,0,dd36dd361b371b370c380c38db38de3855385638e336e4364f375037d936d936,db36db361d372037d136d236a436a136a736a736cb36cb3611371137e036e036,dd36dc36db36dc36dd36db36d236d336de36dd361638123813371537e836e736,0a39cc38444d644dc4c61cc648b318b3c201d2011001000158fc88fcc001c001
27,27,0,dd36df361b371b370c380e38d638e03858385638e636e73650375137d836d836,db36dd361f372137d436d336a436a136a636a736cc36cc361137ed36e036df36,dc36de36db36dc36dc36dd36d236d536e036df3610371338ee36ed360b37e736,8a396a39ca4caa4cd4c6c4c668b338b3c201c201f000100178fc58fcb001c001
28,28,0,df36dc361c371b370d380c38d938da3857385738e436e43651375137d836d736,dd36da3620372037d136d136a536a336a736a936cc36cc3610371037e036e036,dc36dc36db36da36de36de36d536d436e036de361137103714371537e6360a37,6a39ba39b44cba4c2cc6bcc5c4b378b3c201d201f000000148fc88fcc001a001
29,29,0,de36dc36193719370c380c38dc38e03858385638e536e73652375137d936d936,db36db3620372137d436d336a436a236a536a536cc36cb3611371237e136de36,dd36dc36d936db36dc36dc36d436d136e036e03616381338153715370b370b37,2a3a9a39ba4cba4cb4c6f4c668b378b3c201c2011001e00078fca8fcc001b001
30,30,0,df36dd361a371a370e380b38d638dc3858385738e736e73650375237d736d936,db36db3620372037d336d336a236a336a836a636cc36ce3611371237de36de36,dd36da36dc36db36de36dd36d136d336df36de36113714381437ef360a370c37,6a3a3a3a044c644cccc54cc5f4b314b4c201c2010001f00058fc88fca001c001
31,31,0,de36dc361b371a370e380d38de38df385d385638e636e73651375037d736d736,dd36dd361f372037d336d236a136a336a636a736cf36cd3610371437df36dd36,da36dd36d836dc36dc36de36d236d236df36e03616381638ee36ee360c37e536,4a3a2a3a044c544c7cc59cc564b444b4d201d2012001100168fc88fca001c001
32,32,0,e036de361d371b370d380d38df38db3856385738e736e63652375137d936d936,db36da3621372037d336d436a236a336a636a736ce36cd361237ed36e136e036,dc36dc36d936db36dc36dc36d436d536de36e03616381037ef36f0360b370b37,2a3a1a3af44bf44b3cc5bcc454b454b4c201d2011001400148fc68fcb001a001
33,33,0,dd36dd3619371b370e380c38dd38de3855385838e736e73650375137d836d836,db36da361e372037d136d336a236a136a636a936cc36cc3613371137e036df36,dc36de36db36da36db36dd36d436d336e036e036133815381437f0360d37e536,5a3a8a3a144cb04b3cc56cc564b454b4b201c2011001200178fc68fca001a001
34,34,0,df36de361b371a370d380d38dc38e03859385838e636e43651372c37d836da36,d936dc361e372137d336d336a436a236a736a636cd36cd3612371137df36e036,dd36dc36db36db36dd36dc36d436d336e036df36133714381437ed36e736e636,6a3a4a3aa04bf44b4cc5fcc464b464b4e201c2010001100158fc88fc9001a001
35,35,0,dd36dd361b371e370c380a38d938dc385b385b38e636e8362c375237d836d936,db36da3620372137d236d336a336a236a636a736cc36cb3613371137de36e136,dc36de36db36db36dd36dd36d636d136df36e03613381538ed3614370b37e736,ba3aca3a504be44bdcc48cc5d2b4d2b4c201b2012001200158fc48fc8001b001
