Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,f0ff02001000000002000200f6ff160010000000d8ffd8ff42004200defffeff,f0ffe0ff20000000b4ff16003800c8fff4fff4ffd6fff6fff8ff0a00fcffdcff,90fb9efb1600e4ffba03ca030a000a0054ff08ffca03ca03aa03aa0326004600,d8ffe8ffe4ff060008000800f8ff2800acc4dcc4661666166036503684e414e4
1,1,0,020012001000eefff0ff0200e6ffd6ffeeff4200d8ffb8ff020032001e00eeff,0200f0ffeeff00003600c4ff18002800f4ff1600d6ffe6ffe8ffd8ff2c00ecff,bcfb90fb06001600ba03ca030a000a0008ff26ffca03bc038a03ba0336004600,e8ffd8fff4ff160008000800f8fff8ffdcc4bcc4a41626166e366e36e4e364e4
2,2,0,e0ff2200000010001200e0ffe6fff6ffdeffeeffb8ffe6ff2200f0ff0e00deff,e0fff0ffdeffeeff160016003800d8ffe4ff06001400f6fff8fff8ffecff0c00,80fb90fb06000600ba03ba03eafffaff54ff26ffca036e03aa03ba0356003600,e8ffe8ff0600d2fff6ff08000800f8ff9cc4acc41616b4166e366036d4e3d4e3
3,3,0,0200f0ff0000eeff12001200f6ff060000002000c8ffb8ff02003200eeff2e00,0200f0ff0000000016001600d8ff180016000600f6ff04000a001a000c00fcff,90fb9efbe4ff0600dc03ba03faff0a0054ff26ffea036e038a03ba0336003600,d8ffd8ff0600060018000800f8ff4800ccc49cc44616a41650367e3624e4e4e3
4,4,0,f0ffe0ff1000eeff020002000600e6ff20001000f6ffe6ff3200f0ff0e001e00,e0ff0200eeffdeff06000600380048001600f4ff2400f6ff0a00e8ffdcff0c00,9efb9efb0600f4ffba03ba03fafffaff08ff16ffca036e036a039a0336002600,e8ffe8ff160006002a002a00f8ffe8ffccc4acc4b416c4167e366036e4e304e4
5,5,0,f0fff0ff0000100002003200e6fff6ff10002000c8ffa6fe22003200eefffeff,f0ffe0ff0000100006002600180018000600f4ff24001400d8fff8ffdcffecff,aefb9efb06001600aa03aa03fafffaff54ff44ffca03ca038a03ba0346005600,d8ffe8ff2600060018002a00f8fff8ffecc4dcc4941694166e367e3604e434e4
6,6,0,e0fff0ffeeff10000200e0ffe6ffe6ff10001000d8ffd8ff22000200ceffceff,020002000000eeff2600060028002800f4ff0600f6ff14000a00f8ffdcffecff,bcfbaefb16000600ca03ca03faff0a0054ff26ffca035e03aa039a0336003600,e8ffe8ff160006002a00080028002800bcc4acc4841694167e36503634e4f4e3
7,7,0,e0ffe0ff100000003200e0fff6fff6ff00002000d8ffb8ff32001200eeff0e00,f0ffe0ffeeff200006002600c8ff180006001600240014000a00f8ff2c00fcff,90fb90fb0600f4ffdc03aa030a00faff54ff62ff7e0340039a03ca0336004600,d8ffd8ff26001600f6ff180008002800bcc4dcc4a41666166e366e3604e414e4
8,8,0,12000200eeff0000020002001600f6ffdeff3000d8ffc8fff0ffe0ffeefffeff,f0fff0ffeeffeeffc4ff0600380018000600060034003400e8ffe8fffcff3c00,90fb9efbe4ff06009a03ca03daff0a0026ff54ff6e037e037a03aa0356003600,c8ffc8ff5a007c002a002a00e8ffe8ffccc4bcc4a41656167e36503634e434e4
9,9,0,02000200ccff00003200f0ff1600060020002000d8fff6ff12000200fefffeff,f0ffe0ffdeff0000a4ff3600380038002600e4ff62000400d8fff8ffdcffecff,9efbaefbe4ffe4ffba03ca031a00faff36ff36ffca03ca03ba03aa0346003600,d8ffc8fff4fff4ff18003a0018002800dcc4ccc49416c41650367e36e4e344e4
10,10,0,e0fff0ff2000000032001200f6ffe6ff1000deffc8ffca00320022001e00feff,f0ff1200eeff000006004600480018000600f4ffd6fff6ff0a00f8ffecff0c00,9efb9efb06001600ca03ca031a000a0054ff08ffbc03bc03ba037a0346004600,e8fff8ff160016002a001800e8fff8ffccc4bcc49416a4168e366e3614e424e4
11,11,0,0200f0ffeeff1000f0ff0200f6ffe6ff10001000d8ffe6ff3200f0ffdeff0e00,02001200eeff0000060026004800d8ff1600060024002400a8ff0a00fcff0c00,aefb9efbf4ff06009a03ca030a00eaff26ff26ffbc03bc03aa038a0336003600,d8ffe8ff5a00160018002a00f8fff8ffccc4ccc4a41694166e367e36e4e324e4
12,12,0,e0ff02000000000012000200d6ff16000000eeffd8ffd8fff0ff4200defffeff,f0fff0ffeeffeeff0600260028001800e4ff0600f6ff1400f8fff8fffcfffcff,90fb9efb26000600ca03ba03fafffaff36ff36ffbc03bc03aa03ba0336004600,e8ffe8ff0600160008000800f8ffd8ffacc4dcc48416d4167e365e3624e4c4e3
13,13,0,f0fff0ff1000000012001200f6ffe6ffeeffeeffd8ffea000200f0ffeeff1e00,0200f0ffeeffdeffc4ff26003800d8fff4fff4ffe6fff6ffe8fff8fffcfffcff,9efbaefb16000600ca03ca03eaff0a0026ff26ffca03bc03ba03ba0336004600,d8ffd8ff1600f4ff0800180018001800dcc4dcc45616a4165e367e3624e404e4
14,14,0,1200f0ffeeff1000020002000600f6ff00002000c8ffe6ff420022001e00feff,f0fff0ff0000ccff060036001800280006001600f6ff0400f8ffc8ffecff1c00,bcfb9efb1600e4ffca03ba03faffdaff26ff54ff6e03ca03aa03ba0316003600,c8ff44000600d2ff2a00080008000800dcc4bcc49416a4165e367e36f4e354e4
15,15,0,0200020000000000120022000600060010000000b8ffb8ff0200f0ff1e00feff,0200e0ffeeffeeff06000600d8ff2800260006002400f6ff2a002a000c00fcff,80fb80fb06001600ca03ca030a000a0016ff26ff5e03da03ba03aa0326005600,c8ffd8fff4ff06002a002a0008003800acc4bcc4a416b4165e367e36c4e304e4
