Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,1600e8ff10002000f8ff06002200020002001200fcffecffd4fff4ffd8fff8ff,f2fff2fffcff0e00c6ff240004000400faff0c0000000000f6ff08001600e6ff,0000000000000000000000000000000000000000000000000000000000000000,1a000a000c000c000600f4fff0ff000094f784f7e4f6b6f6cc06fe06fc0acc0a
1,1,0,0600f8ff000000003400160012001200f0ff0200dcfffcffe4ff0200d8ffd8ff,0400f2ff3000ecffd6ff1400f4ff04000c000c00d0fff0ffe6ff1800e6ff1600,0000000000000000000000000000000000000000000000000000000000000000,0a00f8fffaffeafff4fff4ff0000f0ff74f794f758f612f7ec06ec06fc0afc0a
2,2,0,f8ff0600000000001600daff12002200f0fff0ffdcfffcff020030000800c8ff,f2fff2fffcff0e0024002400e4ff44000c000c000e000e00f6ff280016000600,0000000000000000000000000000000000000000000000000000000000000000,0a00e8ffdaff3c000600f4ff0000100084f7a4f7b6f6e4f6cc06cc06ec0adc0a
3,3,0,0600060000001000f8ff0600020002001200e0ff0a00fcffe4ffe4ff5800f8ff,0400f2ffecff0e00c6ff1400040004000c000c00e0fff0ffe6ffe6ff46000600,0000000000000000000000000000000000000000000000000000000000000000,f8ffe8fffaff0c00d2fff4ff30000000a4f794f7a6f6b6f6fe063e07dc0aec0a
4,4,0,f8fff8ffeeff000016000600f2ff1200e0ffe0ffecffecff12001200f8ff0800,140014000e00fcffe6ff2400e4fff4ffdaff0c001e000e00f6fff6ff16000600,0000000000000000000000000000000000000000000000000000000000000000,f8ff0a00eaff0c00f4ff06000000300074f7a4f7b6f6c4f6fe06ec06fc0aec0a
5,5,0,f8ff0600000000001600160002001200f0fff0ff1a00beffe4fff4ff28002800,040004000e00ecff24004200f4ff04000c001c0000003e00e6ff0800f6ff1600,0000000000000000000000000000000000000000000000000000000000000000,e8ff0a000c00faff06000600f0ff200074f774f702f7c4f6fe06dc06ec0adc0a
6,6,0,060006000000eeff1600160022001200f0ff0200dcffdcff1200120008000800,1400f2fffcfffcfff6ff2400f4ff4400faffeaff0e001e00f6ffe6ffe6ff1600,0000000000000000000000000000000000000000000000000000000000000000,f8fff8ffeaff0c0006000600f0ff3000b4f794f7c4f6b6f6cc060e07ec0aec0a
7,7,0,f8ffe8ff00000000f8ff160002002200d0ffd0ff0a00fcfff4ff0200f8ff4800,240014001e000e00240052000400e4fffafffaff00000000e6ffe6ffe6fff6ff,0000000000000000000000000000000000000000000000000000000000000000,0a001a000c00eafff4fff4fff0ff100084f784f7a6f696f60e07dc06fc0afc0a
8,8,0,f8ff060010000000f8ffdaff12002200e0ff020058000a0002001200d8fff8ff,f2fff2fffcfffcffc6ff1400e4ff0400eafffaff00000000f6ff28000600e6ff,0000000000000000000000000000000000000000000000000000000000000000,1a001a000c001c000600f4ffd0ff0000a4f794f7c4f6e4f6ec060e07ec0adc0a
9,9,0,0600160000001000f8ff160032002200e0fff0ff0a00ecff2200120008001800,340014000e001e00e6ffe6fff4ff3400eafffafff0ff000008004800f6fff6ff,0000000000000000000000000000000000000000000000000000000000000000,1a000a000c00eafff4ff06000000f0ff74f794f702f702f7dc06dc060c0bcc0a
