Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,f4ffe4fffaff0c00f2ff100020001000160006000e0000001200020010002000,000000000600f4ff0200f4fff2fff2ff060026000600160008000800faffdaff,0000000000000000000000000000000000000000000000000000000000000000,5cf57cf536f946f9180a180a1806e80504001400040014001e000000eafffaff
1,1,0,f4ff02000c00faffe2ff20001000f0ff0600160000000000120012000000f0ff,00000000f4fff4fff4fff4ff12000200f4ffd4fff8ffdaffd6ff08001a000a00,0000000000000000000000000000000000000000000000000000000000000000,7cf56cf536f968f9280a080a08060806f6ff0400f6ff04007800f0ff0a00eaff
2,2,0,e4ff22000c000c001000e2fff0fff0ff1600e4fff0ff1e00d4ff0200f0ff0000,0e00f0fff4ff0600e4fff4fff2ff1200f4fff4ff24001600e6ff0800caff1a00,0000000000000000000000000000000000000000000000000000000000000000,6cf57cf558f936f9280a180ae805f805f6ff04001400340078000e00faff1a00
3,3,0,220022000c00fafff2ffe2ff0000f0ffd4ff16001e00f0ff2200e4ff10003000,0e000000f4ffe4ffe4fff4fff2ff1200160026001600f8ffe6ffe6fffafffaff,0000000000000000000000000000000000000000000000000000000000000000,7cf57cf536f958f9380a380af805f805f6ff1400240014002c002c00faff0a00
4,4,0,02000200faff0c00e2ff1000200010000600e4fff0ff0e00320032001000e0ff,1e00f0ff06000600020012000200f2fff4fff4ff06002400f6ffe6ff2a000a00,0000000000000000000000000000000000000000000000000000000000000000,7cf56cf558f958f9f809180a180618061400f6ffa6fff6ff3c000000eaffdaff
5,5,0,02000200faff0c000000f2ff000000001600f4ffe0ffc2ff2200220000003000,f0ff0000f4fff4ff0200f4ff12001200e4fff4ffe8fff8ffe6fff6ff3a001a00,0000000000000000000000000000000000000000000000000000000000000000,5cf56cf558f958f9280a280ad805f8050400f6ffd6ff040078001e001a000a00
6,6,0,1200f4fffafffaffd2fff2ff2000f0ffe4ff06001e004c00d4ff220000000000,0e000e000600f4ffe4ffd4ff020002001600f4ffcaffe8ffe6fff6ff0a000a00,0000000000000000000000000000000000000000000000000000000000000000,6cf58cf568f936f9080a180a0806f8050400e6ff1400f6ff96000e001a00eaff
7,7,0,f4ff0200eaff0c00f2ff000010000000160026001e001e00f4ffe4ff10001000,0000f0ff06000600c4ffe4ff020012002600f4ff06000600f6ff1800eafffaff,0000000000000000000000000000000000000000000000000000000000000000,6cf54cf558f97af9180a280a08060806e6ff0400a6ff24000e000e00fafffaff
8,8,0,12000200eaffeaff0000f2ff20002000260006003c001e0032002200f0ff0000,1e00f0ffe4ff06000200020012002200e4ff0600e8ff2400f6ff38000a000a00,0000000000000000000000000000000000000000000000000000000000000000,6cf56cf558f958f9180af8090806d8051400e6ff5400f6fff0ff78000a00faff
9,9,0,0200c6ff0c001c000000f2ff200020000600160000000000020012003000f0ff,f0ff00001600f4ff0200f4ff02001200f4ffe4fff8ff24000800e6ff2a000a00,0000000000000000000000000000000000000000000000000000000000000000,5cf54cf568f958f9180a480ad80508060400f6ff96fff6ff2c006800eafffaff
10,10,0,1200c6ff1c00faffe2fff2ff1000100006000600d0fff0ffe4ffe4ff00002000,1e00e0fff4ff1600e4ff120002001200d4ff0600e8fff8ff180008001a002a00,0000000000000000000000000000000000000000000000000000000000000000,6cf56cf558f936f9380a180af80518060400f6ffa6ffa6ff00003c001a001a00
