Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,b08832eee6a6f02e82af724328c33c525cfc1efce8fff8ff94ff94ff3efe2efe,b002900200003e000000d2fffefffeff1c001c00140014000000f0ff1e00d0ff,f0ff22000e00ecfff6ffd4ff16001600feff0c00befff4ff5c002e00d2ff1200,fcffdcff9c017c0184069406ce0a260b96f366f31800e4fffafffaff3400f4ff
1,1,0,d85902dc705f90cca631d6a104fe48824efc6cfc0600f8ff94ff94ff2efe4efe,ce02900200000e00f2ff10000e00feff1c00eeff22002200000020001e00d0ff,f0fff0fffcff0e00f6ffe6ff0600f6ff0c000c00020002002000000002000200,fcfffcff8c017c01c4068406460bbe0a86f396f3c4ff18000c001c0004002400
2,2,0,96a0ee2b24d43265bcea72694c066a634efc4efce8ff160094ff94ff6efe2efe,dc02ec02f0ff0e000000e2fffefffefffefffeff1400340000000000d0ff0e00,02001200fcffecfff6ff0800f6fff6ff0c000c00020012002000d2ffe2ff0200,ccff0c008c015c0184069406ce0a8e0aa6f396f338001800faff1c00d4ffd4ff
3,3,0,ae31e8a40226fea238f0f28cbabbc4843efc4efcf8ffe8ff94ff94ff2efe4efe,dc02ec023e00f0ff000000000e00feff1c000c00340004002000e0ff0e002e00,1200f0ff0e000e00f6fff6fff6ff06001c00feff0200d4ff2e003e000200f2ff,fcffdcff7c018c01840684069e0abe0ab6f396f3d4ff08000c00daff3400c4ff
4,4,0,58d502570e15b67dd42c066bd841704d6cfc5cfcf8fff8ff94ff94ff2efe2efe,b002dc0200000000000020000e00fefffeff1c0034009eff10007a001e001e00,02000200ecffecff0800e6ffe6ff06000c00fefff4ff02000000d2ff2200e2ff,fcffecff8c019c0174068406de0ace0a86f386f32800e4fffaff0c0004002400
5,5,0,b8f46689a2e3569e70b3d69ec08b40ac6cfc4efce8ffe8ffa4ffa4ff4efe2efe,ec02ce020000f0ff00000000feff0e003a002a006400beff0000f0ff2e00c0ff,f0ff1200fcffdcfff6ff0800f6ff26000c00feffe4ffbeff3e002e001200f2ff,1c00ecff8c01ac0184068406460b560ba6f396f3d4ff0800daffeaff1400d4ff
6,6,0,3c1538604853d66ee65e2c478a61c8175cfc3efcf8ffe8ff94ff94ff3efe2efe,ec02dc0200001e0000000000feff1e000c001c000400340020001000feff0e00,f0fff0ff0e00fcff0800f6ff2600f6ff0c007aff0200d4ff10002e0012000200,ecffecff7c017c0164069406de0abe0a76f396f3d4ff2800faffeaff24002400
7,7,0,bab72a9364afe0be9890a4d10280e8eb4efc5cfccafff8ff94ffa4ff5efe3efe,ce02be020e001e00000000000e000e00fefffeff8eff140020006a002e00d0ff,0200f0ff1e00fcfff6ff1800260006000c00fefff4ffaeff100010000200d2ff,0c00ecff9c018c0164067406660b9e0a76f386f328002800eafffaff2400f4ff
8,8,0,d24972447478623e0e6f1e0a625a7cd44efc5cfc0600f8ff94ff94ff4efe3efe,ce02ce02f0ff0e000000f2ffeefffefffeffeeff3400beff000000001e004e00,f0fff0ff1e00fcff2c00e6ff26001600feff0c00f4ffe4fff2fff2fff2ff2200,ecff0c008c018c0184068406be0ace0aa6f396f31800d4fffaffeaffd4fff4ff
9,9,0,f88f26be389b34fb789302142899482d3efc5cfce8fff8ff94ff94ff4efe4efe,a002ce02f0fff0fff2ff0000feffeeff0c000c0034004400000020001e000e00,f0fff0ffecff1e001800f6fff6ff06000c00feff0200f4ff20001000f2ff1200,fcffbcffac018c018406a406be0a9e0a96f396f32800d4fffaff1c003400f4ff
