Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,f8f4a627180f68320c15f6261e176e14acfe8efe14004200a0fda0fd4af73af7,a801f2010a001a00daff0c001800f8ffd8fff6ff0e00f0ffd8ffd8ff26000600,02000200fafffaff0800faffe8fff8ff0e000000f4ff9400d2ff3000faffeaff,f4fff4ff000000000400d4ffae10fe10f8ffcafffaffeaff24000400f0ffd0ff
1,1,0,7ef77ecf0cf24cdd96dcb0db8ec782db9efe9efe24001400a0fda0fd7af77af7,b601f2010a00f8fffaff0c000800080004000400e0ffe0ffe6ffd4ff26002600,e0ffe0ff0c00faff4a00eaff080008007cff7cff6400e4ffe2ffd2ff1a00eaff,04001400f0ff0000d4fff4ffde109e10060006000c00eafff2ff0400f0fff0ff
2,2,0,620f8e28be25bc294c265016d22020fdbcfe9efe42003400a0fda0fd4af76af7,c601b601f8ff1a000c00eafff8fff8ff0400f6ffd2fff0fff6ff1800c8ff1600,22002200faff0c00eaff4a00180018001e001e0022006400000000002a000a00,14000400f0ff1000c4ffc4fffe10de10f8fff8ffeaff2c00d2ffd2ff0000e0ff
3,3,0,1edfc4d6d0df88ece6d176f1bac55ef69efe9efe42002400a0fda0fd6af76af7,d401b6011a002a00fafffaff280008000400f6ffe0ffe0ffe6fff6ff36002600,e0ff1200faff0c005a00faff0800e8ff0e000e0002008400000020000a00faff,240004002000e0ffc4ffb4ff9e10de10e8ff06001c000c00240014002000f0ff
4,4,0,7823321a74312415ea2934fdda1af2e1bcfe9efe34002400a0fdb2fd6af75af7,f201c6010a000a000c00faff0800f8ff04001400e0ffc2ffd4fff6ff1600c8ff,f0fff0ff0c00daff5a00eafff8fff8ff00000e00e4fff4ff200000001a00daff,f4ffe4fff0ff0000e4ffe4ffae109e100600e8ff1c00eaff0400f2ff2000f0ff
5,5,0,28d108eb20dbfc04f8d5b60b06d3820f8efeacfe24002400a0fdb2fd7af76af7,e401a8013a002a001c00faff280028000400c8ffe0ffd2ff1800180026001600,32001200eaff1c00eaffeaff0800f8ff0e000e00f4fff4ff2000c2ff0a000a00,f4ffe4fff0ff0000c4ffb4ffde10ae10e8ff1600faff1c000400140030004000
6,6,0,062aca01c42e6afbe81d42e416076acc8efe9efe42004200b2fdb2fd5af73af7,b60112020a00e8fffaffdafff8ff18000400f6fff0ff1e00d4ff18002600d8ff,02001200eafffaffeafffaff08000800000000000200f4ff10002000eaff0a00,04000400f0ff0000d4ffd4ffbe109e10060034000c00eaff0400f2fff0ffe0ff
7,7,0,3ed2c40536e5201ee0e7f22062ebce1e9efe9efe24002400a0fda0fd6af76af7,c601c601f8ffd8ffeaff0c00f8ff18001400c8ffc2ffe0ff3a001800c8ff3600,120002000c00faffeaff28000800f8ffc0ff0e00f4fff4ff20003000faff0a00,f4ffe4ff00000000c4ffa4ffae10de101600f8fffafffaff0400140000002000
8,8,0,2421bee73e1e72e5580740d432ec62c4acfebcfe34003400a0fda0fd4af77af7,b601b6012a00f8ff0c00fafff8fff8fff6ff0400e0ffe0fff6ffc4ff16004600,020012000c00faff8a001800180008000e000e00d4ff02002000e2ff0a000a00,a8fff4ff0000f0fff4ffe4ff8e10de10cafff8ff1c000c00e2ff1400f0ffe0ff
9,9,0,10e2e21c1efbd22e8201742a96061e1facfeacfe34001400a0fda0fd8af75af7,b601a8010a000a00fafffafff8fff8fff6ffd8fff0ff0000e6ffe6ff16000600,f0ffe0fffaff0c0038000800b0ff080000000000d4ff1200e2ffe2ffeaff0a00,1400b8fff0fff0fff4ffe4ffae10de103400daff1c000c002400040010001000
10,10,0,f40bf0d40c0510db4ced52d286d31accacfebcfe34003400a0fdb2fd3af73af7,b6017a01f8ff2a00eafffaff94ff0800c8ff0400d2ffe0ffd4ffc4ff16001600,e0ff02000c001c00fafffaff4800d0ff0e000e0002000200d2ff00000a00eaff,f4ff0400f0ff1000c4fff4ff9e108e10f8ff06000c003c0014001400e0ffe0ff
11,11,0,f6fa5a291415c231c6196824ba1a0210bcfe9efe24002400a0fda0fd6af77af7,d401a801e8fff8fffafffaff3800c4ff14000400d2ffd2ffd4ff180016003600,e0ff0200fafffaff0800faff0800f8ff7cff0e00f4ff320020002000daff0a00,98ffe4ff1000e0ffe4ffc4fffe10261006000600fafffafff2ffe2fff0ff0000
12,12,0,6cf11ed0d4ecc0dfeed8c8dfcac562e19efedcfe34003400a0fda0fd5af76af7,0202d4012a00f8ffcafffaff18000800f6fff6ffc2ff50ff2a001800c8ff0600,12001200eafffaffdaff4a00f8ff1800d0ff0e0002001200c2ff2000faff1a00,340014003000f0fff4ffc4ffae10ae10f8ff16001c000c00f2ffd2ff00001000
13,13,0,be14862670290a26a4283211f220def6acfe9efe24002400b2fda0fd5af75af7,a801c6011a000a00caff1c0008003800f6ff1400e0fff0fff6fff6ff36002600,020002000c000c00eaff28001800080000000e00f4ff1200e2ffe2ffeaff2a00,2400b8ff00000000b4ff04009e10ae10160024000c00eaff0400e2ff3000f0ff
14,14,0,a0da52da6add76f16cd16af76ec750fcacfe8efe24004200a0fda0fd4af74af7,c601c6012a000a000c000c00080008000400f6fff0ff1e00e6ffd4ff16002600,02001200faff1c00daff28001800f8ff00000e00e4fff4ffe2ffe2fffaff0a00,0400b8fff0ff2000e4ffe4ff8e108e10f8ff16000c00eaff0400d2ff0000f0ff
15,15,0,56264c157832460f8e282cf76e174cdcccfeacfe42002400a0fda0fd2af76af7,b601e401e8ff0a00faffeaff180008001400d8ffc2ffc2ffe6ffd4ff3600b8ff,e0ff0200eaffeaff6a00fafff8fff8ff00000000e4ffe4fff2ff40000a00faff,b8ff2400f0ff0000e4ffc4ffde10ee10060006002c00faffd2ff140010001000
16,16,0,f8cfd2f01edcd20a0cd95011b6d7fe13acfe8efe34001400a0fdb2fd4af73af7,d401c6011a000a00eaffdaff2800080004000400d2ffd2ff2a00e6ff26002600,12000200faffeaff5a00eaff3800f8ff7cff0000f4fff4ff200020001a000a00,1400b8ff0000e0ffa4ffd4ffde10de10dafff8fffaff2c0014001400e0ff3000
17,17,0,6a29b2fb222caef5a8197adf320162c98efe9efe24003400a0fda0fd4af74af7,a801c6010a001a00eaff0c0028001800d8fff6fff0ffc2ff1800180006002600,f0fff0ffdafffafffafffaff180018007cff0e00c4fff4ff1000e2fffafffaff,2400a8ff0000f0ffe4ffe4ffbe10ee10e8ff16000c00dafff2ffd2ff1000f0ff
18,18,0,c0d4760baae9982298ed8624a6f172208efeacfe24004200a0fdb2fd4af74af7,c601d4014a001a00eaffeafff8fff8fff6ff04000e002c001800f6ff2600c8ff,02000200faffeaff6a00faff280018000e007cffe4fff4ff2000d2ff0a00faff,1400b8ff20002000d4ffe4ffae109e100600daff1c000c0034000400e0fff0ff
19,19,0,581d6ee206191ae2820180d226e6d2c4ccfeacfe24003400b2fdb2fd2af75af7,f201d4010a002a00dafffaffe8fff8ff04001400f0fff0ff2a00d4ffd8ffc8ff,020022000c001c00faff4a001800f8ff00000000f4ffe4ff20000000eaffdaff,c8fff4ff10000000d4fff4ffde10be100600dafffaff1c00e2ff0400f0ff0000
20,20,0,f2e6e620b000b030a607642af20bd41c8efe9efe34001400a0fdb2fd3af76af7,c601c601e8ff1a00eaff0c000800f8fff6fff6fff0ffb2ff1800180006004600,12000200eaff0c000800faff3800e8ff0000c0ff64000200d2ff00000a001a00,e4ff24000000f0ffd4ffd4ff1610de10e8ff0600faff2c00e2fff2ff20000000
21,21,0,22067ed258ffe4dad2e740d42acfeacfacfeacfe34002400b2fda0fd5af74af7,c601e4010a001a00faff0c0028002800f6ffd8ff2c00d2ff1800d4ff16001600,d0ff0200fafffaffeaffeafff8ff180000000e00d4ff4400f2ffe2ff1a000a00,78ffe4fff0fff0fff4ffd4ffee101e11160016002c00faff0400040020002000
22,22,0,6c01f629341a92307a1ef2207c1dd20a9efe8efe42002400a0fda0fd5af72af7,d401b6011a002a00dafffaff180028002200d8ffe0fff0ff3a00e6ff26002600,e0ffe0fffaff1c00eaff4a0018002800bcff7cffd4ff020000001e00faffeaff,f4ff140000000000e4ffe4ffee10de1016002400daff1c002400e2ff10003000
