Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,6a3d864c1c64d644ba57fc0fda5c2ef006fe06fe420042009aff8affdaf8eaf8,20014c010a000a000a002a001400140008000800180008000400f2ff0a000a00,0600160020002000f2ff2e0090ff280012002200e8fff8ffeaffdcfff0ff0000,86ff22001800f8ff62007200c809d809fefffefffcffecff0c000c0016002600
1,1,0,faa712be54a944ec70955af996a1862006fe06fe32004200aaffaafffaf8faf8,8a015c010a001a001a000a00f4ff24000800daffeaff62ff0400c0ff0a00faff,1600e4ff00000000e2fff2ff2800f8ff120002002600e8ff1800eaffe0fff0ff,3200c6ff3800180072005200c809b8090c00eeff1e00ecff0c00dafff6fff6ff
2,2,0,305a9820686d960d304d54d6223e72b8f6fdf6fd420042009aff8affdaf8faf8,6c017a010a000a001a002a001400140008000800faff72ff140004003a001a00,060006002000eeffd4ff4e000800a0ff02000200e8fff8ff3600faff20002000,b6ff2200f8fff8ff62007200d809400afeff1c001e00fcffeaffeaff16001600
3,3,0,709a28f300b1a626feaf023032cec24ee6fd06fe420050008aff9affcaf8faf8,5c017a01f8fff8fff8ff1a00140004000800faffdaffeafff2ff04001a003a00,f4ff0600eeff1000e2ffe2ff0800f8ff120012000600e8ffeafffaff10002000,020002001800080092007200d809d809deffceffecff0e00eaff0c00f6fff6ff
4,4,0,b056bae7a05552d5f4249ca7d6076297f6fd06fe420050009aff9affeaf8daf8,7a014c011a004e000a000a00140014001800faffcafffafff2ff1400bcfffaff,1600f4ff0000100010001000e8ff080002001200b8ffb8fffafffaff00000000,b6ffe2fff8ff0800820072005809b809deffeeffecffecffeaff0c00c6ffd6ff
5,5,0,80ae3c2b3ed7e65722e38852ee09ce5fe6fde6fd420032009aff8affdaf80af9,8a017a011a00e8ff2a001a001400f4fffaff0800dafffafff2ffe2ffbcffdcff,26000600000010000000f2ffa0ffb0ff020002000600e8ffeaffeaff00000000,220002000800080082006200d809b8090c000c00ecff1e00eaff2c00e6ff2600
6,6,0,0034b0b52224f8af82ecd6935ecce297f6fd06fe500042009aff8afffaf82af9,6c015c01d6ff1a000a000a00040004000800faffdaffdafff2ffe2ff0a000a00,360016002000eefff2ff0000f8fff8ff12000200f8fff8ff0800faff00001000,b6ff02000800180052006200b809d809deff0c00fcffecffeaffeafff6ffc6ff
7,7,0,00dd9a52da0ff66d701cfe54c63f824d24fef6fd42004200aaff8affdaf8faf8,6c016c010a00e8ff0a000a001400f4ff1800faffcaffeafff2ff1400acff2a00,1600160010003000f2ffe2fff8fff8ff120002000600f8ffdaffdaff00000000,b6ff1200f8ff080072007200b809d809eeffdeff0e00a4ffcaffeafff6ffc6ff
8,8,0,06fee49b02ea26aa1cb720a28ea0fab932fe24fe420042009aff8affdaf8daf8,5c015c010a00e8ff2a002a0024000400faff0800eaffdaffc0ffd0ff2a00acff,2600060000001000e2ff0000f8fff8ff02000200d8ffd8ffeaffeaff00000000,0200b6fff8ff280062008200b809d809feff0c000e000e00eafffaffd6ffe6ff
9,9,0,6a16045cf6469062724856375a5d721e06fe24fe420022008aff9affdaf81af9,8a0198010a001a00e8fff8ff2400f4fffafffaffcaffdaff140004000a000a00,160036002000eefff2fff2ff1800b0ff020012000600e8ff3800cafff0ff2000,02001200080018005200520088097809defffeff0e00fcff1c000c0016003600
10,10,0,10c71ea3f0baa0c5869722cd2e9336f206fe24fe420022009aff9affeaf8eaf8,5c015c010a000a000a002a0024002400eaff080062ffeaff1400e2ff0a001a00,f4ff06007a000000000000001800f8ff220002000600f8fffaffcaff3000e0ff,e2ff1200f8fff8ff92007200c809b8090c000c000e00fcff1c00eaff16000600
11,11,0,3a46ae44266962395458d4029258a6e2f6fd06fe420042009aff8affcaf8faf8,6c013e010a002c000a00f8ff1400140018000800dafffafff2ffd0ffccffbcff,0600160020000000f2ffe2ffb0ff1800f4ff02002600f8ffdaff3800f0ff4000,220032000800080062008200d809d8090c00feff0e00fcff0c002c00f6ffe6ff
12,12,0,fea10ac94ca882f99498a0061ea90a2df6fdf6fd220032009aff8affcaf8faf8,5c016c01d6ff0a001a000a00b0ff0400faffdaffdaffeaff3600f2ff3a001a00,06000600100010002e0000001800b0ff120012008800d8ff1800eaff1000f0ff,1200a6ff1800f8ff62006200e809e8090c003c000e00fcffbaff0c0036001600
13,13,0,6e5c2214d66a2800604606ca5633a2aef6fdf6fd420042008aff8affdaf80af9,6c017a01d6ffe8ffe8fff8ff24003400fafffaff52ffdaff0400f2fffaff2a00,2600260010002000e2ffe2ffe8ff180002000200e8ffe8ffeafffaff00001000,02001200e8ff180072006200b809900a1c00fefffcff1e001c00eaff1600f6ff
14,14,0,3e9c460056b76833c6b9503aeada9e5506fe14fe320012008aff8affeaf80af9,6c015c01f8ff0a00f8fff8ff2400a0ff1800faff62ff28000400e2ff0a000a00,0600060020000000e2ff0000a0fff8ff020002000600d8ff0800380000000000,a6ff12000800e8ff52006200a809b8091c003c00fcff0e00eaff0c0006001600
15,15,0,5451ccda704c9acad01844a012fa3e94f6fde6fd120032008aff9affcaf8caf8,5c018a012c000a001a00d8ffb0ff0400fafffaff52ff72ffe2ff04000a001a00,0600f4ff0000200000000000080008000200f4ffd8fff8ff0800eaff10004000,e2ff3200e8fff8ff52007200d809a8090c000c000e001e00eafffafff6ffc6ff
16,16,0,1eb72036c0e3605fe4ef04564a179a5e06fef6fd320042009aff8afffaf80af9,5c016c01e8ff0a00f8ff0a00c0ff04001800faff62ffdafff2fff2fffaff0a00,f4ff0600100010000000f2ffa0ff08000200020068005800cafffaff10000000,f2ff0200e8fff8ff72006200d809d8093c001c00dcff0e00eafffaffe6ff3600
17,17,0,e02830ad0c175cab52df3c944ec0fa9cf6fd14fe420032008affaaffdaf8eaf8,6c015c010a000a00f8ff0a00b0ff240008000800dafffaff040036003a001a00,0600060000003000e2fff2ffb0ff08001200020026007800caff080000003000,020002000800f8ff82005200400a400afeff1c000e00dcfffaff0c00d6ffc6ff
18,18,0,bce9c257601d346e6a282051fe48dc4406fef6fd420042008aff8aff0af9daf8,7a018a01d6ffe8fff8ff1a002400240008000800080008001400e2ff0a001a00,0600f4ff200030002000f2ffa0ff1800f4ff0200f8ffe8fffaffdaff10000000,22001200f8ff180082007200c809400afeff1c001e00ecfffaff0c00f6ff2600
19,19,0,e6f0709acedda0adaeadbea99c9aaac506fef6fd320042009aff8affcaf8faf8,7a013e01f8ffe8ff0a000a00d0ffb0ff26000800eaffdaff04001400bcfffaff,f4ff060010001000000000000800f8fff4ff2200f8ffe8ff1800baff00003000,02001200e8fff8ff82007200400ab8090c001c00dcffecfffafffaffd6ffe6ff
20,20,0,da2288592251625bfc4eea2c805f401124fe14fe220032008aff9affcaf8baf8,6c016c01e8fff8ffd8fff8ff04002400eafffafffafffafff2ff1400ccffccff,0600160020003000c4ff3000b0fff8ff020076ffd8ff78001800fafff0ff2000,1200e2ff3800f8ff72008200b809b8093c002c000e00ecfffaff0c000600f6ff
21,21,0,3abc1aa92eb4b2cfb894e6d98095380006fe06fe42002200aaff9affeaf8faf8,6c016c01f8fff8fff8fff8ff2400b0ff18000800caffdaff3600e2ff0a002a00,060036001000eeff10000000f8ff18000200020068006800caffeaff00002000,22001200e8ff0800520062009809500a0c001c000e000e00daff0c00d6fff6ff
22,22,0,304e683b626c042d1857b8f5a05260d506fef6fd320022009aff9aff0af9faf8,7a016c012c00e8ffe8ff1a003400a0fffafffaffeaffcaff1400f2ff0a003a00,06001600deff00000000f2ff0800e8ff22001200c8fff8ffcaff180010001000,f2ff1200f8ff180082009200c809b8092c001c001e000e001c000c00f6ffd6ff
23,23,0,b89dacd48aa8ea066a9d701390b25c38f6fdf6fd320032009aff8afffaf80af9,6c015c01f8ff0a00d8ff0a00c0ffc0ff1800eaff72ffdafff2ff04000a00faff,2600160020001000c4fff2ffe8fff8ff120022003800060008001800d0fff0ff,1200f2ff1800080052006200400ab8091c002c00fcffecff0c002c00d6ffc6ff
24,24,0,ba5c12077a6626f3d03dacbe98277ea514fe06fe320012008affaaffeaf8faf8,7a018a01b6ff0a00e8ffd8ff2400c0ff1800faffeaff62fff2ff04004a001a00,0600f4ff100000000000e2ff90fff8ff020002009800e8ffeaff080000003000,320012000800f8ff920052009809c809fefffefffcfffcff0c00dafff6ff0600
25,25,0,809f9c0d06bf4a3fd0c4184398e8cc5af6fd06fe420042009aff8afffaf8faf8,4c017a01e8ffe8ff0a000a00040004000800daffdaffeafff2ff36000a000a00,160006000000eeff0000e2ffa0ffa0ffc6ff0200e8ff2600daffeaff00000000,f2fff2ff08001800720062009809d809feff0c000e00ecffeafffaffc6ffe6ff
