Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,283727371a371d3712370f370f371037e136df36e836e73600380038d336d336,e80260260c036338a7065349c81455621e02ad240b039c38e4041449630ba45a,d736d6360d37e636263728370e37ea360f370e374b374a374d35283597369836,d036d23612371037dd36db3613391339673669360f37ea36563758375e385e38
1,1,0,28374c371c371b371237113710371037e336e236e436e53600380038d236d236,1e6b6538a7686826a8621f1516495e05286b2237a06a0927d7629714914a2705,d736d836e536e536263725370d37e9360e3709374f3827372a36263598369836,d236d23613371337da36de3613390d39673666360d3710375c37583762386138
2,2,0,4c374d371d371b37123711370f371037e236e236e536e63600380038d336d336,e304aa46d5125c58da1ad6666534936915036046a00a04595521db6665331d6b,d736d736e636e436283726371037e83610370e374a374d374e364e3696369636,d036d43611371337db36dc361139103969366a36e9360d375b37593760386038
3,3,0,4c374d371b371c370f37113710370f37e136e236e636e63600380038d436d436,d9645d18de54a610263c6303cb286702d664d516cf56da08103ba402e0282101,d736d736e536e636293728370f370d370e370f374d384c374e35273599369a36,d036d33611371137dc36dc360f39e938673667360e37e9365737573762385e38
4,4,0,283727371e371e371337113710371037e036e036e636e63600380038d336d136,6118da641d2a616a1e3b316c9f541269a616a9645a314c6cd23a646ce754a66a,d636d536e436e436263727370f37ea360f370f374d374c372735283598369636,d336d13612371337d936db360f391039693667360e370d375737573762385f38
5,5,0,283725371b371b371137103712371037e436e236e836e53600380038d336d336,a746e204a134d202e522610360125d0793461d035836d5026a219c0250091d07,d736d536e836e636283726370f37e9360e370e3726374d374e36293598369836,cf36d03613371137da36d93610390f3967366836e936e9365437573761385e38
6,6,0,25374d371d371b3714370f370e371037e236e136e636e63600380038d336d136,8f381e6b684ad96aa262d7666668e2561237276b044bd16ca0620d67e3686958,d736d536e436e53625372837ea36ea360f370b37263726374f35273596369436,d236d13611371237d936da36e938e738693667361037ea365637543761386238
7,7,0,27374d371a371d371237123710371037e236e136e536e83600380038d336d036,5a26eb02e314d306aa061a159c022a25dd241b024d15a006150563145a011e25,d536d736e436e63625372737ea360e370a370e374d37273727354c3597369836,d136cf3612371137d836db361039153968366836e936e9365937583760386238
8,8,0,263728371f371c371337113712371037e236e136e636e73600380038d236d436,9460a068e566925ae06a5a49da6ae6362457a5689f6896640d6b514a676c5138,d736d536e536e436273727370f370e370e370e3724374b372835283596369636,d236d13611371137db36db361039133969366836ea36e83658375b3762386438
9,9,0,26372737193718371037123713371037e236e136e636e63600380038d136d236,9508d40a5803111bd702dd34c7049b46db06150961041b24130161345d03b046,d636d636e536e636273727370e370f370e370f374d3727372b362a3597369736,d236d03610371237db36dc36e9381039683669361037e9365737553761386238
10,10,0,293729371b371c37113713370f371037e036e136e636e83600380038d136d236,646ad254516ce23a5c6a12295b64e0166469a1541b6da344696aa328e664e616,d736d636e536e63627372737ec36eb360f370f37273726372935293597369736,d136d03611371137db36da361139103967366736e9360e37583754375f385e38
11,11,0,273728371b3719371237133711371037e236e136e736e53600380038d236d236,d002242a6203543cd40812554d17a064de00a3285e04cc441007e15416171a65,d536d336e536e536283727370f370e370f370e374b3726372936513698369836,d136d03613371037da36da361339103969366736e836ea36573757375f385e38
12,12,0,26374d371b371d371137143711371137e036e236e636e73601380038d136d136,d16a9634a566a31a4d57a60a29459204dd6a2733a06845242a5716099d465503,d536d636e436e736263726370e370d370e370f374b374b372935273599369636,d136cf3613371237db36db3610390d3968366736e9360d3757375b3763386138
13,13,0,283729371c371b371337113710370f37e236e236e736e63600380038d336d336,d606954a2b15d55aa026d6686340de6ae80451524b158f641a25e0686538676c,d736d636e736e736273725370e370e370f370f3726374c3728354d3599369836,cf36d13613371137dd36db361139103968366836e836eb365c37583761386038
