Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,1a53596456615d60ec64de508c68ce3a5c385d38e536e43652375337da36d936,de36da3621372137d336d336a336a136a736a736cd36a73611371137e036e036,dd36df36db36d936de36db36d036ce36e036df3616381638eb36eb360c37e536,63386138e336e336ec36eb360a370a37193719371d371b3785355e351c371f37
1,1,0,101523162909a12466085d342d1468465c385d38e436e33652375537da36db36,dd36dc361f371e37d236d136a236a236a736a836a736cb3612371337e136e036,e036e136db36d936db36dc36d036cf36e036e13617381638e836e8360a370b37,61386338e336e336eb36eb360a370a37183718371d371f375f355f351d371e37
2,2,0,6664de529d666244e3642233db5a5d265b385d38e336e33650375237d536d736,db36db3621371f37d036d236a236a536a836a536a536cc3614371137df36e136,df36e036db36d936db36dd36cf36ce36e036e13610371137eb36e736e7360b37,61386338e436e436ed36ed360b370c37193718371c371e3785355f351e371e37
3,3,0,63100f31e3082c418d141351141b555a5e385c38e736e33656375337da36d736,dd36dd3621372037d136d436a136a236a736a936a836a83612371137de36df36,e036de36d936dc36dd36de36d136d136e136e13611371538ec36eb360b370c37,62386738e436e536ed36eb36e736e636193718371b3719375e3560351d371d37
4,4,0,1e665936e362a2261c551b189048cb1459385938e336e33653375137d936d636,db36dc3622372137d236d236a136a336a836a636cc36cd361437ec36de36e036,de36df36d936db36dc36dc36d136d036df36e43612381638ec36eb360c370c37,64386138e536e536ee36ec360b37e736173718371d371c3761355c3520371a37
5,5,0,a612a546621766550028e95acc3861685f385e38e436e43656375337d836d736,db36de3621372137d536d436a236a236a936a636ca36ca3611371237e036de36,df36de36da36d836dc36db36d036ce36e036e03617381738eb36eb360a370c37,63386138e336e236ee36ec3609370a37163718371b371d375f3560351d371e37
6,6,0,e756e818e2486914d638cc08dc32cb125b385e38e336e63653375337d936d836,db36dd3620372137d336d336a136a236a636a836a536ca3611371137e036e036,e036e036dc36dc36dc36de36d336d136e036dd3617381638e836e9360c370c37,63386038e236e436ec36ec360b370b371837193718371a3785355c351a371e37
7,7,0,881b1d599f3422658f4466665c5690665d385d38e336e43652375237d736da36,dd36da361e371f37d136d236a036a336a536a736cb36cb3612371137e036e036,de36e036db36d836de36da36cf36ce36df36df3617381a38eb36eb360f37e536,63386538e436e536ec36eb360a370c37193719371c371a375e355e351c371c37
8,8,0,0f43e910222b9908271b2a0910174a1759385a38e336e23650375237d836da36,db36da3620372037d436d136a2369f36a736a436cb36a73610371137df36df36,df36de36d936d936dd36de36cb36d236df36de3615381638eb36eb360a370b37,62386438e536e536ef36ed36e6360a37153718371b371d375d355f351d371d37
9,9,0,1e415b665449f2645e58e858a466e4545d386138e336e43653375237d636d836,db36dd3621372037d436d136a136a336a736a736a636a73614371137e136e036,df36e036d936dc36db36dc36d236cf36de36df3619381638ea36eb360c37e536,61386338e636e536ec36eb360c370b3718371a371a371d375f355d351f371d37
10,10,0,241da8102117a7149d0a6419540a56345d385b38e336e33653375437d736d836,db36dd3620372137d236d236a236a136a736a636cb36a73613371137de36df36,e036e136db36db36dd36db36d436cf36e136e13617381638ea36ea360a370a37,60386138e336e236ed36ec360a370c371b3719371d371b375f355d351c371e37
11,11,0,5956995a226322555a6660465c68503758385e38e336e33652375237d736d636,dd36de361f371e37d236d436a236a136a736a736cc36a63612371337e036df36,de36dd36db36d836dc36db36d136ce36e136e03615381738ea36e6360d37e736,61386138e536e536ef36ee36e6360a371a3719371d371c375c355f351d371c37
12,12,0,1d133018dc08ee2697080338dc14d64859385938e336e33655375137d936d836,dd36dd361e372037d236d336a336a236a636a536cc36cb3613371137de36e036,df36de36d736da36db36db36cf36ce36de36e23610371738ea36ec36e4360c37,61386138e536e436ef36ed360b370b371b3719371d371c375b355a351a371d37
13,13,0,e66490489c66dc385a5ca228175ad41a5b385b38e436e43655375537d936d836,da36db3621372037d136d136a236a236a836a636a736cb3612371537e036e036,de36de36da36d936df36de36d236d036df36df3617381838e836e9360a370d37,62386438e536e536eb36ed360a370c3716371a371a371d37843561351d371e37
