Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,f6fff6fff6ff0400f6ffd6ffecfffcffe4ff060000000000deff100042003200,f4ff2600eeff1c000600e8ff0e000e00e6fff6ff4000d0ff4600feff02001200,0e000e0014001400f2ff0000080008006400200028000800160016001e00eeff,e0449a06a4341205de22320629139c121a45e80454330d03a41aa804db141413
1,1,0,14000400f6ff1400e6ff3400fcff0c001600f4ff00000000deffdeff02001200,f4fff4fffefffeff160006002e000e00e6ff04000000f0ff28000c00e2ff0200,f0ff0000f6ff0400300010001800e8ff1000deff0800180016001600deff1e00,6838b0686052d768df586c64a06629565737586a1a511269286115651e699a57
2,2,0,e6ffe6ff24000400e6ffe6ffecff1c000600f4ff1000eeffeeffdeff42001200,e4fff4ffeefffefff8ff26001e00fefff6ff0400e0ff4e003800eefff2fff2ff,0e0000001400f6ff300000001800e8ff2000000018001800060016001e000e00,2925dc049b160d092e08ac16dc04e62611252503dd140f07d40655154b059727
3,3,0,1400040014001400e6fff6ff0c000c00f4ff260010000000deffdeffa2ffc2ff,e4ff1600feffeeffd8ff2600eefffeff24000400d0ff0000feffdeff02000200,000086ff040004003000f2ff08001800eeff00003800180006000600feff0e00,a1562a654c66cd589d685f48d568de36e056d1665166d6602369a648566b0739
4,4,0,04002400140014000400e6fffcff1c00f4fff4ff2000eeffbcffeeffd2ffc2ff,f4fff4ff0c00feff2600d8ff1e00eefff6ff1400b2fff0fffaff38001200f2ff,00000e0024000400200000001800d8ff10001000f6ff1800460016001e00feff,150999146806d924a3040f361010a14693081313690317231603d83454079e47
5,5,0,04000400f6fff6ff0400e6ff0c001c000600f4ffdeff0000eeffeeff5200d2ff,0600f4ff6800feff160026000e001e00f6fff6ff0000d0ff38005600e2ff1200,00000000c6ff14000000f2fff8fff8ffdeff540018001800060016000e001e00,2167a74a4d69a842e666a9288d5a9118c8681353696a6a429568a328015d2319
6,6,0,040004001400f6ff040004000c00fcfff4fff4ff000010000000ceff12001200,26002600eeffeeff06000600feff0e001400d6ff4000e0ff3800380012002200,0e000e000400f6fff2ffd2ff1800f8ff10001000f6ff180026001600fefffeff,9c04622aa9066a4498096e5426191363e3022732c80419431309a454d7228c66
7,7,0,f6fff6ff14000400f6ff0400fcff0c00f4ff0600eeff00001000deffc2ff3200,e4ffd4ffeeff1c002600d8fffeff0e0004000400f0ffe0ffeeff180012001200,0e000e00f6fff6fff2ff000018001800eeff540028001800060016000e00deff,5b682233d2641d231b56f312dd440010e3681c33e3646c228f56a4121a471407
8,8,0,04000400f6ffd6ff14001400fcfffcff0600e4ff0000000000001000b2ff3200,f4ff06000c000c00f8ffe8fffeff0e000400e6ff0e00f0ffdefffeff12002200,000000000400f6ff0000f2ff18000800000000001800f6ff060026000e00feff,a00818494e175a59ef26a366a538df68130729525b165362ce2621676d39626b
9,9,0,e6ffe6fff6ff0400e6ff04000c00dcffe4fff4ffeeff0000ceff000012003200,f4fff4ff1c001c0016002600fefffeff14001400e0ff3000feff0c0012001200,0000f0ff1400f6ff20002000c8ff1800deff640008001800160006001e001e00,29571a159f489908a736ae042525ed04c658a0139248c706d736230314275b05
10,10,0,1400f6ff04002400040014000c00fcff16000600deff1000bcffeeff02002200,f4ff06001c001c00260036001e00feffe6fff6ff4000f0ffeeffdeff02000200,0e00000004000400f2fff2ff1800e8ff5400100018001800260046000e001e00,9324dd648e361069ab46aa68df564e661f235766e3342269d2465b691b59d768
