Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,de36dc361d371a370d380a38e138e3385a385738e736e6362d375137d936da36,dd36da3620372037d336d236a136a336a836a736cc36a6361437ec36e036df36,dd36dd36db36db36dd36dc36ce36ce36df36df3616381538e636e836e736e736,5f385f38e336e236eb36ea360c370b3793669e3ad5649c2a0b572521704ae20c
1,1,0,dd36de361a371a370e380c38e238e43859385938e836e73650375237d836d836,dc36da361f371e37d336d436a236a536a936a636a636ca3612371237df36df36,dc36dd36da36d836dc36de36d136cf36de36dd3610371338e736e6360b37e736,5f386038e136e336eb36eb360b370d371f09e4421915d24a61211d57e032e064
2,2,0,dc36dd361a371b370b380e38e338e33856385638e736e73652375237d636db36,db36db361f372137d436d336a336a436a636a636cb36cc3611371037e136e036,dc36de36db36db36dc36db36d036d136de36dd3616381338e636e836e7360b37,61385f38e536e136ed36ec360d370b376762ec249f4ccf165044e010e434a108
3,3,0,dc36dc361c371b370d380a38e538df385d385838e636e53651375037d936d736,db36da361f371e37d336d136a336a536a736a736cc36cd3611371137e136e136,dd36dc36dc36d936db36dd36d036cf36e036dd3617381738e936e8360b370a37,5f386138e336e236ec36ec360b370d37ea18e6569e286064de36d26497482466
4,4,0,de36de361a371b370d380c38df38e2385c385938e636e53652375137d836d936,dd36d93620371f37d136d536a336a236a736a936ce36cb3612370f37e036df36,dd36dd36da36db36dd36dd36cc36d036df36df3615381137ea36ea36e7360a37,5d385d38e236e436ec36ea360a370c37244719134b37d20892251c07ab20590c
5,5,0,dc36de3618371b370a380c38e338e63856385938e736e63651375237da36d836,da36da3621372037d236d336a436a536a936a836cc36cc3611371137e036df36,de36de36d936d836de36dd36ce36cc36e036df3613381638ea36e936e7360b37,5d385c38e236e336ef36ed360b370a375535516559468a664c549162aa62a656
6,6,0,de36dd361b371a370c380d38e738e33859385838e736e73650375137d936d836,db36db3620372037d336d536a536a336a736a936a736cb3611371137e036e236,dd36dd36d836d736dd36dd36cf36d536db36de3614381538ec36ea36e7360c37,5f385f38e336e536ea36eb360b370c37672a9d08d322a40a1f13591519095f26
7,7,0,dd36dc361a371a370c380b38df38e0385d385a38e636e83652375337da36db36,db36dd361f371e37d336d336a336a536a636a736cc36cd3610371237de36e036,dd36df36d936db36db36dd36cf36cf36de36df3611371538e836e836e7360b37,5f385d38e336e436ed36ed360a370c37d84aa7640b599e584e64d05072667242
8,8,0,de36dd361b371a370b380c38e138e33858385838e736e53651375237d936d936,da36dc361e372037d236d336a236a436a836a636cc36cb36ec361137df36df36,dd36de36db36d936dc36dc36cf36d136dd36df3610371338ea36ea360b37e736,5f385c38e536e336eb36ed360c3709379f161d158d0a2723e20653312c091943
9,9,0,de36dd361b3719370b380c38e738e2385a385538e736e43651375137db36d736,da36dc361f372037d236d336a536a736a936a736cd36cd36ed361437e036e036,dc36de36d936d836de36dc36ce36d136df36df3619381338eb36ea36e4360a37,5f386038e536e436e936eb360c3709375f6493549066dc448a641d33665ae624
