Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,de36de3619371b370e380f38e038db3857385838e536e63652375237d936d936,da36db3622372037d236d136a136a136a736a836ca36cb3611371137de36e036,de36dc36d936db36df36dc36d036d036e136e23616381538ec36eb36e6360b37,5b03ad282403533957082554d51626631837163718371937613560351d371c37
1,1,0,d936db361a371c370c380e38dc38de385b385838e736e43652375337da36d936,da36dd3622372237cf36d336a436a536a936a836cc36ca36ee36ec36e036e036,de36de36d836db36dd36de36d236d436df36e03612381338eb36ec360a370c37,526cda3613678e23d658570b5c485505193717371a371a375f3584351a371c37
2,2,0,df36dd361b371a370d380f38e038df3858385738e436e43651375537db36d936,dd36dd361f372237d336d136a336a336a836a736a836cc3613371337de36e036,dd36dd36db36da36dd36dc36d136d236df36e03618381538ed36ea36e7360a37,dc0617496c14e758d7245268aa36e26a193717371b371a375d3585351c371d37
3,3,0,e036d9361b371b370d380c38e038df3859385638e836e43650375137d836d636,dc36dd3621372237d036d436a436a436a936a836cb36a83610370f37e136e036,de36dd36d736db36dd36dd36d436d436e036e03615381638eb36ec360a370c37,6964ec16d95216071a3925031627e60219371a3718371a37613561351c371f37
4,4,0,dd36dd361b371d370e380d38de38e03856385638e636e7364f375037db36d936,d936db3621372137d336d136a536a536a936a936cd36cb3613371237e036de36,dd36df36db36da36dc36dd36cf36d136e336e03613381738ec36eb36e7360b37,a71aaf6611338e691d46196ba756da68173719371b371a375d3586351a371e37
5,5,0,de36dd361b371b370c380c38df38de385b385b38e436e33654375237d936d836,d936da3622372137d136d236a236a336a636a736cc36cc3611371237df36e136,dd36de36d936da36dc36db36d336d136e236e03615381538eb36eb360a370c37,1f45ee049c32ac02e718d70418095c0a17371837193719375e355e351c371d37
6,6,0,df36dd361c3719370c380d38e238e13856385938e636e53650375337d936d836,da36db3620372037d236d236a436a336a736a836cc36cb3610371137e036e036,dd36df36db36db36dd36dc36d536d136e136e23611371037ed36ed36e736e736,df3a8f6c50535d6959641c6610695956173719371b371a375f3561351f371c37
7,7,0,de36dc361b371d370f380f38dc38e2385d385b38e536e63652375237d936d736,db36dd361f372137d236d136a336a436a636a736cd36cd361137ec36e036e136,de36de36dc36d936dd36db36d236d036e236e23615381538ec36ed360c37e736,d924a604211354075306e516e0026a281837183719371a37603585351c371c37
8,8,0,dc36dd361b371c370d380e38e138e2385b385c38e536e63652375237d836d736,db36db3621372037d236d336a536a536a736a636cc36ce3611371137e136e236,dd36dd36d936d936dd36dd36cf36ce36e136e13615381638ec36eb360b37e736,9f6262684f689d58e76a5148d66a54351837193719371a37603560351b371c37
9,9,0,dd36dc361c371b370c380d38de38de385c385c38e736e63651375137db36d736,d936db3620371e37d036d236a636a236a736a936cc36cc3612371037e136e136,dd36dd36d936db36dc36de36d136d636e036e23616381238ea36ea360c370d37,660816151603de24eb02de366a06d4481737183719371c37603560351b371f37
10,10,0,e036dc361a371d370c380d38e138e13859385a38e536e53653375237da36d736,dd36db3620371f37d236d236a436a636a936a936cc36cc3611371137e136e036,dc36de36db36d836dc36db36d036d036e036e23613381738ec36ec360c370b37,ee6a1f4b126bda38b168ea26e2626716163719371b371937603560351d371d37
11,11,0,db36dc361b371c370e380f38e138df3859385c38e536e53652375237da36d936,da36dc3621372137d036d136a336a336a836a836ce36cb3611371037df36df36,dd36de36d936d936dc36de36d436d436e036de3610371137ea36ed3609370d37,2903a234ad0423458c09dc56641a62661a371b371b371b37863587351d371e37
12,12,0,de36de3618371d370c380c38e138dd385a385d38e436e33652375237d836da36,dd36da3620371f37d236d436a236a236a736a936ce36cc3611371137e136e236,dd36de36db36d936dc36dd36cf36d336e036de3612371638ec36eb36e836e736,b16aeb32e364d31852561209904497041937193718371b375f3560351d371e37
13,13,0,de36dc361b371b370c380d38df38df385a385938e436e43651375637d836d736,db36da3620371e37d236d236a536a436a736a836cc36cc3612371137e136df36,df36de36d836db36dd36dd36d436cf36e036de3615381237eb36eb36e536e736,d908dd540e175c5ca02818699b3a1a6b193719371c3719375f3585351d371d37
14,14,0,df36dd361e371c370f380e38e238e03859385b38e636e43652375137db36d936,dd36db3620372037d336d136a436a236a836a936cb36cc3610371337e036df36,df36df36d936d936dd36de36d436d636e036e13617381538ef36ee360b37e636,ea58981415471d052336e2022e235503183718371c371a37873561351e371b37
15,15,0,de36de361a371b370d380d38df38e03859385d38e536e53652375237d736d736,db36da3620372137d136d136a436a336aa36a836a636cb36ee36ed36e136e036,de36df36da36da36dd36db36d136d036e136e23616381538ec36eb360b37e736,8e26d768e436e16aeb50d96a4f5ae36618371a371b371c3760355f351c371c37
16,16,0,db36de361d371b370f380c38df38de3859385938e536e63652375437d936db36,d936d93621372237d136d236a236a136a836a736cd36a836ed361137df36e036,de36db36da36da36dd36dc36d336d436e136de3616381638e936ec36e7360b37,23399504a926e1025e169c06e706ae14183717371b371c37613560351d371e37
17,17,0,db36db361b371b370f380d38e038e0385c385c38e736e33654375437d836db36,db36da3621372237d036d036a236a336aa36a936a636cb3611371137df36e236,df36dd36db36d936dc36dd36d636d436dd36e03616381638eb36ef36e736e636,d846666cde56a2689366d9629d6a9e52193717371a371b37873560351d371b37
18,18,0,dc36db361b371c370f380e38e238e0385b385c38e436e43654375437db36da36,dd36dc3621372137d336d136a436a436aa36a736cc36a73611371137e036e036,df36de36d936d836dc36de36d136cf36e136e03616381237f036ec36e7360d37,17195706da08910997049719b2025d34193718371b371a3760355f351c371c37
19,19,0,dd36de361d371d370e380c38e438e13859385938e536e43651375237d936db36,dc36dc361e371f37d236d036a436a536a936a836cc36cb3610371237df36de36,db36dd36d836d936de36dd36d136d236e236dd3619381237ec36ec360b37e836,e6645d66196913551f6b6544566a5c31183718371b371a375e3585351a371e37
20,20,0,dd36de361d371b370d380f38e238e33857385938e636e63652375237d936d636,dd36dc361f372037d236d136a236a236a836a836cb36cd3611371137e136e036,dc36dd36d936db36dd36dd36d336d136df36df3614381438eb36e9360a370a37,95069818b002a7285f04b34291089454183718371b371b378735613520371f37
21,21,0,dc36dd361c371c370c380c38de38e3385c385c38e536e43650375137db36d736,db36da3620372137cf36d236a536a336a836a936cb36ca3611371137e236e036,de36df36d936d736de36dd36d236d336e036e03617381638ee36e8360a370c37,5e6c6248ac6ae734de66221b65581013173719371c371b3761355e351d371e37
