Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,db36db361a371a370c380f38e038df3858385538e136e43650375237d836d936,db36da3620372137d236d436a536a436a636a736ca36cd3612371237de36de36,dc36dc36d736d736dc36dc36d436d336e036df3616381638ee36ea360c370c37,2b63a1564c65a2465866a836e362aa261937193718371b37853586351d371937
1,1,0,dd36dc361b371b370a380a38dc38de3859385638e636e53650375137d636d936,dd36da361f372037d336d336a336a436a736a736cd36cc3613371137e236e036,dd36dd36da36d836da36dc36d136d136e036e13612381538ec36ea360c370b37,1e09ec266c087036ac0a9f46271727551937183719371937603585351b371c37
2,2,0,da36dc361d371c370c380c38df38da3856385938e636e43650375137d836d636,db36de361d371f37d236d336a536a536a836a736ca36cc3610370f37e036e136,df36dc36d836d936dd36dc36cf36d336df36e03616381438eb36eb360c370b37,da665f3a665ce4284f585819e54869141937173718371a37863587351e371b37
3,3,0,db36da3618371b370e380d38dc38e13855385638e636e6362d374f37db36d936,db36db3620372037d236d436a636a536a736a636cc36cb3612371137e036df36,dc36dd36d836d936db36dd36d236d136e336df3619381638ec36eb360b37e736,8f0aad442715165367241d5952330d6517371a371a371837843584351e371c37
4,4,0,dc36dc3618371b370d380c38da38db3857385638e436e43652375137d736da36,db36dc3620372137d336d436a336a236a836a536cd36cb361137ed36dd36e036,dd36dd36d936d736dd36db36d036d136e036e13617381437ef36f036e6360c37,9562b124145328155d44270953336908183719371b371a37873584351e371c37
5,5,0,de36dc361a3719370c380c38dd38df3858385538e836e6362c375237d936d836,da36db361f372137d336d236a136a236a936a736cb36cd36ed361037e036e036,df36de36d636d936db36db36ce36d136e436e03615381538e836e9360a370b37,a21a9e58e428665c1339686608490a651837163717371a375e3584351e371d37
6,6,0,dd36db3619371a370c380b38db38db3857385938e336e53650375137d936d836,da36de3620372037d336d336a336a336a836a736cb36cc36ec361437e036dd36,dd36dd36db36db36db36db36d136d036e336e13619381738e936eb36e7360b37,e8461b1371366a089d26d70825176b14193718371a371b375f3586351d371d37
7,7,0,dc36dd361b371a370b380c38e038dc3859385838e436e23652375237d936d936,dd36dd3621372037d236d136a436a136a936a936ce36cc3611371137de36e136,de36dc36da36d836db36dc36cf36d336de36e03615381638ee36eb360c37e736,1b37a766a44628655256dd62e3622555193719371a371837853585351d371c37
8,8,0,de36dd361b3719370d380d38e138db3859385938e436e3362d374f37db36d936,db36db3620372137d336d536a536a436a536a836cd36cd3612371137e236e036,df36de36d736d736dc36dd36d436cf36e036e03614371538ec36ef360a370d37,2829e0082119aa125e0b5618b008a826173718371b37193760355f351c371d37
9,9,0,db36dc361d371d370c380d38dd38d93857385738e436e43650375137d736d836,d936dc3620372037d336d136a336a536a636a536cc36a8360f371237df36de36,de36de36d736d936db36db36d436d136e136e23619381938ed36ed36e7360c37,9954db641e591c57ec64de506966e3381937193719371b37853585351a371b37
