Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,dc36dd361c371d370d380d38e238e0385e385b38e536e63651374f37d736d936,db36dd3620372237d336d236a336a336496695625d6a634a206bdf38a468ad26,16001600e6ffd6fffcfffcff2400f4ff2c001a00caff0c00f0fff0ffb6ff0200,1e000e00f6fff6fff4fff4ffdefffeffe6ff44000a00fcfff0ffd2ff06001600
1,1,0,de36dd361b371c370b380c38e238e8385d385938e636e53650375037d936d736,dd36dd3620371f37d236d336a336a3364e034e1a94021333e0045c46670ab756,06001600e6ffe6ff0e000e00040004001a001a000c00f0ff4200120002002200,fcff3000280018005e00f4ff1e000e00f6ff04001a001a00f0ffc2ff06000600
2,2,0,dc36dd3619371b370d380e38e238e3385a385a38e736e43651372b37d936d736,dd36dc3620372037d136d236a236a536da6a214319692132ec64d4181655dc08,1600f4fff6ffd6ff1e00ecff040024002c001a000c00eaff2200020002000200,3000ecfff6fff6fff4fff4ff0e001e00e6ff14001a000a00d2ffc2ffe6fff6ff
3,3,0,db36dc361d371e370d380e38e238e13859385d38e436e63650375137d836d936,db36dd361e372037d136d336a636a2361403893a29072954231791649c281469,06000600e6ffe6ffecfffcff240004001a001a00eafffaff12000200b6ff2200,dafffcffe6fff6ff5e0012000e00feffe6ff04001a000a00d2ff280016000600
4,4,0,de36dd361b371d370d380c38de38de3861385d38e636e6362d375137d736db36,d936da361f372037d336cf36a336a5369a66e2222a57d31219472305e834b002,0600f4ff0800e6ffecfffcff14004400f8fff8ffe0ffd0ffd0ffe0ff2200d6ff,0e00daff08000800e4ff50000e001e00140004000a000a002800280006001600
5,5,0,dc36dc361b371a370c380c38dc38da385a385d38e636e53651375237d836da36,dc36da361f372037d136d236a236a23692141461dc2420671f37176be648ab6a,f4ffe4ffe6ff18000e000e0034000400f8fff8ffdaff0c00f0ff02003200c6ff,0e000e00f6ff0800f4ff12001e00feff14000400fcff0a00a4ff180006001600
6,6,0,dc36dd361c371b370e380d38dc38e2385c385938e536e53652372c37da36d936,da36dd3620371e37d136d136a236a33653519d066237d502d026ed0228159206,0600f4ffe6fff6fffcfffcff24001400e8ffe8ffeaff0c003200320002003200,1e00fcff1800280050001200feffeeff040004001a000a00f0ffb2ff1600f6ff
7,7,0,de36dd361d371a370c380c38e038dc385c385a38e636e33651374f37d936d736,db36dc3620372137d136d336a336a2362333836a2346d36a1757d1688f66a162,060006001800f6fffcffdaff04000400e8ff0a00faff0c000200020012003200,1e000e001800f6ffe4ffe4ffeefffeffe6fff6ffecfffcff3600c2ffd6fff6ff
8,8,0,de36df361c371d370d380e38e038e03858385e38e436e6364f375137d936da36,da36d93620372037d436d336a436a236112a93025b179e04e210c6126003941a,06001600f6fff6ff0e001e00f4ff04000a00d6ffdaffbaff2200220032001200,fcff520028001800020012000e00fefff6fff6fffcff1a002800b2ff0600d6ff
9,9,0,db36dc361c371d370d380c38df38df385b385b38e636e43651375037d936d836,dc36dd361f372037d436d436a436a4365c54126a536498644e6a1755156b2943,06001600f6fff6fffcfffcff1400f4ff0a001a000200daff0200f0ff02001200,fcffdaff2800f6ff0200f4ff0e00eefff6ff1400ecff1a00c2ffb2fff6fff6ff
