Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,2537233715371737103711370f370f37e036df36e736e93600380038d436d436,0c380d380d37103714371437c936cb369b369c3658375837d036a936dd36e036,d836da36e636e5362637243710370d370f370f372337213758365a369d369d36,844c820a314461066d2a9d040e1b9508a8541709a1441d051c3398049d1a9305
1,1,0,2337263717371537123711370f370f37e036e036e736e73600380038d436d636,0e380e381037113714371437cb36cd369b36993656375837ce36d036dd36dc36,da36da36e836e436203723370f370d370e370e37223721375b365a369e369e36,a62813679d4227690f536068d56423651627176759399c6a51532d6a295b1c65
2,2,0,243723371837153710371137ea360e37e136e136e736e8360038d936d536d436,ec36e73611370e3715371437c936cc369a369a3658375237aa36d036dc36dc36,d936d936e736e636253723371137ea360e370e3723372337593659369e36a036,e2349404982426059a142111d8086319e534e302c824ce04e114121118076d18
3,3,0,243723371637153712370f370e370f37e136de36e736e53600380038d536d436,0d3810380e370f3716371537c936cb369b369a3656375437d136d236da36dd36,dc36dc36e536e63625372637103710370d370d37223723375d3659369e369d36,8b48ca68cd581c659266da56e86acf481647e068cd589d661867aa58d56a9848
4,4,0,25372237133717370f3711370f370f37e036df36e636e73600380038d336d436,0b380b3810370e3714371537c836cb369b369b3655375737d036cd36de36de36,d936d936e636e736263725370e370f370e370f3722372237543659369e369d36,9d162007a7086116dc045a25d3060f39381567069008e414e5045425d4041937
5,5,0,253724371537163710370f370f370d37df36e136e936e736d7360038d536d536,0e380b381037103715371537cb36cb369936993658375837d036a936df36dc36,da36db36e836e4362437233710370e370f370f3720372237573657369d369e36,9e64de58d468264912699438d468d928956421591b69a04ad96a293aac686c28
6,6,0,2337233714371537103710371037ea36e036e036e736e936d836d836d336d336,0b38e8360d37103715371637c836cc369b369a3657375937d036d236de36db36,d936d936e736e8362537243710370f3710370e371f37213758365b369c369e36,1e05d61acd0497349f061d45251567589f04212158044b34920657461a0bda56
7,7,0,2437263717371737eb360f370e370f37e036e236e736e63600380038d536d336,0d380e381037103714371437ca36cb369b369b3658375837d136d036dc36dd36,d936d936e536e736223725370f370f370f370e37233720375a3656369e369f36,0e6ae6426868682a12630e199856530b1f691743e468cc32e4645e1a5d55d20a
8,8,0,2337233717371737ec3611370f370d37e136e036e636e636d5360038d536d336,0a380b380e37103714371337cb36cc369d369b3654375337aa36ab36e036dc36,db36da36e736e536223724370e3710370e370e372237213759365c369e369e36,0c05954256092a549c18b062df2a286931031241d5081d548f172e64eb28e668
9,9,0,23372337173714371137113710370f37df36e036e736e6360038d836d536d436,0d380c3810370e3715371337cf36ca3698369b365e385837aa36d236e036dd36,db36dd36e636e536223723370e370e370e370f3720372237583657369e36a036,d8644b23da56960c9346af06de36a10619651823575895145447e2069935ab04
10,10,0,2337233717371537103711370e370d37e136e036e736e73600380038d536d536,0b380e381037103714371437ca36cd369b369a3657375337ce36d036da36dd36,db36db36e836e336233722370e37ea360f370e372137243759365c369e369f36,511699589c26a6661b370f69c84ad26a97145f582425de662337cc6a1449a56a
11,11,0,233724371537173710371137eb360f37e036e136e836e53600380038d536d536,e9360a380d37103716371437cb36ca369a369a3656375637d136a936db36db36,d936d936e536e536223722370e370d370d3711372137243758365c369e369d36,da485a089438e804af26b0049d18270915490d07da389d045227a90415175807
12,12,0,2337243716371437123711370f370f37e136e136e736e73600380038d436d436,0b38e9360d37103716371337cc36cb369c369a3658375437ab36d136db36dd36,da36dc36e336e7362537253712370e370f370d37213723375c365a369f369e36,8d349c6860461f696b56a466d866d85adf32a5684746976ad95698686265db5a
13,13,0,243724371937163711371237ea360f37df36de36e636e83600380038d536d236,0c380c380d370e3714371337cd36cc369b369a3658375337d036ac36da36dc36,d936db36e636e536253724370d370e370e370d3723372037573659369f369f36,18298a041019d5065e115414210719251829db0211195806a11222135e051623
14,14,0,2237243717371737103711370e370f37e036e136e636e63600380038d336d536,0e380e380d37103713371537ca36cb369a369b3656375537ab36aa36df36db36,d936da36e736e7362437253710370e370f370e37223722375b365a369d369f36,1c4c23670d63175b51685a54156be944d0526768175c9864e0682555e96aad44
15,15,0,2237233718371637103710370d370f37e136dd36e636e63600380038d536d536,e9360e380f37103715371737cb36cc369b369d3656375837ce36d036dd36db36,da36da36e636e436233725370f3710370e370f37223721375a3657369c369e36,5414420adc06de189f0415291b07dd44e9125e079e065e179d0417292005ea42
16,16,0,2237223717371737113713370f371037e136df36e536e63600380038d436d436,0c380e380e37113714371537cb36cb369b369b3655375737d036ab36dd36dd36,da36dd36e836e636223724370f370e370d370e372237223759365c369d369d36,91668f561e699346ac68ac34e3664f259066d2568d6ae146976a5e36dc66d424
17,17,0,2337223718371437113712370d370e37e036e036e636e73600380038d536d336,0b380a3810370d3716371437cb36cc369c369a3652375637ad36aa36dd36dd36,dd36d936e636e536213724370f370f370e370f3721372337573659369d369e36,a3048d26e3045d386910d8488d18d35a1d03db24690413375407154969155259
18,18,0,22372137173717370f371037eb36eb36e036df36e736e83600380038d336d336,0e380b3810370e3716371537cb36cc369b369b3655375637d036d236dd36de36,da36d936e636e6362437233710370e370e370d3721372337593658369c36a036,e1681f37d066cd26d6586e16d74a5709186927372e67de26a45add16ad4aac08
19,19,0,223723371537163712370e370f370e37df36e036e636e73600380038d336d536,09380d381137103714371537cc36cc369c36993655375b38d136a936db36dd36,dd36d936e736e736253723370f370f370e370e3721372137573659369d369e36,9a065546680cce56231be064cf36ce6ae104d8441013cb56181b5f66d934986a
20,20,0,223722371837173710371237e9360e37e336e036e736e73600380038d536d336,e8360b3810370f3714371537cc36ca369b369c3655375437d136d036dd36dc36,dd36d936e636e5362437243710370e370e370d3722372337593659369e369d36,a65a9c185954630ad6422305112ba106125b6317d854300995442b05aa2aa404
21,21,0,2137243717371537103710370d370f37e036e036e736e63600380038d636d736,0d380f380f370c3717371437ca36cc369c369d3655375737d036ab36df36dd36,da36dc36e536e536223722370e370f370e370f37253721375d3657369d369e36,cd18d95a592a6368e0421769635629691117a65ae428c9681143dc6aaa542a69
22,22,0,23372337163717370f3712370f370e37e036df36e836e63600380038d536d436,ea36e8361037103714371637ca36ca369b369b3655375637d036aa36da36dd36,db36da36e736e536233724370f370d370f370e3722372137593658369e36a236,44469506cc34ce04161b27055715290b58461a050e355d0495241a05a5145409
23,23,0,22372237153715370f3710370f370f37e136e036e436e73600380038d636d636,0d38e9360e37103714371437cd36cc369a369c3657375837ac36a936de36dc36,da36da36e636e836243722370e3710370d370f37223724375a3659369f369e36,5138e3681a49d568e058d664c9689458a9360f69e2485569555aa36662686a58
24,24,0,2337243716371537123711370e370f37df36e236e636e63600380038d636d536,0d380d381137103716371637cb36cd369c369b3659375637d036d136dd36dc36,da36da36e636e73625372537ea360e370d370e37203723375a3656369f36a036,5c26a6049416a00863109c16cd06a1283225150391161a0790078d16e504ac26
25,25,0,23372137183717370f3710370f370e37e136df36e836e7360038d436d436d536,ea360d381237123716371537ce36c9369b369c3656375737d036a836dd36dd36,d936da36e736e536223724370f370e370e370e3721372137573657369d369c36,9e568a661665d758b068a748e76a19395c56a9664b665659666a9652df6ae038
26,26,0,2237223716371637103710370e370e37e036e036e836e93600380038d436d536,e6360d380d370e3717371337ca36cb369b369a3657375837a836d136da36dc36,dc36db36e536e536253725370f370d37e6360d3722372137583656369e369f36,150983142c056324a004dc34ce089848ce089f12e6040d239a04dd34d106d446
27,27,0,2237233716371637103712370f370f37e136e236e636e73600380038d536d336,0c380d380e370d3713371537cb36c9369a369b3659375837ce36d136dc36de36,dc36d936e536e836243723370f370e37e8361037213721375a3658369e369f36,4d680c4c2869d54249670c29e36493192c6724539f6a1c3c1469922ad2642119
28,28,0,2337223715371737103711370e370f37e136e036e536e73600380038d436d536,0c38e7360d370d3715371737cc36cc369b369b3656375637d036d136de36dd36,d936da36e536e836243724370e370f370f3710372137223759365a369f369d36,8d044a2a5b05224366116854d91a1c65de029a28df04df3a5a12ce54e5189f64
29,29,0,2237243717371737103711370d370e37de36e136e536e73600380038d736d336,e7360b3810370e3715371337cc36ca369a369b3656375437d036cf36de36dc36,da36da36e536e436243721370e370d370d370e3722372137593656369f369f36,96685e34d7641a2360564d1320479d08d3686134596624234e578f14ef46d806
30,30,0,2237233716371537103710370e370d37de36e136e736e73600380038d536d636,0b380d381037103715371537ca36ca369a369c3655375837a936d036e036e036,dd36da36e636e736223722370f370d370f370d3721372137573658369f369e36,87080949d8161b59db26ae6664390e6ba9069a4859161f59d8265b67a738df6a
31,31,0,21372237133713370f370e37eb36ea36df36df36e536e736d7360038d636d336,0c3809381037103714371537cc36ca369d369c3654375737d036d336dd36de36,da36da36e636e636253725370f370f3710370e3722372237593657369f36a036,8d582415cc4863071137b1045527da06d158e7141f492907a338d504e826df04
32,32,0,2237223715371637103710371037eb36df36df36e736e63600380038d436d736,08380e380e37103714371437c936cb369b369c3659375837d036d036db36e036,da36d836e736e736253724371037e93610370f3724372237593657369d369c36,5924e2641d35e3689f460969da5898689e22d864cf342969d646d36a55586f68
33,33,0,23372437153716370f370f370e370e37e036e036e736e7360038d536d236d336,0a380d380e37103716371437cc36cb369b369b3658375737ab36d036df36df36,dc36d836e436e636253724370f3710370d370f371f3722375a3656369e369d36,8642e6040a29d0049618d8060f0b99169042640423315b04e318cd0667097214
34,34,0,233723371537183712371137e9360e37e136df36e836e73600380038d336d436,09380b381137113714371737ca36cb369b369c3655375637d036ab36dd36db36,d936da36e736e536233724370d370e370f370e37213721375b3659369f369e36,18430b69a6542e671f64a7625d69195599421e699a54cf689d6499642469e654
35,35,0,2437243717371837123710370d370f37e136e136e736e63600380038d436d336,0d38e9361137103715371537ca36cc369a369b365a375737d136d036db36de36,d836d9360c37e6362237213710370d3710371037223721375b365a369e369e36,cc1a2205280b9f0a99061519a106582b9d226a0420131f09a706e818a704722a
36,36,0,2037233717371737103710371037ea36e036e136e736e53600380038d436d336,0b38e8360d37113715371437cc36cb369c369b3657375737ac36aa36dd36df36,da36d936e736e63622372337e9360e370f370e372137213758365b369d369d36,0e5a9564e466625613691145a36a6636d458d8641e67df56d36ad5469c6a1a35
37,37,0,24372237133715370f3711370e371037e036e036e736e83600380038d336d436,ec36e73611370f3714371437cb36cb369a369a3655375437ab36ac36db36de36,db36da36e436e536243722370d370e370f370d3724372237593659369d369c36,1c07a616dc041d27e004a0386a095f54a506e8149304c826d704a8389c086f4a
38,38,0,2437233716371537103711370e370e37e036e036e736e63600380038d436d536,0f380f381037113715371537ca36ca369b369c3659375737d036ac36df36df36,db36db36e636e736243725370f370e370f370d37203724375a3658369e369d36,cb685d4816690c376466512567592517d8689548916a30375967cf266b5aa015
39,39,0,23372337173716370f3710370e370e37df36e036e736e83600380038d336d536,0c380b3810370d3714371437c836ca369a369a3656375737d136ab36db36dc36,dc36da36e636e536233721370e370d370f370e3722372237593656369d369e36,940412351007de46a014e65695262567e1026b349206cb46921451577424ac66
40,40,0,2337243714371637ec3611370f37e936e236e236e636e53600380038d236d436,e8360c3810370f3716371537cb36cc369c369b3655375537a836ce36df36da36,d936da36e636e736253725370f3710370f370f37223721375b3659369c369e36,0d679628cb5a9518de521711293b13072b6796284b649818a754541128432505
41,41,0,213724371637163710371237eb360e37e136e036e736e736d6360038d336d336,0d38e93610370e3713371537ca36ca369c369b3655375237d036aa36de36df36,dc36d936e636e436243725370e370e370e370f37233722375b3659369d369c36,8b0a964c581a5864992a67686046186bd2082e53d9186164982a1c6a7044ea6a
42,42,0,2337233716371637103711370d370e37e136e136e536e63600380038d536d436,0d38e83610370d3715371537c836c8369c369c3657375537d036ab36de36dd36,d936db36e636e636253726370e370f370e370e3723372237593658369a369d36,1655dc0a1145a1062a349c049b1c50075a566d0962466106dc349b0453235705
43,43,0,23372437173715370f3710370e370d37e036e036e736e7360038d636d436d436,ea360c380d370e3714371537cb36cc369b369c3655375537aa36d036dd36dc36,db36db36e536e636253723370d370e370f37e53621372237553659369e369d36,0d27d166e038256958499b681f5ba1665c26cf669b38956a9a52636aa65a9565
44,44,0,2437223716371737ec361237e9360e37e036e136e636e63600380038d536d536,e8360f380d37113714371537cb36c8369d369c3654375337aa36d136dd36de36,da36d836e736e5362637243711370f370e370f3722372437533657369c369f36,9e369a042a2514051c15ab101909de18a63610035f269a04681697076508e016
45,45,0,23372337163717370f370f370f370d37e136e036e736e73600380038d536d336,ea36e8361137103715371437ca36cb369b369b3657375537d036aa36df36d936,dc36db36e636e636243725370f370f370e370e3722372337593657369f369e36,d246d868215790661f655f58dd6a59495e4613691e571167a9662f5aa36a4d49
46,46,0,233722371737183710371037e8360f37df36e036e636e93600380038d336d436,0e38eb360e370e3715371637ca36ca369a369a3659375737d236ab36dc36de36,dc36da36e636e636243722370f3712370f370e3722372137533656369e369b36,4817d7061c09dc0c1305a424a40629370f171d05e3085e141b059e24a9045e35
47,47,0,24372337133715371137123710370e37e136e136e936e83600380038d436d436,0d380f3810370d3715371537cd36ca369b369a3657375537a936d136dc36dc36,da36dd36e636e736263725370e370e370e370d3722372137553659369d369e36,475c825a9b68dd5218694f3919696b29135ba05ade685954df6ae93aef682929
48,48,0,24372337163715371237eb360f37eb36e136e136e736e836d7360038d336d436,0a380c380e37103717371537ca36ca369a369a3656375637a936d036dd36dd36,da36d936e536e4362437253710370f370f370d3721372037573658369f369d36,5d06431ace04dc2a5e056744d314da56de046918580469324f059544a20a2a55
49,49,0,24372337143716370f3711370e370f37e036e036e836e73600380038d436d536,0b380c380f37113716371437c936cb369b369a3657375537d036d036dd36db36,d936dc36e436e636253724370f37ea360f370f3722372237573658369d369e36,0c69a144a56826336d649b1a1b57e5141b69d544216968345d66151bf0565713
50,50,0,23372437153715370f3712370f37eb36e136e036e636e73600380038d336d436,0e380e380c370d3714371537c936cb369a369a3652375837d036d136dd36dd36,d936db36e636e5362337253710370e370f370d3721371f375b365a369e369c36,d604d438e1089752101754592429e86820032e376007654ae116a85a5127a268
51,51,0,2537243716371537eb360f370e370f37e136e236e936e73600380038d436d336,10380b3810370e3714371537c836c8369b369c3658375637d036aa36dc36de36,da36da36e636e836253727370f370f3710370d37213722375a365b369e36a036,4c66dc2462581c0d4d471c079b38ce066a66d724e2581a15124954075b38d504
52,52,0,24372337153716370f3711370f370e37e136df36e636e53600380038d436d436,0b380c380e370d3715371437cb36ca369b369c3658385737ce36d036e036de36,da36da36e536e636253724370d370e370f370e372137223758365a369e36a036,cc141157e3245a665e35dd680f49e06a1113d5566a2490666736996a5848da6a
53,53,0,2337223714371537103712370d370e37df36e036e736e73600380038d536d336,0a380e3810370e3716371537c836ca369a369c3654375637a936d136da36dc36,da36da36e636e436243725370e370f370e370f37223721375a3659369e369d36,8e4ad0082b391c056628a4041d19e708cf525e07973ad5041229a104a618eb06
54,54,0,213725371637153711371037eb360d37e136df36e636e63600380038d236d436,e8360c380c37103714371537cc36cb369b369c3655375837ac36ac36dc36de36,da36db36e736e936233724370f37ea360d370b37223721375d365d369f369e36,ce2a8268a6442569e15410678f665f5c1f29666865449d6a2c56dd68ed646164
55,55,0,26372437163717370f370f37ea360f37e136e036e636e73600380038d236d336,0a380d3810370f3714371337cb36cc369c369c3658375637ab36d336de36dd36,d936db36e536e436243725370d370d3711370f372237213759365b369f369d36,d62a8b049e1a9306dc12d5125d07531bdb32e002a42214051d13a6129d056119
56,56,0,233724371537163710370e370e370f37e036e236e636e73600380038d236d636,0c380a380f370d3714371437c836cb369c369c3656375437a936d236dd36db36,da36d936e736e636233723370e370d370e370f37213722375b365936a1369d36,874a84686b5a92640e67e754136ba2461b49a268955a13659b68d756e16a6b45
57,57,0,233723371837163710370f370f370f37e136e136e736e83600380038d336d036,0d380c3810370c3716371437ca36ca369a369b3656375637a936d036de36dc36,da36db36e536e536243727370e370d370e370e37213721375b3659369c369e36,d214ca0823072c17a7045e28e506e63a93141007e606d416a7045727ec042939
58,58,0,2437243715371937113711370e370e37e236e136e736e53600380038d536d436,0f38e9360d370e3715371637cb36cb369a369c3659375537d036d036dd36dc36,da36d936e636e636233723370e3710370e370e371f3722375c3657369b369e36,4866165712692747de6868365367e026206534575b699e48cc6a1f3729676825
59,59,0,243725371437153711371237ea360f37de36e236e936e73600380038d536d536,0f380c381137113716371537c836cb369a369a3654375637d136ab36df36de36,d936d936e836e736233725370f370d370d370e372237213757365b369d369d36,d704d724d8049f361a072047e9162959300320235f045536e7065a47e214a958
60,60,0,2537213716371537103711370e370f37e036df36e736e636d6360038d436d336,0e380e380e370e3715371537cd36ca369a369a3658375537d036ce36dc36dc36,d936da36e636e836203724370f370f370e370f37223722375a365a369d369e36,0a69dd3817676528585a1817a054a5091c690e3996689c284e638d1769541d09
61,61,0,2137223717371437103710370f371037df36e136e536e73600380038d336d436,0b380e380e37113714371537ca36cb369c36993656375637d136d036db36df36,d836d936e636e736233722370f370e370e370f37203721375c365a369d369c36,560698440c0b2055931a6964d72c95699e041c4368091855621aeb64162b576a
62,62,0,2237243715371537113710370e370f37e036e036e736e53600380038d536d636,0d380e380d370d3715371537cc36cc369b369b3655375837d036d036dd36dd36,db36d936e536e536253725370f370e370e37103723372137593659369f369f36,465c4e1ae754da0a6e445d05c92ca106695c1b216456d41231468d067134a104
63,63,0,2237243716371537103711370d370e37df36e136e736e83600380038d536d536,0f380b380d370f3714371637c936cc369a369b3655375637d036ab36dd36df36,d936da36e636e6362237223710370e370f370f3722372337593657369d369d36,21175a5a9e28226722391869d55467696616245926275f682b3ada6af152676a
64,64,0,223724371437153712371237ea360f37e136e036e736e63600380038d236d436,0b380b3810370e3714371337cb36ca369b369a3655375637d036a836dc36dc36,da36d936e736e536223723370e370f370d370f37213724375a365b369e369c36,d746de066536d504ae240e05d916d50a13476606ce3665044e25e3042815de08
