Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,233724371a371c37103710370e37eb36de36e136e336e63600380038d036d236,0e380e380e370f3713371737cc36cd369a369a3657375e38a936ab36da36d936,d836d836e536e636253725370f370e370f370d372337223757365a369e369c36,48fdf49568d8129858b886a752a152c14aff6e9380d9b69422b82aa3f29ff2bc
1,1,0,2537223719371637eb3611370f370f37df36e036e636e53600380038d536d436,0e380d3810370e3715371637ca36ca369a369c365a375937a936ab36d936d936,d936d936e336e536263724370e370f370e371037233722375d3658369e369d36,182202692c43965bc85b7e4372685222e6205a6cf442be5f1e5d1a47c66bf825
2,2,0,2437253719371a37123712370f37e936e036e036e436e43600380038d436d336,0f380b380f37113717371637cc36cb369c369a365e385d38ab36aa36dc36dc36,d936d936e736e7362337213711370e370e370e37243723375b365c369c369e36,c8c1cca082a7e4b71698cad7429632fd10c21c9d70a604b41e9640d44092f2f9
3,3,0,2337263719371737ea3610370f371037df36e136e436e23600380038d636d636,0d380b380e37103716371637cb36ca369c369b365a385f38aa36ab36d836d936,d736da36e436e63622372237103710370f370d3721372237593659369f369a36,02553a4c1266c42d686ab009526162e3bc5510503e68a231926d220c866596e5
4,4,0,23372437183719371237eb360f37ea36e036df36e336e53600380038d436d536,0f380e380d370e3716371437ca36ca369b369b365b385837a836d036db36de36,d936d836e536e53624372437ea36103710370d371f3724375c365b3699369e36,c89b40cc2e95a2f0da9b5e1652b05239049a16c972927ced5c983214f2ab5438
5,5,0,2337263719371737ea3610370e371037e236e036e336e43600380038d336d436,0d380e381037103715371437ca36cb369b369a365b375f38d136ab36da36d836,d836d736e736e53624372537123711371037113722372237553655369a369c36,626abc15b26502f09054fecb923892af9e6d7c187a6906f27e58caccf43b16af
6,6,0,25372437183719370f3711370e37ea36e136e136e436e43600380038d236d336,1038ea360d370d3717371737cb36c7369a369c3658375937d136ab36b436d736,d936d936e536e636233724370f3711370d370f37203725375a3655369a369d36,4698140ac2a7962e52c2d84cf2e3a2610295c007d2a3482d96be6c4d7ce16463
7,7,0,23372637173717370f37eb3610370f37e036e136e436e53600380038d436d436,0e380b380d370d3714371637ce36cb369a369a365e385a37d036d036db36dd36,d936d836e636e4362437253710370f370e370e3722371e37593659369c369d36,965b3ad77c4224b79a21bea072fc4296605f48d8864634b7cc24f29e46fef692
8,8,0,243723371b3719370f370e3710370f37e036e036e436e5360038d336d436d136,0d380d380f370e3715371737cb36ca369c3698365c385937a936ab36db36d836,d736d636e536e636233724370f3710370f37103720372137573657369b369d36,e0b8f443d8d8285cd2fdf66822234268b4b4aa4336d5e25d60fbb06b9c21bc6c
9,9,0,2537243719371637ec36ec360f37eb36e236e136e536e5360038d336d436d336,0c3810381037103715371537ca36c7369c369c365e385637aa36ab36da36d936,d836d836e536e5362437243712370f370e370e3723372037573658369e369e36,c02cb2a69c08e29716e3149602c152a19430b6a5e40ab2956ae4e09244c1349d
10,10,0,223724371b3718371037eb360f370e37df36df36e236e73600380038d136d136,0c380f380e37103716371637cb36ca369a3698365d385f38d236ab36dd36db36,d936d836e736e4362737263711370e370d370e3721372137573659369b369d36,6ef160663c17266a243afe604256624a30eeb6685c159e6d7639e66470566450
11,11,0,24372437183717370f37103710370e37e336e136e336e43600380038d536d436,0b380f3811370e3713371537ca36cc369b3699365c385737aa36ce36da36dc36,d836d836e536e7362437263710370d3711370f371f372237553657369c369e36,8cee52955acb669c3eae00b0729bf2cc7af09e92d0cbd09854ad12ac849960ca
12,12,0,22372437193719371037eb36e9360f37df36e136e536e63600380038d236d436,0d380c380e370e3715371537c936ca3699369b3662385837a936a936d836d836,d736d736e636e636243726370e370e370f370f3723372437573658369b369c36,522f2e65b84d9e533e620238b2697215322e5669424ee05716646a3bfc6d3e17
13,13,0,23372537183718371037eb3610371037e236e136e336e23600380038d336d336,0f380f381037103716371537cb36ca369c369b3659375e38d036ab36d836da36,d736d836e636e636223725370f370d370f370f3721372237563658369f369f36,aeb652a84aa050c3d49568e51299820a16b6d6a4c29e52bf509328e2b6947809
14,14,0,223723371737173710371137eb36eb36de36df36e436e33600380038d136d436,0d380e380d370d3716371337ca36c83699369b3658385d38d036aa36d836da36,d836d936e836e736223722370f3710370e371037223723375a3658369c369c36,e85ca2412669a620766860fbf25af2d6ae5e9045fa6b8623226c72fdce5e5ed7
