Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,e836e736db36dc36d536d3360f370f37cc36ce36ed36eb36dc36d83655355535,a0369f36e33607371137103718371a37143714371d371c37e436e3360a370937,e536e336d736d836e636e636d236af368c6817256862da14e75064062037ee02,db36d93619371a37e336e4360e370d37903690361a371a3712370e37e336e136
1,1,0,e836e836dc36db36d336d33610370f37cc36cd36ed36ed36d736d83656355835,9d369f360637e436123710371a371837133713371e371d37e436e4360b370a37,e436e336d836d536e736e736d236d23619139a585b2320681736dc6a2c47266c,db36de361a371737e336e436ea360c378e3690361c37193711371137e436e436
2,2,0,e836e636db36dc36d336d3360f370d37cd36cb361437ef36d936d93655355635,9f369e36063706370f3710371a371a37143713371a371d37e136e4360b370937,e536e336d836d736e536e836d336d4368f545f08d43a5b039828ac0220172d05,da36db361a371a37e336e5360e370d37903691361b371b3711370f37e336e236
3,3,0,e836e636db36da36d136d2360f370e37ce36cd36ef36ee36d836da3656355735,a0369f36e436e4360f37103719371a37153713371b371c37e236e43608370a37,e636e236d536d736e736e736af36d43690328a6aa344596b28561c692b65a064,dc36db361a371837e136e4361037e9368f368f361a371b3711370f37e336e236
4,4,0,e636e636dc36dc36d536d1360f370f37cb36ce36ee36eb36da36da3652355535,a036a036063707371037103719371737143715371c371d37e436e3360c370837,e436e336d536d636e636e736d236d2365434ac0297229d045e12dc08df04e318,da36da361a371937e336e1360e37e9368e3690361a37193711371037e336e436
5,5,0,e836e936db36de36d236d2360e371137cc36cc36ef36ec36da36da3655355335,9f36a036e236e3361037123717371b37133715371e371d37e436e23609370a37,e436e336d736d836e636e936d136d336004ca66a1b63a066d668da56336c6546,db36dd361a371b37e136e3361037ea368f3691361b371c3711371237e336e036
6,6,0,e836e636dd36dd36d236d13612370f37cd36cf361437ee36da36d93656355835,a036a036e336e2361137103717371937133713371e371e37e336e4360a370a37,e336e136d736d636e736e836d236d336a0140c0798069616d602d6262503f138,d936db361a371837e536e2360f3710378e3691361c37193711371237e536e236
7,7,0,e936e536dc36dd36d536d23610370e37cd36ce361437ed36d736da3652355535,9f36a036e43607370f37103717371937133714371c371a37e236e43608370b37,e336e036d836d836e736e736d236d436186750621a6beb48e96ad9367168f324,da36dc361c371a37e336e6360f370f37903691361c37193710371137e236e336
8,8,0,e636e736dc36db36d336d13610371037cb36cd36ee36eb36d936d93653355535,9f369f36e336e4360e370f3718371737153712371d371b37e336e13609370b37,e236e236d636d836e836e736d336d2364a046124e50263361b064c475413e158,da36db3618371937e436e3360e370e37903690361b37193711370f37e336e236
9,9,0,e736e836db36db36d536d13611370f37cd36cd36ec36f036db36dc3654355335,a036a036e336e4361037113717371937143713371c371d37e236e3360a370937,e236e436d736d536e736e736d236ae364a6c903a2e6a9d285c64d9166f546307,dc36dc361b371a37e536e3361037113791368d361b37193711370f37e236e336
