Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,0400040010000000faffeafffefffeffecff0e003200e0fff6fff6fff8ff5800,6aff7aff48001800cc00bc00b20402051a014a011c01fc00860042009000b000,1e00c2ff98ffb8fff8ff56002800d8ff543ac694348b9a65a24ec2f3f017a2a8,da36dd361e371f37e336e3361137153764366536243726370e370f37e336e336
1,1,0,f2fff2ff2000defffaff08000e001e00ecfffcfff0fff0ff0600f6ffd8ff0800,6aff7affe6fff6ffdc00cc00220522054a013a010c010c0198007600a0008000,1e000e00d8ffe8ff0600e8ff0800f8ff4cb1d00ce2e76456ce6adc8c2e9ab630,da36d8361e371e37e336e5361437113767366536253726370e370f37e036e236
2,2,0,14000400eeffeefffaffcaff1e000e001e000e00c0ff1200e6ffe6ffe8fff8ff,7aff9aff0800e6ffcc00bc00a20422056a015a010c01ee0042005400c000b000,b4ff0e00c8ff70001600c8ffa8ff18002695bc72fa6592cfecf29cc5f2a84274,da36d9361c371e37e136e5361237153765366636243724370d370e37e136e236
3,3,0,f2ff1400deff2000eaffeaffeeffeeff0e00fcff22000200f6fff6ff08000800,7aff6aff08000800dc00dc00820402054a014a01fc00fc007600540090009000,d2ff1e0050004000c8ffc8ffc8ff2800800d74398456848bfc8cce4f00328216,db36da361e371c37e436e4361237153766366636273727370e370e37e136e336
4,4,0,0400f2ff0000eefffafffafffefffeffdcff0e00f0fff0fff6ff16001800e8ff,9aff6aff08000800ac00fc00b204a2043a015a01fc00fc0076006400b000b000,f0ff1e005000c8ffd8ff060038003800bc7226b0d8ce60e94ec69e6a7274de99,da36db361d371d37e536e2361237143765366636253725370e370d37e136e236
5,5,0,1400f2ff20000000fafffaffeeff1e00cafffcfff0ff02002600f6ff1800b8ff,7aff6afff6fff6ffbc00cc00120502054a014a01fc00fc00860064009000b000,1e00d2ffb8ffa8ff060026003800d8ff5a38b695948b8a660e502cf1c215f8a9,d936dc361e371c37e536e5361237123763366636253725370f370e37e236e336
6,6,0,04000400deffeefffaff0800feffdeff0e00fcffd0fff0fff6ff1600b8ff0800,6aff7aff0800f6ffcc00cc00020512055a015a01ee000c0154005400a000c000,1e00e0ffb8ff5000260006001800e8ffd4afd20e38eae4555e6aac8c5e995032,da36da361e371d37e436e53614371437643666362337243711371037e136e236
7,7,0,24001400eeff0000cafffafffeff1e000e000e001200e0fff6ff0600d8ff0800,6aff8aff4800f6ff9c00bc00920422056a017a01ee000c0164005400a000a000,f0fff0ffb8ff50007c000600e8ff280018962c73aa6676cda4f0eac768aa4274,db36db361c371e37e436e2361537143765366136233722370e371037e336e336
8,8,0,f2ff14000000320008001800eeffcefffcffecff0200020026000600f8fff8ff,7aff5affe6ff0800cc00bc00020582046a015a01fc00fc0076006400b000a000,00002c006000c8ff1600f8ffe8ff38000610f837a254c48b7c8c1a51f0323215,dc36da361e371e37e436e2361237123762366536233725370f370d37df36e236
9,9,0,14001400deff000008001800feff0e00dcfffcff22000200f6ffd6ff18000800,9aff8afff6fff6ffbc00bc002205a2045a014a01ee000c0142007600c0009000,e0fff0ff6000a8ffd8ff2600280008004c7302af36cd1ceb1ac8a0693274e898,da36d9361e372137e536e13611371237633661362637243710371137e136e036
10,10,0,1400f2ffeeff2000080008001e00eeffecfffcffe0ff02004600f6fff8ff1800,5aff6aff1800e6ffcc00bc00920402054a015a01de000c0164007600a000b000,2c000e00b8ffc8fff8ff26002800d8ff20378896c48b7467fe5034f0121520ab,da36dc3620371d37e336e4361137143763366636223724370e370d37e336e236
11,11,0,1400f2ffeeffeeff0800fafffefffeff0e00fcff1200f0ff06001600f8ffe8ff,8aff6aff08001800cc00dc00820492042a013a01fc00ce0054006400a000b000,1e00e0ffa8ff700016000600f8ffd8ff62ae5610bcebb25480697c8c68988a33,da36da361e371e37e336e5361437143762366436243723370e371037e036e036
12,12,0,24000400100032000800dafffeff2e00cafffcff1200f0ff06001600f8ffd8ff,6aff5afff6ff4800bc00bc002205a2044a015a01fc00de00640064009000b000,c2ff0000a8ff50002600d8ffe8ff080008975c73e46796cc62ef8ac81aac2274,db36da361e371f37e136e33612371537673665362437233710370e37e136e236
13,13,0,2400f2ff0000eefffaff0800fefffeff0e00fcfff0ff02001600e6ff580098ff,6aff7afff6fff6ffdc00cc00320532055a015a01fc000c0164007600b000a000,d2ff2c006000d8ff0600c8ffe8ff28006c11b0364254d48b3a8c6a524a34ca13,d936d8361c371e37e536e33614371137633666362637243711370f37e136e136
14,14,0,0400f2ffbcff000008000800feff0e00ecffecfff0ff120046001600c8ffe8ff,8aff7aff18002800bc00fc009204f2045a016a01ee00fc0076005400c000a000,0e000000f8ffc8ffc8ff4600080008009c7350ad78cb8eeca2c9e868e2738898,dc36dc361e371d37e136e4361237143767366636253724370f370f37e136e136
15,15,0,1400040000000000eaff0800fefffefffcff0e0042000200160006001800f8ff,9aff7afff6fff6ffbc00ec00a20412054a016a01fc00fc00640054009000c000,1e00b4ffa8ffc8ffc8ff26003800f8ff3e350897148cc2689a5266edb0123aac,d836db3621371e37e536e13612371637653666362537253711370d37e136e336
16,16,0,04000400200000001800eaffceffeefffcfffcff02000200f6ffe6ffe8fff8ff,8aff6aff48004800cc00bc00a20402054a016a012c01ee00640064009000c000,e0ffc2ff98ff50003600060008000800c6ac2c12ceec8253b8685c8c5a972235,da36da361e371e37e536e63613371437663665362637243711371137e136e136
17,17,0,f2fff2ff0000deff18003800deffdefffcffcaff020012001600e6ff080088ff,6aff5aff0800f6ffdc00cc001205b2043a013a01ee00fc007600640090006000,0e000000b8ff50000600f8fff8ff2800fc97ac73026906cb36ed2ccb90ad0274,db36d9361d371d37e336e4361637153766366536233726370f370e37e236e036
18,18,0,f2ffe2ffeeffdeffcaff0800eeffdeff5200dcff22002200f6ff2600f8ff1800,7aff5aff0800f6ffbc00ec00120522058a013a01de00ee0042008600a000d000,a4ff3c007000c8ffd8ff0600d8ff9000fc125e34be52148c2a8c0c534236f011,d936dc361d372137e736e4361637123766366336263726370f370e37e136e136
19,19,0,2400040000000000eafffaff0e002e00bafffcffe0ff12000600d6ffd8ff1800,8aff5afff6ff4800bc00bc00a20482045a016a01de000c0186006400b000c000,00000e00f8ffb8ffd8ff06004800f8ff4674a6ac8cc94eee2ccbf867c273fa96,dc36d9361d371e37e436e4361237113765366636243723370d370e37e336e136
20,20,0,04001400deffdeffeaff0800eeffdeff0e00ecffd0ffe0ff1600160008001800,6aff8afff6ff0800ec00cc00a20412053a016a01ee001c0186007600a0008000,3c00d2ffd8ffd8fff8ff26002800d8ff3e342c98448c1269c25326ed1c1120ae,d936dc3620371d37e636e3361437163763366436243723370e371037e136e036
21,21,0,140034002000eeffeafffaff0e002e00fcfffcfff0ff2200f6ff06006800b8ff,7aff7aff08001800ac00bc00820442053a015a010c010c0132004200c000b000,e0ff0000c8ff600056000600f8ffd8ff5cab561478ef3e52c867a88bda96a236,db36db361c371b37e336e4361537143766366636233722370e371037e336e236
22,22,0,04002400200000000800faffeeffeeffdcffecff1200f0ff06001600f8ff1800,8aff6aff58000800ac009c00920432054a014a011c01ee00540054008000b000,d2fff0ff98ff60003600d8fff8ff28006c9836748269bcc840eb26cc80ae5873,db36d8361d371e37e336e4361237123764366536253725370e370d37e036e136
23,23,0,f2ffe2ffccff200028001800eeffdefffcffcaffe0ff32001600f6ff0800e8ff,6aff4afff6fff6ffbc00fc002205a2044a015a010c01ce0054008600a0009000,d2ff68007000d8ff06000600e8ff3800d61444338c51548c888bc2545237d00f,da36d8361c371f37e436e2361537143765366536233723370e371137e136e336
24,24,0,04001400eeff0000280028000e00eeff0e00fcff02000200e6ff0600f8ff5800,7aff7aff0800f6ffbc00cc00020582045a015a011c010c016400540080008000,3c001e005000b8ffd8ff2600f8ff080046741cabdcc778f096cd98675873ca96,d836db361f372037e536e5361337143765366636243725370f370e37df36df36
25,25,0,f2ff040000002000eafffaffdefffefffcfffcffe0ffe0ff3600f6fff8ffd8ff,4aff8aff58001800cc00dc00a204b2044a013a01fc00fc006400540090009000,2c000e00c8ffb8ff060026003800e8ff9432bc98768ce469e254a2e9d20e30af,da36d9361e371c37e636e3361537123766366436233725370f371137e436e136
26,26,0,e2ff040000000000080008000e00eeffcaffecfff0fff0ff060016000800e8ff,5aff6affe6ff3800cc00ec00820422052a013a01fc00fc0054005400a000b000,2c000000c8ff6000160006000800e8ffbcaaa61510f186508c66788b0a96b038,db36dd361f371d37e036e6361237143766366536263723370d370d37e436e236
