Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,e236e136db36d936d136d43616371337ca36a53617371b37d436d7364c352535,4afc3afc1a00faff18002800d20246030e000e000202f2015c004c00f6ff1600,da36e2360037d836e836ec36a936af364d566844195760034f012167dd62ea34,dc36dc361d371b37e336e4361137173765366536263726370d370e37e336e436
1,1,0,e436e136da36dc36ce36d23614371537a536a63617371837d436d43626352635,4afc1afcfaff1a00f8fff8ffd202c202ccff1e00e201f2013c005c002600f6ff,e136df36d836d536e836e936ae36ab365a6c9d04e214e73854272b669e6ad802,dc36d9361c371937df36e7361237113766366536243726370e370f37e436e436
2,2,0,e236e036da36da36d036d03613371137a736a43616371b37d536d63627352735,3afc3afcfafffafff8ffe8ffd202d2021e000e00f201f2014c005c0016002600,e036dd36d636da36e936ea36af36aa36983a18136b03566b2e689224d834a018,db36da361c371d37e636e3361437123765366536253727370e370d37e336e036
3,3,0,e236e236db36db36d136d13614371337a336cb361e371937d536d33621352235,4afc3afcfafffafff8ffe8ffd20256030e00ecff020222025c004c0016002600,de36dd36d8360037ec36e636ac36a8369e044f561a39f2561c664f01d802e262,da36db361c371d37e536e6361237123765366736263726370f370d37e236e236
4,4,0,e236e036d736da36ce36d13613371437a636a6361a371937d636d5364c352635,3afc5afcb8fffaffe8ffe8ffb20246030e00ecffe201f2013c005c0046000600,dc36de36da36da36ea36e636a936aa3618135a6c576bdd1492244f27a818996a,d936da361c371e37e436e3361237153766366636263725370d370d37e236e336
5,5,0,e136e236d936da36d136d13612371337a536a6361b371d37d736d33624354b35,3afc3afc0a000a000800f8ffc20256030e000e00f20102026a004c00d6ff0600,da36e236d936d936e936ec36ac36ac365b56923aea566d0350015968eb62a334,da36da361c371b37e536e536103712378a3666362537263710370f37e336e436
6,6,0,e336e336db36d936d236d13614371537a436cb361d371937d436d63623352335,4afc4afc2a00faff08000800d202d2021e00fcff1202e2012e004c0006002600,e036de36d936d936e536eb36ae36ab36576c9904ae141d39592720666e6ad702,da36dc3620371c37e536e6361437103766366536273727370e370e37e336e336
7,7,0,e136e236d836da36d036d03613371537a636a63619371a37d536d43625352735,2afc1afcfafffaff0800e8ffc202e2020e00ecff120202023c005c002600f6ff,e236da36d536d736e836ea36af36aa36643a4f1471035c6b61685a246f34d818,dd36da361c371e37e336e6361437103767366636233724370e371037e236e336
8,8,0,e236e136d936dd36d036d13613371637a636a73619371837d436d53625352835,6afc6afceafffafff8ff1800b2025603fcff0e00f201f2014c004c0016001600,e136dd36d6360137ec36e636ae36aa3694046856323ae35616664c01d502f562,db36da361c371d37e636e5361237113767366536253727370e370e37e436e236
9,9,0,e036e136dd36db36d136cf3614371237a336a53617371937d536d33624354c35,4afc3afcfaff0a00080008007603e2020e00fcfff20102024c004c000600f6ff,db36dc36d836da36eb36e736a836ab365414526c666ca01426246628e518716a,db36d9361b371d37e536e1361137123766366536243726370d370e37e236e036
