Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,dcfffcff18002800deff1c00f0ff0000f0fff0ff1c001c0008000800d2ffd2ff,26fc54fcd4ff2400b000b000e80a380a6c006c00d600e60052006200ca00ca00,f4ff0200ccff5e000800d6ffc4ff04001ea116759e6f06bbbadb1adcfebaa46f,db36db361c371d37e436e5361437113768366536223724370e370e37e336e136
1,1,0,0e00fcfffafffaff2c002c000000f0ff02000200cafffaffe6ff1800f2ff1200,62fc26fcb4ff2400c000b000580ad80a4c007e00d600e600520052009a00ba00,b6ff5000eaffeaffd6ff0800e4ff2400c024162352447a90be8aca5fb04580fe,dc36db361b371c37e736e4361537133766366636233726370c370e37e336e236
2,2,0,fcffecfffaff1800fefffefff0ff20000200f0ffdaffdafff6ffc6ff0200e2ff,44fc62fcd4ffd4ffc000c000680a680a7e006c000601e60030005200aa00aa00,2200f4ff0800dcff94ff180004000400f6748ea030ba2c01fadc3e5ee66e3290,d936da361e371c37e536e2361137133767366736253724370e370d37e336e136
3,3,0,1e00fcff1800eaff2c00deff000010000200d0ffaafffaff0800f6fff2fff2ff,36fc26fc14002400d000a000780ae80a7e007e00f600e60042007400aa009a00,4000d6ffdcfffaff0800e6ff2400c4ff76223ea1ca903070ba5fb4d920fe48bc,da36dd361d371c37e536e5361137113765366436233723370e370d37e336e336
4,4,0,fcff1e00180028002c00deff00001000f0ff0200faff1c00e6ffe6fff2ffe2ff,36fc54fc04001400e000c000680ad80a7e008e00f600e600420030009a007a00,0200f4ffccff0800180008003400d4ff4c9f72266402b243cc5dbe8a12905046,dc36db361c371c37e536e536143712378b366536243724370e370e37e336e336
5,5,0,1e00fcfffaffdafffeff1c00000010000200e0fffafffaffc6ff0800d2ffe2ff,54fc44fc14000400e000c000080b780a6c008e00e600f60042006200aa00ba00,020030005e006c003800c6ffc4ff240044a22675707038b954d960de00bde66e,dc36db361d371e37e536e5361137123766366436243721370d370d37e336e336
6,6,0,dcff0e001800fafffefffefff0ffe0ff0200f0fffaff1c00f6fff6ffd2fff2ff,44fc54fcf4ff1400d000b000580ac80a7e004c00f600e60042005200aa00ca00,e4ff30000800dcffc6ffe6ff0400240072260422324330919e8aea5ff046a0fd,d936dc361c371f37e836e4361237103767366736243724370e370d37e336e236
7,7,0,fcff0e00eaff1800eeffdefff0ff20000200d0fffaffdaffe6ff1800d2ff0200,36fc44fcc4ff2400c000c000780a580a6c007e00d600d60062005200ba00ba00,d6ff0200eaffbcffe6ff38002400f4ff26753c9f8eb8180390de885c866ee28f,de36dc361f371f37e336e6361437153767366536263723370d370d37e136e236
8,8,0,2e00fcfffafffaffdeffeeff20001000f0fff0ffeafffafff6ffe6ffe2fff2ff,26fc44fc34002400b0009000680a780a7e006c00d600c60030005200ba007a00,3000c6ffbcffeaffe6ff18002400f4ffba20c8a2b09180706a6084d888fc90bd,db36dc361e371c37e636e4361237153766366736253725370d370d37e236e336
9,9,0,1e000e00eafffaffeeffeeff10001000f0ff02002c00caffe6ffe6ffc2ffe2ff,44fc44fc04001400d000c000880a680a7e004c00e600e60052006200da00aa00,0200d6ffaeff08003800f6ff0400e4ffcc9ea227c803b4412c5dbe8ac28ffe47,dc36dc361b371c37e436e6361237143767366636263727370c370c37e336e336
10,10,0,fcffdcfffaff1800feffeeff00000000f0ff5200faffeaffe6fff6fff2ffd2ff,44fc44fc0400c4ffc000d000d80a880a8e009e00d600f60052004200ba00ba00,f4ff3000eaffeaff2800d6ffb4ff240018a30675b070eeb744d8f0def0bd366e,dc36db361b371e37e436e4361037143766366536223725370e370d37e136e236
11,11,0,fcff1e00fafffaff0c00feff0000f0fff0ff0200dafffafff6fff6ffd2ffe2ff,62fc36fc04000400c000b000d80a780a4c007e00c600d60052003000aa00aa00,f4ff30000800dcffd6ff0800d4ff440002288a1f1441b091ae8ab2614e48f8fb,db36dc361c371d37e636e4361237133766366436233724370e370d37e236e336
12,12,0,dcff1e00fafffaff0c002c0010002000e0fff0fffaffcaff28000800d2ffe2ff,44fc54fc04001400c000d000780a680a4c008e00f600d600520062009a00ca00,e4ff12000800ccffd6ff3800240004000675ea9dd4b688043ce0485cf66d348f,da36dc361e371f37e536e4361237123767366736233726370d370d37e336e336
13,13,0,1e00ecffeafffaff0c000c0010000000e0ffc0ff0c000c00f6ff0800d2ffe2ff,54fc36fc14001400c000a000e80a580a8e005c00e600c60042006200ba00aa00,2200c6ffccffeaffd6ff18003400c4ff0a1f32a4e0915671e2614cd6eefa00bf,dc36dc361e371d37e636e4361437143766366736243723370e370f37e336e536
14,14,0,0e00fcff180008003a00deff10000000620002001c00daffe6ff0800f2ffd2ff,54fc54fc14001400d000c000c80ad80a9e007e00f600e600420052007a00ba00,1200d6ffaeffeaff180008002400e4ff9a9dcc299a05c440985bde8ae48e2449,db36da361e371d37e536e7361437153765366736273723370e370e37e336e036
15,15,0,fcff0e001800fafffeffeeff0000f0ff0200e0fffaffcaffc6fff6ffd2ffd2ff,44fc26fc2400b4ffb000c000c80a780a8e008e00e600f600840042009a009a00,b6ff1200eaffeaff4800b6ffc4fff4ff82a4d674867154b67cd6b4e10ec0b66d,dc36da361c371e37e336e4361337123765366536253725370b370c37e236e136
16,16,0,fcff1e00fafffaff1c001c00000010000200f0ff1c00faff080008000200e2ff,44fc26fcc4ff2400a000c000e80a680a5c008e000601f600520074009a009a00,c6ff40001800ccfff6ff0800e4ff04003c2a9a1e34402092ce8a62625c4a92f9,db36d7361c371e37e736e4361237143767366536283724370e370e37e336e336
17,17,0,0e00fcff280018002c00feff10002000f0ff1200fafffaff0800f6ffe2fff2ff,36fc44fce4ffc4ffc000b000780a580a6c00be00f600d60052005200ba009a00,d6ff2200eaffccffe6ff18000400f4ff06754a9d04b6ca06e4e1825a766dc48e,db36db361e371e37e536e6361437123767366736263727370d370d37e036e236
18,18,0,1e000e001800fafffefffeffe0ff30005200f0fffaffcafff6ffe6ffe2ffd2ff,44fc36fc24001400d000a000480ad80a5c008e00f600e60052005200aa00ba00,3000e4ffbcffdcffd6ff38003400c4ff381db2a58092a671cc627cd5bcf8cec0,db36dd361d371c37e636e6361537143765368b36233724370d370e37e236e236
19,19,0,0e00ecfffaffeaff0c002c00f0ff0000e0ffe0ff3c00daff28000800c2ffe2ff,36fc44fc04002400c000d000680a780a8e005c00e600d60042006200aa009a00,f4ffd6ffaeff080048000800e4ffd4ffea9c2e2b94079e3e625afe8a848edc4a,dc36d9361f371d37e536e7361537143766366536263722370d370e37e236e136
20,20,0,0e001e00eafffaff2c000c00e0fff0ffe0ff02003c000c00c6ff0800e2ffe2ff,26fc36fce4ffc4ffc000b000080b780a7e007e00f600f60074005200ba00ba00,1200f4ffeafffaff2800c6ffe4ff040072a5e674c67154b576d4aee264c1666d,db36db361c371d37e536e5361537113764366536253723370e370d37e336e036
21,21,0,ecff1e00fafffafffeff0c0000000000e0ffe0fffaff0c000800e6ffe2ffd2ff,44fc36fcc4ff1400c000b000d80a880a6c007e00f600e60042005200ba009a00,120040006c00eaff08001800d4ff2400082ca81c2e3ed092de8aea630c4bccf7,dc36da361e371d37e536e4361237143766366636233725370e370f37e436e336
