Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,08001800eaffeaff1800eaff0000f0ffdeffeefffcfffcfff4ff0400e4ff2400,6cff7cff22006200b400a4002604560420013001e600160152004200ac008c00,faffccffdeffceffa6ff14001400e4ffcc54128cb88c3c51f8322614bc374696,d936db361c371d37e336e5361537163764366136233723370e370d37e236e436
1,1,0,08000800eaff0800eafffaff00000000ceff42000e00ecff040014000400f4ff,8cff7cff72003200940094001604a604300140010601f600420042008c00ac00,0800bcffbeff5600f6ff04002400d4ffd2ccd6ea70c8c4692074fc98ceae0210,db36dd361f371c37e336e5361437163763366236243723370e370e37e336e236
2,2,0,d6ff0800eafffaff0800eaff0000f0ff0000eeff0e00fcff04000400e4ff0400,6cff6cff72006200a400c4003604260420011001f6001601840052008c009c00,fafffaffcefffeff2400d6ffc4ff2400688ba8677c514af08614d4ab26965473,dd36db361d371c37e236e3361737163762366536243726370d370d37e136e336
3,3,0,f6fff6fffafffaff180008000000e0ffeeffdefffcff1e001400140044001400,8cff6cff62001200d400b400e60436043001000106010601520062009c00ac00,aefffaff5600deff2400b6ffd4ff340010ec5c545469688cdc98ae339210ce36,db36da361b371e37e536e3361637153761366136233723370e370d37e336e336
4,4,0,18000800faffdaff08000800e0fff0ff520000000e00cafff4ff040094001400,8cff9cff82001200a400940006049604100130011601f60052004200ac009c00,eaffdcff5600aeffb6ff240024000400e86750cce0ee06c984abf073ae73aeae,d936d9361d371d37e436e1361637133761366136253724370c370e37e236e236
5,5,0,18000800fafffaff1800eaffe0ffd0ffceffeeff0e001e001400040024003400,5cff6cff72007200a400d400860426041001100106011601520074009c008c00,1800eaffceffceffd6ffe6ff2400f4ff1253228ca88cec510e34a6131e36e696,d836dc361e371c37e336e3361237123763366436233726370d370e37e336e236
6,6,0,f6ff1800eafffaff080018000000d0ffdeffdefffcffecff2400140004001400,7cff6cff22001200a400a400a604a60430010001f600f600520062009c00bc00,0800bcffaeffeeff2400e6ff1400e4ff36cbc0ec24cad468f0739097beadbc11,d836db361e371d37e536e3361537163760366436263726370e370e37e436e336
7,7,0,0800f6ff1800faff08001800e0fff0ffeeff0000ecfffcff0400340004000400,5cff5cff72007200b400b400a604360420012001f600f600420052009c00bc00,ccfffaffbeffeeffe6ffb6fff4fff4ff428c2868805210eec01286ac3697ae73,dd36d8361c371c37e336e5361637143765366436273724370e370f37e336e236
8,8,0,e6ff2800eaff080018003600f0fff0ffeeff0000ecff1e001400140014008400,6cff6cff72008200b4008400460426041001100106011601420074007c008c00,dcff18007600deffd6ffd6ffc4ff240002ee1253f468488c9097d2358c125e35,da36d9361c371e37e636e3361637113764366436233724370f371137e136e236
9,9,0,2800f6fffafffaff080008000000f0ffdeffcefffcfffcff0400240054002400,9cff9cff62007200b400a4009604b6041001200106011601520052008c008c00,aeff26007600beffd6ff0400f4ff1400486866ca70ed58cbacad0074ee73c6ac,db36da361c371d37e336e5361337143763366436223725370e370f37e236e436
10,10,0,f6ff28001800faffeafffaffe0fff0ff00000000fcffdcffe4fff4ff14003400,9cff7cff620022008400940046049604200130011601f600420052009c00ac00,08000800deffbeffd6ff24002400d4ff3252528cf88b6453d235b810de347697,d836da361f371e37e336e3361537143761366436273724370e370d37e336e236
11,11,0,18000800faff080008000800f0ff1000eeffdeff1e001e002400040014000400,6cff9cff52006200e4009400b6042604200100011601160152005200ac001c00,18000800beff660024002400f4ffe4ffb6c982ee88cb846878730497b6ac1c13,dc36dc361e371c37e436e5361537153764366236243722370f370e37e336e136
12,12,0,080018001800daffeaff180010000000eeffeeffcaffecffe2fff4ffe4ff1400,7cff9cff2200120094009400b604960440011001d600060142005200ac00bc00,dcffdcffbeff56001400e6ffe4fff4ff728c9868045460ec30117caef4971e74,dd36d9361d371c37e436e3361637153763366336253723370c370e37e336e336
13,13,0,080018002800faffeafffaff1000e0ffeeffeeffecfffcff1400f2ffe4fff4ff,7cff8cff82009200a40094001604a60420011001f6000601520042006c008c00,aeff36005600eeff0400f6ffe4ff4400b6efc2512468d88b8496b236e6138633,dc36da361b371e37e336e4361537123761366436243723370e370d37e236e236
