Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,e636e636dc36d836d136cf3612371037cb36cb361337ee36d936d8364e355035,eeffdeff1c000c0002001200f8fff8fff0ffe0fffaff0c00eeffeeffcefffeff,e236e136d636d936e636e836ab36ae36054a632263136c26593a9c5a28595835,db36db361a371b37e336e63610370f378c368e361c371c370f371137e136e236
1,1,0,e336e836da36dc36d036d33611371137a736cd36ef36ed36d936d83652355135,2000eeffeafffaff120002000800f8ff1200e0ffdafffaffeeff0000eeffceff,e036e036d736d636e736ea36ac36ae36143aa062ee60a72c18191516f1247454,da36d9361b371a37e436e636113710378d368d361e371d370e370f37e336e236
2,2,0,e736e536dc36da36d236d13610371137a636cb3615371737d936d93650354e35,000000000c000c0002000200f8ff080032002200eafffaffeeff0000feffdeff,e236e236d636d636e736e836af36d2365f2211157026ed549b5a92482e357314,dc36db361a371c37e636e536123711378d368e361c371b3711370e37e136e236
3,3,0,e636e436da36db36d236cf3611371137cb36a7361637ee36da36d63651354f35,000000001c001c0012000200e8fff8ff120022000c00faff0000eefffeff0e00,e036e236d736d736e836e736ab36af36a262d248a22c61131a16553a9f542559,db36da361b371c37e736e3360e370d378c368f361c371e370f370e37e536e136
4,4,0,e536e736db36db36d136d13611371137cc36a736ec36ed36d636d93652355035,00000000eafffaff0200f0fff8fff8ff12000200eaffeaffeeff2000deff0e00,e136df36d636d536ec36eb36af36ae3612151c3a1855e96060480e197314f424,da36da361b371b37e336e4360e370e378d368e361a371b3711371337e336e136
5,5,0,e636e636db36d936d136d33610370e37cb36cc3615371437d936d73651355235,1000eeffeafffaff020012000800f8ff020012001c00faffeeff0000eeff0e00,e036e236d636d536e536e736af36b036a948582261139c26613a9f5a25592635,da36db3619371937e436e6360d370f378e368e361a371a370d371037e136e136
6,6,0,e736e836da36da36d136d3360f371137cc36cb36eb361337d636d6364f355135,100010001c00eafff0fff0ff180048001200f0fffafffaff0000eeff1e000e00,dd36e336d636d836e736e536ae36ae36533aa562e460952cdb181e162325a754,db36db361b371d37e236e4360e370f378b368f361e371c370e370f37e136e436
7,7,0,e436e636db36da36d436d13612371337cb36a63615371537d636d83651355335,eeff1000fafffafff0ff02000800f8ff020012001c00faff0000eeffeeffeeff,e136e036d836d736e736e836d236ae3651221715aa261e559e5a59481b356d14,db36da361b371d37e336e6360e370e378e368f3619371b3711371037e136e136
8,8,0,e736e536dc36db36d236d13611370f37cd36cb36ed36ec36d936da3651355335,eeffeefffaff0c0012000200f8fff8ff120022000c001c00eeffeefffeffeeff,e136e036d736d736e936e736af36ac36aa62a148682b601326166c3ad0542159,db36db361a371a37e536e336113711378e368e361b371e3710371137e336e336
9,9,0,e836e536db36db36d136ce360f371337ca36ca36ef36ee36d936d83650355435,10000000dafffaff020002000800f8ff02001200faffdaffeeff00000e00eeff,dd36e136d636d336e836e736ae36ae361915533a2255de605448d6186e142925,db36db361b371b37e636e636103710378d368e361d371a3711371137e236e236
10,10,0,e636e636db36db36d136d13610371037cd36cb361637f036d636d93652354e35,000020000c00eaff020002001800f8ff020032001c000c00eeffceffeeff0e00,e136df36d736d536e436e636ad36d4369f484c225f13ad269e3aa15a1c59f234,dc36db361c371a37e236e436103710378e368e361f371c3710371037e136e236
11,11,0,e836e636db36da36d136d33611371137a636cb36ef36ee36d836d73650355335,0000deff0c001c000200e0ff18000800e0ff1200fafffaffeeffdeffeeffeeff,df36e136d636d836ea36e736ab36ac365f3aa862db605f2bd61826162c25d554,db36d9361d371a37e436e5360f370e378c368e361a371c3710371037e136e136
12,12,0,e836e536db36dc36d036d13612371037ca36cc3613371437d836d73651355235,deffdeffeaff0c0012001200f8ff2800e0ffd0ffeaffeaffeeff1000feff0e00,e036de36d536d436e536e836ae36ae3621224516dc262d56a15a4947e9346614,db36db361a371d37e536e5360f3710378e368d361a371d3713371137e336e236
13,13,0,e536e636da36db36d136cf3612371037cc36cc3615371437d836d83655355035,0000eefffafffafff0ff0200d8ff180012001200faff0c00eeffeefffefffeff,de36e136d836d736e636e536ad36af36ac629248552b5c132b169c3add54f658,dc36db361c371b37e536e1360e3711378d368f361b371b3710370f37e236e336
14,14,0,e636e636dc36db36d336d13610370e37a736cb3615371537d936da364f355135,000010000c001c000200f0ff0800180012001200fafffaffdeffdeff0e00eeff,de36e136d836d836e736e836aa36ad364916673a3056db601b47d51868145525,da36d9361c371c37e436e5360e370f378e368a361e371c370f371137e136e236
15,15,0,e736e636da36d836d236d1360f371037cb36cb36ef36ee36d436da3655355035,deff10000c00eaff12000200f8fff8ff020002001c000c0020000000feffeeff,e236e336d736d736e536e736ad36ad368c4818225a13e126a63aa25af358de34,db36da361c371c37e536e53610370e378d368d361a371c370f371037e136e136
16,16,0,e636e636db36db36d336d13610371137cc36cb3613371537d736d73652355135,deffceff1c000c001200f0ff0800d8ff02000200faff0c00100020002e000e00,dd36df36d936d736eb36e936ae36ae36913ad162b2602a2b9e1856166025e554,da36db361b371b37e436e536e93612378d368b361e371a3710371137e136e136
17,17,0,e636e636dc36d936d136d03611371137ca36cb36ef361537d936d83655354f35,20001000fafffaff020002000800e8ff12001200faff0c00deffeefffeff0e00,e236e136d736d836e636e736ad36ae36101a5116e7263956a45a1747d5346514,db36db361c371b37e436e4360d370f378d3690361d371e3710371037e236e236
18,18,0,e736e436d836da36d336d13611371037cc36cc36ef361637d736db3651355335,200000002c002c0002000200f8fff8ff1200f0ff0c001c00deffeeff0e00eeff,de36e236d636d836e636e936ac36ad36aa625f482a2b5c135b16ad3ae654eb58,da36da361b371e37e636e336ea360e378c368c361e371a3712371037e036e136
19,19,0,e636e636dd36d936d136d23610371137cc36cb361737f036d936d83654355235,000000000c001c00e0ff0200e8fff8ffe0ff0200daff2e0010000000eeff0e00,e136de36d436d436e836e836ad36aa365016923a3e56b0601747a51865146626,d936d9361a371c37e636e6360e370e378d368c3619371c370f371237df36e036
20,20,0,e736e636dd36dd36d136d23611371237cb36cc361537ed36d636d7364f354f35,000000000c00eaff1200020018000800f0ff0200eafffaff100010000e00feff,e036e036d636d636e736e836b036af365b480e1a5a13f026e842a55ae958d334,dc36da3619371a37e536e63611370f378f368c361c371a370f371037e336e236
21,21,0,e536e336dc36da36d336d33612371037cc36cb3613371437d936d8364e355135,00001000eafffaff0200f0fff8ff0800e0ff1200eafffaffeeff1000fefffeff,e036e236d736d736e636e536af36ad36a342d062a960212ba01857167026ec54,dd36db361c371c37e536e5360e3710378b368d361b371d370e371037e236e436
22,22,0,e636e436da36db36d336d03610370e37cc36cb36ef36ef36d736da3652355335,1000eeff1c00eaff2200e0ff0800d8fff0ff2200fafffaffdeffeeff1e00feff,df36de36d736d836e736e636af36ae36de1859161b276756a95ae646a4346114,da36db361a371c37e636e6360e370f378e368b361e371c3710371037e136e236
23,23,0,e536e636db36dc36d136d03612371237cb36cc3613371537d836d93651355535,eeffeeff0c001c000200f0ff08001800d0fff0fffaff0c00200020000e00feff,e036e236d636d736e736e836ae36ac36a0625348eb2a5a135e16ea42f454e858,da36da3619371b37e436e436143712378c368d361a371c3711370e37e036e236
24,24,0,e836e436dc36dc36d136d0360f370f37cb36cc36ee361337d736d63652355235,0000eefffaff0c00120002000800180002000200eaffdaffeeff1000feff0e00,e136df36d536d636e736ea36ae36ad36e514d838ed562058d44668185f13aa26,db36da361a371a37e236e5361037113790368c361d371d370e370f37e136e236
25,25,0,e336e436d836da36d236d03610370e37cb36a7361537ef36d936da3650355235,100030001c00faff120002000800f8ff1200f0ff0c00eaffeeffeefffeff0e00,e036e236d836d636e636e636ab36d236164a96225713ec281143a85ae6587434,dd36dc3619371a37e136e3360e3710378d368f3620371b370e370e37e136e336
26,26,0,e736e536db36db36d136d13611371037cd36a736ef36ed36d636d8364e355235,00003000faff1c0012001200f8ffe8ff12002200faff0c0000000000feffdeff,e036e336d836d636e736e736ab36ad360a3a9b622158262965186316a8261f55,da36d9361c371c37e436e4360f3710378d368d361d371e3712371037e236e236
27,27,0,e336e836d936da36d436d13610370f37cc36cc3617371437d936d73652355035,20001000fafffaff220002001800e8ff02001200faff0c0010003000ceffdeff,e136df36d536d536e636ea36ae36ad3696220c1517291857a75ad5466c345e13,db36db361a371b37e536e5360f3710378e368d361c371d3711371137e236e236
28,28,0,e436e836dc36db36d136d13611371137cd36cb3613371537d736d63652354d35,00001000fafffaff02000200f8ff0800220012000c001c00eeffeeff0e00deff,df36e036d636d436e736e736ae36af36a1620f4a1b2956136b161f432755dd58,da36dc361d371c37e536e5360f3710378e368d361e371c3710370f37e036e336
