Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,f0ff2200f6ff1400d2fff0ff2800f8ff0e000e00340012002400e2ffd6ff0600,9d369d360737063710371037463749381537133720372137e436e63608370a37,1200f4ffc0ffb0ff00002e001e001e00d2ba8898a2c3d0443a6ada3cd8fad895,da36d9361c371c37e436e1361437143765366436233724370f371037e436e436
1,1,0,02001200040004003c0000001800e8ff5000fcff0200f0ff24002400d6ff1600,9d369e36063706371237123746374c381537153721372037e536e53608370837,c6ffe4ff4400d0ff0000f0ffcefffeff666a6a3c36faa495ac98ea055a453267,db36dc361b371c37e336e4361537143762366336243724370e371037e236e236
2,2,0,1200e0ff14001400f0ff000018000800cafffcff1200f0ff14002400b6ffe6ff,9c369d3606370637113716374a384c381637153720371f37e636e73608370a37,d6fff4ffc0ff4400f0ff0e000e000e0028997605b245f8662a3cb0bab895cac3,db36da361c371c37e136e3361537113763366336253726370e371037e336e336
3,3,0,12000200f6ffe6ff0e000000f8ff18005000fcff02005600360014000600d6ff,9e369e3606370637103711374c3848381437143720372037e736e7360c370b37,120002003400d0ffd0ff2e00fefffeff703b72ba749522c41a06ca6ad266e8f9,da36db361d371c37e436e33617371437653663362837233710370e37e136e336
4,4,0,12001200f6ff1400e0ff0e00f8ff18000e00caff12001200140004000600d6ff,9d369c3607370637113712374a3845371437153722371f37e636e5360b370b37,0200f4ff2600c0ff2e0000001e00deff9806866a98662ef910ba489982c59a45,db36da361b371c37e536e4361337163763366236243724370f371037e436e336
5,5,0,f0ff02001400140000000e00e8ff1800ecffecffbeff0200040014005600f6ff,9d369c3606370737133710374b3847381637153720372437e636e6360c370b37,3000f4ffdeffb0ffe0fff0ff2e002e0012ba4899a2c45246ba6a743aa6f85895,da36da361e371d37e436e13615371637633664362237233711371037e136e336
6,6,0,0200f0ff14001400f0fff0ff1800f8ff0e00fcffe0ff220014000400f6ffd6ff,9b369d3605370637123714374a384a38193715371f371e37e536e6360c370b37,02002200260044000000e0ffdeff2e00966ab03a22f8549598998a060a465266,da36dc361c371c37e436e2361437163764366436243724370f371137e336e236
7,7,0,1200120014001400f0fff0ff0800f8ffecfffcff1200220004002400e6fff6ff,9d369c3607370637123710371e374a38163718371f372037e536e6360b370937,4e00e4ff2600c0ff0e00d0ff0e00eeff88999807b2466866743ae0b8589532c5,db36d9361c371b37e036e43615371437623662362637223710370e37e336e136
8,8,0,f0ff2200e6ffe6fff0ff0e00e8ff0800fcffecff02000200d0ff0400f6ff5600,9b369f36063707371037103745374a381837163721372037e436e7360c370b37,2200f4ff5400c0ffe0ffe0ffdeff0e00903a72b9349562c5f6071a6b026626f8,dc36dc361f371d37e236e5361237153763366236263726370e370f37e336e236
9,9,0,e0ffe0fff6ff0400d2fff0ff08001800ecffdcff0200f0ff4600f2ff0600c6ff,9c369d360637063711371037453744371537143720372037e636e6360b370a37,e4ff1200160044000e001e00deffeeff3808f66a1866c2f7f0b8289a32c66847,db36dc361b371b37e536e5361237143765366136223727370d370e37e536e436
10,10,0,e0ff02001400e6ff0000f0ff2800f8ffecfffcffe0ff020004001400c6ffe6ff,9e369d3606370637113712374a3848381837163720371f37e636e53608370c37,3000e4ffb0ff1600f0ff3e000e00feff82b8389a12c65c472a6be439e8f6b094,db36da361c371d37e336e4361337143764366536253722370e370e37e336e336
11,11,0,f0fff0fff6ffe6ff0e001e00d8ff0800caff0e001200f0ff140004000600d6ff,9c369b36e236e2361137123748384637163716371f372137e536e7360b370a37,300030002600b0ff0000d0ffdefffeffe66a603948f6a494389a3009e847d265,db36db361b371e37e536e3361537143764366436253726370e370d37e236e436
