Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,e436e736de36d936d136cf3611371337ca36cc3617371337d536d63652354f35,e0ff1200140004002000200002003200faffeaffe4ffe4fff8ff1a000a001a00,e336df36d836d836e836e836af36ad3608579744683aee564b191043981ad51a,db36db361d371b37e336e43611370e378d368e362037223711371237e136e236
1,1,0,e736e736df36dc36d236d03611370e37cc36cb3614371337d736d6364d354f35,0200cefff6ff0400eeff00002200f2ffeaffeaff060006001a001a001a001a00,df36e136d736d836e836e536ad36d33691225b446423f218d844aa22f6566644,db36da361c371c37e136e33611370f378b368d361e371d3711371137e336e136
2,2,0,e836e536dc36dd36d036d03611371137cb36cc3614371437d936d7364c354f35,f0fff0ff140004000000eeff22002200daff0c0006000600c8fff8ff0a000a00,e036e036d836d836e636e636ae36af36a044a322ed56a246e742dd56cf1ad344,da36db361e371b37e436e5360f3710378c368d361f371e3711371137e236e336
3,3,0,e636e636dc36dd36d336d23610371137cd36a73615371337d636d8364f354f35,2400f0ff1400f6ffeeff100012000200faff0c00e4ffe4ff0a000a000a00faff,e136df36d736d836e636e836af36af365444e556f2183e3ad422471972449a1a,da36da361a371c37e136e336113712378e368c361e371d3711371137e236e336
4,4,0,e636e836dd36d836d036d13614371237ca36cb361537ef36d836d73652355335,f0ff240004001400deffeeff22001200eaff0c00060016000a00f8ffeafffaff,df36e136d636d636e836ea36d336af36a8226722aa466a23de56d744a9441f57,da36db361b371a37e336e336113711378c368d361c371c370f370f37e236e236
5,5,0,e636e636dd36dc36d236d13611371237cc36cb3616371537d736d5364e354f35,f0fff0ff0400f6ff1000deff020002000c00daffe4ff0600f8ff0a00eaff0a00,e236e136d836d836e736e836ad36d3360a57a244343aea562019e342a11aa91a,db36d9361d371b37e436e3360e370e378b368d361f371f3711371037e036e036
6,6,0,e636e636da36db36d236d13612371237ca36cb3614371437da36d93650354d35,020024001400140000001000020012001c00faff06001600e8ff0a000a000a00,e136e136d636d536e736e836d236d236682250446a23ee18db44d4221b579f44,da36dd361c371b37e336e336103710378c368e361d371d370f371037e336e136
7,7,0,e836ea36db36dd36d136d13614371137cc36cb3616371437d836d53651354f35,02001200f6ff04000000000022002200eaff1c0016000600e8fff8fffaff0a00,e236e036d836d836e836e736ae36d336a844ac22ec56ae46a93adb56a51a9e44,d936db361d371b37e436e3360f370f378d368c361f371d3711371037e136e336
8,8,0,e636e636db36dd36d336d13611371037cc36cc3614371337d836d7364f355235,ceffe0ff14001400eeff0000f2ff0200eafffaff160006001a000a001a00faff,e436df36d836d836e636e636d236b03647440a57e718303ad9221c19a044a31a,dc36dc361c371c37e336e036ea360e3790368f361e371f3710370f37df36e236
9,9,0,e636e636db36dc36d236d13612371237cb36cc3615371437d636d73651355135,1200020004000400eeff00001200e2ffeaffdaff06001600f8ff0a000a000a00,e236e036d836d836e836e636d236af36d4226122d9469724db560a4671441e57,dc36da361a371c37e336e336113710378c368c361f37203711371037e136e236
