Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,000000000c000c0000000000fcff0c003e00fcffdcff1e001600e4ffe8ffd8ff,fafffaffdaffdaff1c002c00deff54000e000e000000eeffc600c60014001400,0c000c00d8ff0a000e00ccff1e00fefffeac7407ecc54cad762fdcc5be57de2e,64ff54fff200d40080faa0fa8800a800e0fba4fb0c01ec006c004c00bcffbcff
1,1,0,100000000c00eaff0000f0fffcff2c000e00dcff1e00ecff0600e4ffd8ffe8ff,eaffdafffcfffcff0c000c00eeffeeff0e000e0000002000c600c60004001400,0c00eeff0a002a00ecffdcffdeffdeff7e2f0cc69457c42e64061058e0ac1a07,74ff54ff0201f200a0fac0faa800780074fb74fbfc000c015c003c00bcffdcff
2,2,0,eeff00000c00faff0000f0fffcff0c00ecfffcffecffecff0600e4ffe8ffd8ff,eaff0c000e00ecfffafffaffeeff0e003000fcff10000000b600c60004000400,feff1c00f8fff8ffdcffecff0e00feffb0054657bcacdc061cc6aeac9c2f6ac6,54ff82fff2000201b0fab0faa800a80094fb94fbfc00fc006c006c00bcffccff
3,3,0,deffdeff1c000c002c00e0ff2c00fcffdcff3e00ecff1e00e4ffe4ffb8ffe8ff,daffdaffecff36001c000c00defffeffecff0e0000000000c600b600f4ffe4ff,b2fffeffe8ffe8ffecffccffeeffeeff6cc6feacfe2f6cc61058662f0a063057,54ff54fff200f200c0faa0faa800b80094fb94fbde000c014c004c00ccffdcff
4,4,0,eeff10001c000c001e001e00fcff0c00ecff3e00dcffdcffe4ff16002800d8ff,1c00faffecfffcffeafff8fffefffefffcffecff20001000c600c6000400f4ff,feff2a00f8ff0a00ecffdcffcefffeff165722306c05fa567eac62059ac670ac,54ff54ffd400d40070fa80fa78009800a4fbd2fbfc00ec006c008c00bcffacff
5,5,0,10000000eafffaffe0ff00001c000c00dcffdcffecffecff0600f4ff2800d8ff,daffdafffcfffcff0c00faffdeff7800ecffecffdeff1000b600b600f4fff4ff,0c001c000a00f8ffdcffdcff1e00feff9eac40058cc64cac0630ccc60057ec2f,54ff64fff200e40090fac0faa800980094fbd2fbfc00ec005c006c00ccffbcff
6,6,0,eeffeeff1c00eafff0ff0e00dcfffcfffcffdcff50000e00e4ff0600b8ff3800,1c000c003600ecff0c00fafffeff4800ecff1e0000001000d600b6001400f4ff,1c000c00f8ff0a000e00fcfffeffceff8e30ecc6ea5640307205a65670ac7a05,54ff54ff0201c400b0fa70fa8800a800a4fb94fbfc00ec006c006c00acffdcff
7,7,0,000020002c000c00f0ff0000ccffecffdcffccfffcfffcff0600e4ffd8ffe8ff,0c00faffecffdaffeaff0c00feffeeff1e00fcff32000000d600d600e4fff4ff,fefffeff0a00f8fffcfffcffdefffeffb004e6564cac6a0478c77eac8c301ac7,74ff82ffd400e40070fab0fa8800a80066fb84fbec000c016c005c00ccffbcff
8,8,0,00000000eaff1c00e0ff00002c001c00fcfffcff1e00fcfff4ff1600c8ffd8ff,eaffeaffecfffcffeaff1c00fefffeffecffecffeeff0000b600c600e4ff0400,fefffeff1a00f8ffdcff0e000e006600bac73eace03076c7f65680318204f056,46ff74ffe400d400b0fac0fac800b80094fbe0fbfc00ec006c004c00ccffccff
9,9,0,eeffdeff0c001c000000f0ff3c000c00fcffecff1e004000e4fff4ff2800b8ff,0c000c00ecffecfffaff1c00eefffefffcff3000deff1000c600b600e4ffd4ff,2a00fefff8fff8fffcffecffbeffeeff965678313a041a572eac3e04c8c700ac,64ff46ffe400d400a0fa90fa9800980094fbd2fbfc00ec006c007c00bcffecff
