Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,e336e536db36d836d136d13610371237cc36a73614371837d436d4364d354f35,9c369e360937e336113712371f372037173716371f371f37e636e4360b370a37,2e65d75a5d6ad852146cea389c68d7260d370c371f372137e236e13622371f37,db36da361b371c37e436e33610371237653666362037203710371037e136e236
1,1,0,e136e436db36db36d436d33614371437cc36a63617371637d536d5364b354d35,9f369e360637e2361037123720372037163716371e371e37e536e6360f370a37,98042819ca02dd32d6041f45291290560c370f3721372137e036e13622371e37,dd36d9361c371b37e436e436123710376636653622371f3711371037e336e136
2,2,0,e336e236db36d836d036d03613371337a736cb3617371737d536d5364d352835,9c369f36e236063711370e3720371f37163714371d371e37e436e4360c370a37,e76a9a44556a9e32ec64de18175502120d370d3720372337e036e33621372037,dc36db361e371d37e336e53610370f37653667361f37203711370f37e436e336
3,3,0,e436e636d936db36cf36d33613371237a736cb3617371537d536d4364d352835,9d36a03607370737143711371f371f37163716371f372137e636e5360b370c37,2a04904246071753eb1654633428d66809370d3723372237e136df3621372037,db36da361d371b37e536e4361037113766366436203722370e371037e336e336
4,4,0,e436e236da36da36d236d23611371237a636cd3614371637d236d43627352735,9f369f36e1360637103711371d371e37173716371c371e37e636e6360a370d37,de665a249a58461321472c051235a5020d370c3721372337df36e03621371f37,db36da361d371a37e236e33612371137663665362037203711370f37e036e136
5,5,0,e436e436d936d936cf36d13612371437cb36cb3614371837d536d4364e352835,9d369d36e3360637113711371f371f37163716371c371e37e636e5360c370c37,9b14ee58cd241967e136df6a9b48986a0e370a3720372037e036e13620372237,da36d9361a371d37e236e2361237113764366536203721370f370f37e036e236
6,6,0,e236e536db36d936d336d13612371237a736cc3618371837d436d6364b354d35,9e369e3607370837123711371e371e37163717371e371d37e736e6360b370d37,a952e30601391203dc26eb022b1535060e370c3721372237de36e03621372237,db36da361c371c37e136e336113711378a366436223724370e370e37e136e336
7,7,0,e436e436db36d736d136d23612371337cb36cb3615371737d536d4364c354b35,9f369f36e3360637113712371f371d37173715371d371e37e736e4360d370b37,27348c6a0f45066cd956a96827669f5a0d370e371f372137e036df361e371f37,db36db361c371b37e136e336113712376636643620371f3710371137e336e436
8,8,0,e436e336d936db36d036d03613371237cc36a73618371537d636d93628352635,9b36a13606370737123714371d371f37163716371e371e37e436e5360f370c37,602aae02cf18c504eb086f0a5b032f190b370a3722372437e036e03620372137,da36dc361c371c37e136e336113712376536663620371f370e370f37e036e136
9,9,0,e236e336d936d936cf36d13614371137cb36a73618371737d436d43627354d35,9d369d36063706370f37113720371e37153715371e371e37e536e6360a370b37,5a54296a4563026515691f55dd6a2f430e370d3721372137e236e13621372337,db36dc361b371e37e336e33612371137653665362037213711370f37e136e336
10,10,0,e536e436db36d936d236d43612371337cb36cb3617371537d636d4364e354d35,9d369f360737e2360f3711371e371c37163717371e371f37e736e4360b370b37,16138e101905d916df02a3281d03653a0e370c3723372137df36e13621372037,da36dc361b371d37e436e436103712376636673620371f3711370f37e236e436
11,11,0,e436e436d936d936cf36d13612370f37cb36a6361a371737d536d93625354e35,9e369d36e2360737103711371e371f37173716371d371d37e536e4360c370a37,52688958d46a1447cf6a1735a16613230d370d3721372337e236df3622372037,dc36db361b371a37e136e5360e37103766366536203721370e371137e336e236
12,12,0,e536e336db36d936d136cf3610371237cb36a63616371637d536d5364d354c35,9f369d360637e336113714371f371c37143717371e371d37e436e7360e370a37,ef02ec24d902d2369e06e6489914125909370d3720372537e236e13620371f37,d936d9361c371c37e336e33610370f376436673621371f3711370d37e336e336
13,13,0,e236e336d936d936d436d23614371137cc36ca3614371937d436d43627354c35,9f369e36073707371337153720372037153716371f371f37e436e6360b370b37,e16aa0389768ce26a85a55153c52ab060c370a3721372237e336e23620372037,d836d9361c371b37e436e3361237103766366736213721370f370e37e136e336
14,14,0,e236e536d936db36d036d03612371337cb36a63615371837d436d53625352635,9d369d36e2360837113711371c371e371637153720371f37e636e4360b370b37,d50459455b0ac9569f226e662633646a0c370d3723372237e036e03620372337,db36da361c371a37e436e4361237113765368c36203721370f370e37e336e136
