Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,243725371b371937103711370e370d37e236e136e536e63600380038d436d336,10380e381037113715371437c836c8369a369b365d386238d036d136d836db36,db36d936e636e536273726370f3710370f370f3726372637533653369c369d36,874a8068935a90640d67e1541e6bd14618499e68985a1565a368dc56ec6a6a45
1,1,0,27372637163718371237123710370f37e236e536e436e53600380038d336d236,10380e3812370f3716371537cb36c8369a369a3659375a37ab36a936d936da36,d736da36e636e636253727370e370f370e370f374b372437543655369e36a036,d114ca0824075617a2045f281307163b6914e706e306d116a9045c27eb044f39
2,2,0,293726371837163710371137ea361037e436e036e536e63600380038d436d436,0f3811380e370e3716371537ca36c7369a369a365d385c38d336ab36dc36db36,d936d836e636e636223724370e37ea360f370f3724372637513651369c369b36,4c66125715692847db6863366168e3261e653057616aa048d16a1f3754686725
3,3,0,273724371837193710371037eb36ea36e336e136e736e53600380038d236d136,0e380f3810370f3713371437c736ca369b36983655375837ac36ab36db36db36,d936d936e436e1362437253711370f370f370e3724374a37533651359d369c36,d504d924db04a536160721471717585929031d235d0459360f076247e714d458
4,4,0,263727371737183710370f370f371037e336e236e636e43600380038d236d136,0f3811381137113712371637cc36c8369a369b365f385e38aa36ab36da36da36,db36da36e336e436263725370f37103710370f3726372437553650369c369d36,e268d7381667622851591317cb54a9091d69e738996899284f638b1767541d09
5,5,0,283726371737183712371137ea360e37e136e036e636e63600380038d336d336,0c380b381037113714371537c836ca36993699365a385f38d036d136dc36da36,d936d536e536e536253725370d370d370e37103724372237553655369b369d36,5a069c44100b2455921a6764dd2c98699b041c4392121c568b1a11651c2b5f6a
6,6,0,283727371737163712370e370e371037e036e236e536e63600380038d536d436,0f380c380e37103714371537cc36ca369a369b365d385c38d136aa36d936d836,d736da36e436e536273725370e370f3710370e3726372437513651369c369c36,405c481ae454dd0a6a445c05c92ccf06675c13196556cf1230468e066f34a604
7,7,0,263725371837193711371037ea360e37e136e136e536e73600380038d136d236,10380f381037113714371537c936ca36983699365d375a37d036aa36d936da36,d936d736e536e636243726370f370e370e370f3726372637513654369c369d36,1e175a5aa428246723391869e1546a69611626592a276768573ae26a1d536b6a
8,8,0,273727371537163711371137eb360f37e036df36e536e53600380038d336d336,0e3811380e37113715371337cc36c8369a369a3658376138d136ab36db36db36,d836d936e536e636263726370e370f370f370e3724372737533654369d369b36,d446d8066336da04ad241205e016df0a0f475c05cd3662045325e4042915e208
9,9,0,2737293718371737133710370e371037e236e436e536e53600380038d336d336,0f380e381037123715371437c936c7369a369b3658375a37d036ce36dc36da36,d936d836e636e536253722370e370e370e37113723372737543653369c369d36,9536d56868480e695c582065946821590f35e3682c47686ad7581f671a671a59
