Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,9c007c00c2ffd2ffcafadafa94049404a6ffb6ff12014401e4fef4fe3e082e08,cb36cc3600400040a436a23697369736e036de3654385738df36de36d036d236,14fb06fba4fc84fc30002000a4ffa4ffc200920078fa68fa50f862f860007000,ed46a06856574d651565e2569868d3460a49a46acc585d6624676358a56ae446
1,1,0,8c009c00d2ffd2ffdafadafa94049404b6ffa6ff34014401e4fef4fe4e083e08,cd36cc3600400040a236a23697369736df36e13655385738e036de36d036cf36,f6fa9cfb84fc94fc00002000a4ffa4ffa200920078fa4afa50f862f850007000,e916f006e5081f15dc04d924990457369416d906cd066c1430031d251a03e136
2,2,0,9c008c00e2fff2ffbcfacafa8404a40496ffb6ff44012201f4fef4fe4e084e08,cc36cc3600400040a336a13697369836de36df3655385538df36df36d036d236,14fb06fba4fc94fc00001000b4ffb4ffa200c20078fa68fa50f850f870008000,2f631d6197689651d668cf389d6616276666a85a18692149d96aa9406768ab26
3,3,0,8c009c00e2ffe2ffdafabcfa94049404a6ff96ff4401340104fff4fe5e086e08,cd36cb3600400040a136a33697369736df36dd3657385638e036df36d036d036,06fb9cfb94fcb4fc10001000d4ff84ffe200b20058fa58fa50f862f860007000,58069121b004203360069344cf12d154d304ad1a9d01f13212055445a312a956
4,4,0,9c008c00e2ffc2ffbcfacafa94048404a6ffc6ff44013401f4fe04ff4e082e08,cd36cc3600400040a236a13695369636de36dd3655385638e036e036cf36d136,06fb9cfba4fca4fc0000300094ffa4ffc200a20068fa68fa50f850f880006000,db6856436967de32145b4d22925496120e6b6544d168ee28c95cd018de54e708
5,5,0,8c007c00e2ffe2ffdafacafa84049404a6ffa6ff5601220114ffd4fe1e085e08,cb36cd362c350040a336a23697369736de36df3657385438df36de36cf36cf36,f6fa9cfbc4fc84fc10000000d4ff84ff7000700078fa58fa50f850f860008000,e70416391c09b05220172d595828a8669c04db4230071a532f17585ca928da68
6,6,0,7c00ae00b2fff2ffbcfacafa84049404b6ffb6ff56014401f4fef4fe4e081e08,cc36cc3600400040a2369f3697369436dd36df3656385638e036df36cf36d036,9cfb06fba4fcb4fc1000200094ff94ffc200700068fa4afa72f850f870008000,e4649d241957e514a946e00614359504d1665524e656ac11de462e05e034e902
7,7,0,9c008c00b2ffe2ffcafabcfa94048404a6ffc6ff22014401e4fef4fe5e085e08,cc36cc36004000409f36a03696369736dd36dd3656385438df36de36d136d036,d8fa8cfbb4fc94fc20001000a4ff84ffb200700098fa68fa50f850f870007000,ee142257492560669336a668154793681815545ae124e1661d37d06ae0506b69
8,8,0,8c007c00f2ffe2ffbcfacafab404a404b6ffb6ff44014401f4fe04ff2e081e08,cc36cb3600400040a236a43696369836de36df3657385438df36df36d136cf36,06fb06fb84fca4fc1000200094ff94ffc200b20068fa68fa50f850f850005000,2249a710e03818050f27a204d4160f078e4a1f072737dd02a42623035215ab06
9,9,0,9c00be00c2ffd2ffcafabcfa9404940496ffb6ff44014401f4fe04fffe075e08,cd36cb3600400040a236a03698369636de36de3656385838df36e136d036ce36,f6fa06fb94fcb4fc0000100094ff94ffa200920068fa68fa40f840f870006000,17335d68e5441669e6549b664f64065aa134966a18456a6a05578a6856656762
