Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,f6ff140004001400020022000600f6fffcffecfff6ff0800deff0000deff3e00,06000600e0ffc0ff1a000a000e000e00f8fff8ff1e001000e2ffd2ff0c000c00,0400e6ff0800daffd0ffe0ff2200120032005400040014000000200008003800,0f05a722a8049c346206164613136056990398221203513320052045d1146d57
1,1,0,1400f6ff0400140012000200e6ffe6ffdafffcfff6fff6ff20001000deff2e00,e4ff06001c00e0fffcff0a00eefffeff0a00f8ff1000e2ff0000d2ff0c000c00,2200f6ff180008000e00e0ffe2ff020012001200240034001000eeff28003800,1d691043d268a1322264df1896545f11616ae742a36821315764a4189a561213
2,2,0,0400140004000400f4ff1200f6ffe6ffecffecfff6fff6ff1000deff0e005e00,16000600d0ffd0fffcff0a00feff1e000a001a00e2ffe2ff000000001c00dcff,0400f6ff18000800e0ff1e002200020022001200f2ff2400eeff320048000800,da04683a56095d536618b562d92852686a039442c908485356171363c42a6669
3,3,0,f6ff04002400e4fff4ff3200f6ffe6ffdaffecff0800f6ff1000eeff3e001e00,060026001c003c000a00fcfffefffefff8ff0a00f2ff1000f2ffd2fffcffecff,e6fff6fffaff2600e0ffe0ff0200f2ff020002001400f2ff1000eeff08002800,0f6528231e57a51498469e06e0346c042165ea22e0560e0b9b465505ce361705
4,4,0,0400f6ffe4ff0400f4ff0200e6ff0600ecfffcfff6ff080010002000deffceff,f4fff4ffe0ff1c000a000a00feff1e00f8ffe8ff0000e2ffe2ff00001c00fcff,f6ffe6ff2600fafff0ff5e00420002000200020024000400100010001800c8ff,1e159d589c260967ec361a69a348e268e114d8584726dc6614375d69c94a156b
5,5,0,d6ffe6ff040014000200f4ffb6ff1600fcfffcfff6ff0800000010000e002e00,0600f4fff0ffe0fffcfffcff0e00eeff1a000a000000e2fff2fff2ffecff0c00,0400f6ff08001800d0ffe0fff2ff020002002200240014002000000008001800,0d495507cd38e504a7269604981629101452e60656384f03962652034d17ae07
6,6,0,f6ffe6ffe4ff1400e4ff02000600e6ffecffecff0800e6ff000010000e001e00,06000600e0ff3c001a002a001e003e00f8ff0a00e2ff1e00f2fff2ff1c000c00,f6ffe6ff1800faff0e00d0ffe2ff020012002200f2ff24001000320018005800,5d34a7688e46656a6e56b566d964115959330d694f465e6aa55614671567155b
7,7,0,f6ff1400f4ff0400020002002600f6ff0e00fcff080018000000eeff1e000e00,0600e4ff3c00f0ff2a000a00defffefff8ffe8fff2ff1000f2ffc2fffcffecff,f6ffd8ff180026000000e0ff0200020002001200040014001000100028001800,202959041b19d30628091b131805e2220d29e9026b201f05e608df129e06d024
8,8,0,e6ffe6ff1400f4ff22002200e6ff06000e00fcfff6ff08000000eeff1e003e00,0600f4ff1c001c000a000a00feffdefff8fff8ff0000e2ff0000e2ff0c001c00,0400f6ff0800180000000e000200020012001200340014002000000038001800,18535a6849635e635a686554286ae8422b539868196325639b688f545d6bd03c
9,9,0,d6ffe6fff4ff0400f4fff4fff6fff6ffecff0e00e6ff1800eeffdeff1e001e00,f4ff16002c002c00dcff0a000e00fefff8ffe8ffe2ff10001000f2fffcfffcff,e6fff6fffaff0800f0ff2e000200f2ff0200020004000400100020003800f8ff,29130d09e006dd186104e2281105a63ade12ce0847055c201b03e3289f069a3b
10,10,0,1400f6ff040004000200f4ffe6ffd6ffdafffcff0800f6ff0000eeffceff1e00,f4ffe4ff2c003c001a00fcffeeffeefff8ff0a001000e2fff2ffe2ffecfffcff,e6fff6fffaffdaff2e000000d2ff020012002200040004002000100008002800,9a669f56626ad246da68a834ea642523da66cd565c6a61461f699f341c670625
11,11,0,3400f6fff4ff2400e4ff0200b6fff6fffcffdaffe6fff6ffeeffeeff2e00eeff,1600e4fff0fff0ff2a000a00deffdeff0a000a001000f2ffc2fff2ff0c00fcff,f6ff040018000800f0ff1e000200020032001200140024000000100038003800,95045b26e40464382808af485a16d75827032d254c031d37e606e3481a17055b
12,12,0,e6fff6fff4ff1400f4ffe4ffe6ff0600fcfffcffe6ffd6ff0000eeff0e001e00,160006003c00f0ffecff1a00eefffefff8ff1a00d4ff0000b2ffc2ff0c00fcff,0400e6ff0800faffe0ff00002200f2fff0fff0ff340004002000000028002800,156926371667df26e0586316e4485b10576a1c37e4665c2614612115004bb607
13,13,0,0400d6ff04000400f4fff4fff6ff16000e00fcff0800e6ff200000001e003e00,e4ffe4fff0ffd0ff0a002a001e00defff8ffe8ffe2ff0000e2ff10001c00dcff,140004001800bcffe0ff00001200120022000200140004001000100028002800,69062d458f13e156ed2206669e34da6820055a46de0ace56e01a246597360d6b
14,14,0,f6ff0400e4ff04000200f4ff06001600fcff1e0018001800000010004e00beff,060006003c003c00ecff0a000e000e00e8ff0a00f2fff2ff000000001c00fcff,e6ff0400180018000000e0ff0200f2fff0ff2200140024002000100008002800,de629c189c548b09b642ea041a296b04166360205853d608d442a304d62a1605
15,15,0,0400f6fff4ffe4ffe4ff12000600f6fffcff3000e6ffe6ff000000000e004e00,0600e4ffe0ffe0ff2a00fcff2e000e001a00e8ff10000000f2ff2000ecfffcff,f6ff0400080008001e0000000200020012000200f2ff14002000320018001800,9d20dd625c29a468b142286956545f688e201c630c319f68de428e6a64559169
16,16,0,d6fff6ff0400040022001200f6ffe6fffcfffcff080018001000deff2e00deff,f4fff4ff1c003c00fcfffcffcefffefff8ff0a0000001000d2ffe2ffecff1c00,f6ff1400080018000e00d0ff12002200f0ff1200140024002000100008001800,2e456806e034ce04f022ea042a1328112945190566331403d71aa50400150813
17,17,0,1400140004000400f4ffd4ff06000600ecff1e00f6ffd6ffdeff10000e00ceff,f4ffc4fff0ffe0ff0a002a00feff1e000a00e8ffe2ff1000f2ff00000c00dcff,f6ff0400daff18003e002e00220002003200f0ffe2ff140010001000f8ff2800,253712694c521d69df580766af669d562637596a0f4916691e611d650a699b57
18,18,0,f6fff6ffe4fff4ff1200020016000600ecfffcfff6ffe6ffeeff10000e000e00,f4ff16002c00e0ffecfffcfffeff0e00e8ff0a0000000000d2ffe2ffecff0c00,f6ffe6ff180008000e00e0ffe2ff1200f0ff32002400460020001000d8ff2800,5f2597049f16990825076216a0049c26232527030e150d07e2062e154f056127
