Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,f6fff6ff0200f0fff8ff0a00f2fff2fff2fff2ff04000400e6ff0400eafffaff,ae3f8aaa8219a094e6efcc8c08ca38930e00fcff1600260006002600f8fff8ff,9d369c36df36dd36e136df36d136d23656375637dc36da36de36de36e836e536,0e001e001800faff520022000400040000002000f8fff8ff0a00f8ffdcfffcff
1,1,0,0800f6fff0ff0200f8ff0a00020002000400040004000400f6ff0400daffeaff,6adf726828097272f2302e6e9851b85c0e00fcff060016001600e4fff8ff0800,9e369c36de36df36e036e036d136d13654375537da36dd36df36dc36e736e636,00000000fafffaffe2ffe2ff04000400eeff1000e8ff0600f8ffe8fffcfffcff
2,2,0,0800d6ff020002000a00e8ff12000200040014000400f2fff6ffe6ffdafffaff,c2fe948d2ad6d28f7ab2fc9f289a68bb0e00fcff16000600e4ff0600e8ff0800,9f369c36e036df36e036df36d136d03654375437da36dc36de36dd36e536e636,1e000000faff080012000200040004000000eeffe8ffe8fff8fff8ff0c000c00
3,3,0,f6ffd6ff02000200f8ffd8ffe2ff0200f2fff2ff1400e2fff6ff0400daffeaff,e622d071e247b8631e633049087148261e00fcff0600060006000600f8ffe8ff,9e369c36e036e036e036e036d136d33656375637db36db36df36de36e636e536,0e002e000800360012001200f4ff1400eeffeeffe8ff0600e8ff2a00ecffccff
4,4,0,e6fff6ff120012002a001a00020012000400f2fff2ffe2fff6ff0400faffeaff,44be8098fca0d6b0cc8f98d4588d48fb0e001e00e8fff8ff0600e4fff8ff0800,9e369f36df36de36e236df36d136d13657375a37db36db36de36de36e636e536,1e003c0046001800120002000400e4ffeeffeeffe8fff8ff0a00e8ffecffecff
5,5,0,d6ff080002000200e8fff8ff02002200240014000400f2fff6ff04000a000a00,a65af853a46daa32fe72640ad869a8e2fcffecffe8ff06000600e4fff8ffe8ff,9d369f36df36de36e336df36d236d33657375737db36dc36dc36df36e236e536,1e000000360008001200220004000400eeffdeff06000600f8fff8ff0c000c00
6,6,0,e6ffe6ff02002200f8ffe8fff2ff1200040004001400f2fff6ff0400eafffaff,5294d2c6e48cc2eddc93b41728a8c83cecff0e00060006000600f4ffd8ff0800,9d369c36e036df36e036e036d336d23657375837dd36db36df36df36e636e536,0e002e0018000800f2ff12000400f4ff00001000f8fff8fff8fff8ff0c00ccff
7,7,0,e6ffe6ff02000200f8ff2a00f2ffe2fff2ff040004001400e6fff6fffaff0a00,1e731a19046ea0ef705bf8c7083ec8a80e000e00f8ff16001600f4ff1800f8ff,9c369d36df36e036e236e236d036d13655375637dc36dd36e036dd36e536e836,3c002e0008000800020002000400f4ffeeffdefff8fff8ff0a00f8ffecfffcff
8,8,0,0800f6ffe0ff12000a00d8ff1200e2ff040014001400d2ff040004000a00faff,c28f0e091ca08a313abd305308e158691e000e00060016000600060008000800,9e369d36e036de36e136e236d136d03655375537dd36dc36de36de36e736e336,1e0000000800faff12001200f4ffe4ffeeff0000f8ff1600e8fff8ffdcff0c00
9,9,0,e6fff6ff120012000a00f8ffe2ffe2fff2fff2ff0400040014000400faffeaff,b463ced54249f6b132242c99d8fc588dfcffdcfff8ff0600e4fff4fff8fff8ff,9c369d36e136e036e236e036d236d33656375737dc36db36df36dd36e636e736,00000000eaff1800f2fff2ff1400e4ffeeff00000600e8ff0a000a000c000c00
10,10,0,e6fff6ff020002000a00e8ff02001200f2fff2fff2fff2ff2200f6ff2a001a00,c8b1ec479ad4d86276fd5e71c8246871fcff0e003600b8ff06000600e8fff8ff,9e369e36e136df36e036df36d136d03655375137dd36dd36dd36df36e536e636,0e000e001800faff220002001400f4ffeeffeefff8ffe8ffe8ff0a00dcfffcff
11,11,0,08001800020012000a00f8ff0200f2ff040004000400040004000400eaffeaff,2232aea0680a1290c6e08c8da8bc78990e00fcff0600f8fff4fff4ff08001800,9d369c36df36de36e036e236d236d13656375437dd36dc36de36df36e536e736,0e000e0008000800f2ff6200f4ff0400eeffdefff8ffd8ffe8ffe8ff1c00dcff
12,12,0,0800080002001200f8ffe8fff2ffe2ff1400f2fff2ff14000400e6ffeaffeaff,96ee106ee2176472923e2e69e85b5852fcff1e002600f8ff16000600f8fff8ff,9d369d36de36e136df36df36d336d23658375537dc36de36df36de36e936e736,2e001e000800fafff2ff02001400e4ff10000000e8ffe8ffe8fff8ffecff0c00
13,13,0,c6ff08002200e0ffe8fff8ff0200f2fff2fff2ff04002400e6ff0400fafffaff,76efa48c5ec82094caa74aa9d893a8c80e000e0016000600f4ff06000800e8ff,9c369f36dd36e136e036e136d436d33657375837dc36db36de36df36e536e536,2e000e00fafffaff02001200f4ff1400eeff0000d8ffe8fff8ff0a000c00fcff
14,14,0,e6ff0800020002001a000a00e2ff020014000400f2ff0400e6ff04001a001a00,a231206eee52cc5afe69823c287328170e000e00260006000600f4fff8fff8ff,9b369c36e036de36e136e136d236d23656375637dc36dd36de36db36e836e736,00002e0018000800d2fff2ff0400140000000000d8ffe8ff0a00f8ffecffccff
15,15,0,0800e6ff1200f0ff0a000a00e2ff020004000400140004001400f6ff0a000a00,18b24ea03e9992bd6c8de6e25890d80a0e001e0016002600f4fff4fff8ff0800,9d369c36e136de36e036df36cf36d03657375537db36db36dd36e036e536e636,2e000000fafffaff1200e2ff1400f4ff000010000600e8fff8ff0a00fcfffcff
16,16,0,e6ffc6fff0fff0ffe8ff0a00e2fff2fff2ff0400e2ff04001400f6fffafffaff,a4638c485471de23de70f6fa786208d41e000e0016001600f4fff4ff0800f8ff,9c369e36de36de36e136e036d236d03657375837db36db36df36de36e736e636,2e000e001800fafff2ff1200f4fff4ff20001000e8fff8ffe8ffc8ffdcfffcff
17,17,0,0800080012001200f8ffe8fff2ff02000400e2ff0400f2ff04000400eaffeaff,d28fded4e28d8cfd8c9ae22618b39849fcff0e0016001600f4ff060008000800,9d369d36de36dd36e036e036d236d13658375537dd36dc36df36de36e636e736,1e000e00fafffaff220002000400f4ffdeffceffe8fff8fff8ffd8ff2c00fcff
18,18,0,e6ff0800f0fff0fff8fff8ff42000200f2ff0400f2ff0400d8ff1400faff1a00,0e73de09786856e040512abb5830989f0e00ecff06002600f4fff4fff8ff0800,9c369d36df36df36e036df36d136d13657375637de36db36de36dd36e736e736,00000e0018000800f2ff0200e4fff4ff100010000600f8fff8ff0a000c00fcff
19,19,0,0800f6fff0fff0ff0a001a000200f2fff2ff040004001400e6ff22000a00faff,12947a1888a9963e78ca205d68f0986e0e00fcfff8ff1600e4ff0600e8ff0800,9a369c36e136df36df36e336d236d23657375637dc36da36e036df36e736e736,0e000e000800ccff0200f2ffe4ff0400eeffeeff06000600e8ffe8ffecff1c00
20,20,0,e6ffe6ff020012000a00f8ff0200020004001400e2ff0400e6ffe6ffeaffeaff,165bb2c7163cfaa654151c9358ed988c0e000e002600e8ff1600f4fff8fff8ff,9d369e36e036e136e036e036d236cf3659375537dd36dd36de36de36e636e636,00001e00180008000200120024001400deffeefff8ffe8ff1a001a00fcfffcff
21,21,0,e6fff6fff0ff1200f8ff0a0012001200f2ff0400f2ff04000400f6fffaff1a00,c4bd885314e3166a140d2e739833a86d0e00ecff16001600e4ff0600f8fff8ff,9e369b36e036df36de36e136d136d13655375537db36dc36df36df36e336e636,2e000000faff18000200020004001400eeffeefff8ff0600e8fff8ff0c00ecff
22,22,0,e6ffe6ff020012000a001a001200f2ff1400f2ff04000400e6ff2200faff0a00,d623b0986cfaa28d18d29c90a8b098a1ecff0e0006001600f4fff4fff8fff8ff,9c369e36df36dd36df36e036d236d13656375737db36d936dd36de36e536e536,e0ff0e00eaff0800f2fff2ff04000400eeffdeffe8fff8ff0a000a00ecff0c00
23,23,0,1800080012000200f8ff0a00f2ffe2fff2ff1400e2ff0400e6ff2200fafffaff,12feb0718e266470e04a7e6158640847fcff0e000600e8ff06000600f8ff0800,9d369c36dd36e136e036e036d336d03654375837de36df36de36dd36e536e536,0e000e00fafffaffe2fff2ffe4fff4ff10001000f8ffe8ff0a00f8fffcfffcff
24,24,0,0800f6ff1200e0fff8fff8ff02000200e2ff2400f2ff04002200f6ffeaffeaff,fadf948de2ba5e9a9c9eaab4488fd8d6fcff0e0016001600f4ff06000800f8ff,9b369c36df36df36e136e136d536d23652375637db36db36dd36dc36e536e536,3c00f0ff0800faff020002001400e4ff1000100006001600e8fff8fffcfffcff
25,25,0,f6ff1800f0ff0200f8fff8fff2ff0200f2ff040004001400e6ffe6fffaff0a00,2e3fb268fa5c20511e6f922ee872c8070e00fcff06001600f4fff4ff08000800,9c369c36de36e136df36e036d036d13656375637d936db36de36dd36e436e836,0e0000001800180022001200f4ff1400eeffeefff8ff06000a000a000c001c00
26,26,0,f6fff6fff0ff22001a00f8fff2fff2fff2fff2ff14001400e6ffd8ff0a001a00,3ca7eaa9f092becabc8c66f2f894481aecff0e00f8ff26000600f4ff0800f8ff,a0369d36e036dd36df36df36d336d43658375437da36dd36df36dc36e536e536,3c000000080046001200e2ff0400140000000000f8fff8ff0a000a002c000c00
27,27,0,0800f6ffe0ff1200f8ff0a0002000200e2fff2fff2ffe2fff6ff32000a00faff,526ac03bb472e414ce6c66ebc859f8c5fcfffcff1600e8ff060006000800f8ff,9b369d36df36de36e036df36d436d23655375537dc36dc36df36dd36e436e536,0e000000eaff08000200f2ff1400f4ff00000000d8ffe8fff8ff0a000c00fcff
28,28,0,f6fff6ff120002001a00f8fff2ffd2ff040004000400e2ff0400f6fffafffaff,148dcae3c290a60d7aa20235a8bfd854fcfffcffe8ff160006001600f8ff1800,9d369b36e036dd36df36e136d436d13656375537dd36dd36db36df36e636e436,0e00f0ff0800fafff2ff52000400040020001000f8fff8fff8ff1a000c00ecff
29,29,0,f6fff6ffe0ff12000a000a00e2ffe2ffe2fff2ff14001400040004000a000a00,107152fa7a612ad250451aafd821f897ecfffcff160016000600260018002800,9a369e36e136e436e136e236d336d03657375637da36db36e036de36e836e536,00001e001800faff0200f2ff0400f4ffceff100006002600f8fff8ff0c001c00
30,30,0,e6ff0800e0ff02000a000a00f2ffd2ff140004000400f2fff6ff2200eaffeaff,a09a862716b4524bc8d85e651800d8710e000e002600b8ffe4ff0600f8ff0800,9c369d36dd36dd36e036e036d036d23656375337dc36dd36de36de36e636e636,00001e00faffeaff120002000400f4ffdeffeeff06002600d8fff8ff0c000c00
31,31,0,18001800220012000a00e8ffe2ff120004002400f2ff04000400f6fffaffeaff,9a5096ba7a2e4c9ec4051c8f28de188efcff1e00160026000600e4ff0800f8ff,9d369f36de36e036e236e136d236d13655375737dc36dd36dc36de36e736e536,2e000e0008000800120012002400f4ff0000000006000600e8ff1a000c00fcff
32,32,0,f6ff0800e0ff0200f8ffe8ff42000200040014000400f2fff6ff04000a002a00,00cb965da0f2846e741c7e728840d8670e00fcfff8ff0600060016001800f8ff,9c369d36de36df36e136e136cf36cf3655375337db36da36db36dd36e736e836,0e003c0008000800f2ff02000400f4ff0000eefff8ff16000a00f8fffcff1c00
33,33,0,08000800f0ff0200d8fff8ffe2fff2fff2ff040004001400d8fff6ffeaffdaff,aa14d292b2ead28c18c4ac9518a618abecfffcff1600160006002600e8ff0800,98369b36df36de36df36df36d136d13656375837db36dd36df36db36e536e536,00003c00080018000200f2ff2400140000001000f8fff8fff8ffe8ffecfffcff
34,34,0,18001800020022000a00f8ffe2ff4200040004001400f2ff04000400eafffaff,bc0d3e736835666c6056b058f86a283afcff0e0016001600f4ff16000800f8ff,9c369936e036dd36df36e136d036cf3655375937dc36dd36df36de36e636e736,f0ff1e00faff1800220002001400f4ffeeff2000f8ffc8fff8ff0a00ecffdcff
35,35,0,0800e6fff0ff0200f8fff8ff32004200040014001400f2ff22000400eafffaff,4ed1b290e6ae7ca21c97f8c0f88ce8e5ecff0e002600360006001600e8ff0800,9b369b36df36e036e036df36d136d33656375537dd36dc36dd36df36e836e736,2e00f0ff3600faff02001200d4ffe4ff3000000006000600f8ff0a00ecfffcff
36,36,0,f6fff6ff02003200f8ff0a001200e2ff0400f2fff2ffe2fff6ff04000a000a00,9a4b3461386594454e72e41f787038f81e00fcff0600f8ff06000600f8ff0800,9c369c36de36dc36e136e236d236d23657375a37dd36dc36dd36de36e636e736,1e001e00faff08000200f2ffe4fff4ff00002000e8fff8fff8fff8ffecff0c00
37,37,0,08000800020012000a00f8ff22000200f2fff2ff0400140004002200baff0a00,3e9e08b5e28e18d99c8e5402a89b68290e00fcff060016000600f4fff8ffe8ff,9c369c36e036df36df36df36d536d33655375837de36dd36de36df36e436e636,0000f0fffaff0800f2fff2fff4ff04000000deffd8ff0600f8ff0a000c00ecff
38,38,0,e6fff6ff22001200f8ff2a0012001200f2ff040004000400040004000a000a00,706ff42d24720806ee6658dc284f08b90e00fcff160016000600d4ff0800f8ff,9e369c36df36de36e036e136d136d13654375737db36dc36df36de36e736e736,0e00e0ff0800080002000200f4ff04000000eeffe8ffe8ffe8ff0a00dcff0c00
39,39,0,f6fff6ff1200e0ff1a00f8fff2ff120004000400140004000400e6ffeaff1a00,d48c14f31096621c4aac7042c8cc785efcff0e0016000600e4ff1600f8ff1800,9d369b36de36e036e236e036d036d2365c375737de36db36df36dd36e636e636,f0ff1e001800faffd2ff0200040014000000eefff8ff0600f8fff8ff2c00fcff
