Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,e2ff04000800f6ff120002000400040002000200fcff0e000e00eeff0200f2ff,5ee5dc8cf8bf92971ea25cafc690d6d00e001e0004000400fcff1e001c000c00,feff0c00fcfffcfff2ff0400e8fff8ff06002400faff0a00f8ffe8ff1e000e00,000000000000eeff3600eafffeffeeff0200f0ffeaff08000e00fcff0200e2ff
1,1,0,04002400f6ff08001200f0ff0400c4ff120012000e00ecffeeffeeff02000200,703af86a74596455486d8e344673060e0e00fcfff6ff1400fcff0e00fcff0c00,1c000c00fcff0e00f2ff3400d8fff8ff1600e8fffafffaffe8ff1600eefffeff,deff0000eeffeeffeaffeaff0e000e0012000200faff0800fcff2e00d2ff1200
2,2,0,0400d2ff080008002200120004001400f0ffe0fffcffecffdefffeff12001200,c6aa38a6629516c5c08c46eca69246140e00fcfff6ff0400fcfffcfffcfffcff,0c000c000e00ecff0400f2ffe8ffe8fff8ff16001a000a0006000600eeff0e00,00000000eeff0000dcff2600eeffeefff0ff0200daffeaff0e001e0002000200
3,3,0,e2ff0400f6ff0800120002001400d4ff02002200fcff0e00feff0e0002000200,28681e40ae72521b266ff4f1865d26cb0e00fcff140004001e00fcfffcfffcff,0c000c00dcfffcff14001400f8fff8ffdafff8ff0a001a003600f8ffeeffeeff,eeffdeff3000000018002600eeffeeff12000200faff08000e00ecff22001200
4,4,0,14001400e6fff6ff220022001400d4ff120002001e00fcff0e001e0002000200,7c8d7ede148f6807de9e5e2f46ba96500e00fcff04000400ecfffcff2c00fcff,fefffeff0e001e001400f2fff8fff8ff1600f8fffaff0a000600e8ffeeffdeff,0000eeffeeff30002600eaffdeff0e000200f0ff18002800fcff0e0002001200
5,5,0,040004000800e6ff220012000400240012000200fcffecff0e000e0002002200,e6719affd264d2d7ba4a1cb4d627a69aecfffcfff6ff1400fcfffcff0c00ecff,feff0c000e000e00e2fff2fff8fff8ff06000600faffeafff8fff8fffeffeeff,eeff100000000000eaff26004e000e00020022000800faff0e001e0022000200
6,6,0,04000400e6ff08001200f0ff1400d4ff12002200fcfffcff0e00deff12001200,0a984422acafa84698d22862d6f916710e00fcff14000400fcff0e00fcfffcff,1c00eeffecff0e0004002400f8ff08000600f8ff1a000a00f8fff8fffeffeeff,10000000eeffdeff180026000e00feff020002000800eaff0e000e0002000200
7,7,0,f2fff2ffe6fff6ff1200020014001400020002000e00fcfffefffeff02000200,7c54b4be0c34c0a1720c709016e4068d0e00ecff040024000e00fcffdcff0c00,0c001c001e00ecfff2fff2fff8ffe8ff06000600daff0a00f8ff0600fefffeff,00000000200020001800dcffdeff3e0012002200080008000e00fcffe2fff2ff
8,8,0,f2ff0400f6ff080022000200140014002200f0ff0e000e00feff1e0012001200,52c64a5a6eec606d00162673763b766a0e00ecffe6ff0400fcff0e00fcfffcff,deff0c000e00fcff04000400e8ffe8ffcaffbafffafffafff8ffe8ffeeff0e00,eeff000010001000eaff26003e000e000200f0ffeaff18000e00fcff02000200
9,9,0,f2fff2ffe6ff0800120012001400d4fff0ff02000e000e000e000e00f2ffe2ff,f4196a947cf1e48c18ca2e93e6a916a7fcff0e00e6ff04000e000e00fcff0c00,2c001c000e001e001400f2fff8fff8ffdaffe8fffaffeaff060006000e00feff,000000003000eeffdcff2600cefffeff020002000800faffecfffcffe2ff0200
