Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,eaffdafff6ff180006000600d8ff2800f6fff6ffdeff10001c00eefffeffeeff,c0fffc711226e670004b8e61506400470a000a00eeffeefff2ff0400f2ffe2ff,fcfffcff0400e2ff22000200d6fff6ff080018000c00dcff1800f8ff0000d0ff,b0fff0fffefffefff0ffd0fff2fff2ff02001200f8fff8fffcff1e0002000200
1,1,0,faff0c00f6ff18000600f4fff8ffe8ff0800f6ff0000eeffdeffcefffefffeff,b4ded28df2bb069a7c9e9ab4608fd0d60a00e8ffbefffefff2ff14001200e2ff,fcfffcff0400f2ff12004200f6ff1600daff08000c001c000800f8ffe0ff1000,02000200deffeeffe0ff00000200f2ff02000200e8fff8fffcffecffe2ff1200
2,2,0,eaff0c00f6ff18002600f4ffd8ff2800f6ff180000000000eeffeeff1e00deff,74401e686a5caa511c6f822ee07200080a00f8ff3c00feff1400f2ff0200f2ff,ecfffcfff2ffe2ff0200120006001600daffdaff1c001c000800f8ff10000000,d0ffe0ffdeff0c00f0ffe0ff020002001200f0fff8ffe8ff1e000e00e2fff2ff
3,3,0,faffeaff1800080006001600c8ff2800e6ffe6ff000020001c001c00deff0e00,3ea6eeaa689310cabe8c96f2c094401a1a000a00feffeefff2ff1400f2ff0200,0e00ecff040004001200220006001600280008001c00fcfff8ff18000000f0ff,0200e0ffeeffeeff0000f0ffe2fff2ff020012002a000a000e000e00e2ffd2ff
4,4,0,0c00fafff6fff6ff06001600e8fff8fff6fff6ff0000eeffdeff0c00feffeeff,fc6a643ad6721416dc6c66ebd059f0c5f8ff1a00feffdefff2ffe2ff12000200,ecfffcffe2fff2ff120042002600e6ffeaffdafffcff0c00f8fff8ff00002000,f0fff0ffeefffefff0ffd0ff02000200f0ff12000a00e8fffcfffcfff2fff2ff
5,5,0,1c00fafff6ff0800060006002800e8ff0800f6ff0000eeffeefffeff0e001e00,048d64e54890360c9ca2003560bfb054e8fff8ffeeffeeff04000400e2fff2ff,fcffecff1400e2ff0200220026002600eaffbafffcffecfff8ff1800f0ff1000,0200e0ffdeffeeffe0ff0000f2ff1200f0fff0fff8ff1a00fcff0e00d2fff2ff
6,6,0,0c00fafff6fff6ff1600d4ffe8ffe8ff0800e6ff1000eeff0c00feffeeffeeff,ba70e0f8a8617ed250451caf10221098e8fff8ffeeffeefff2ff0400f2ff1200,ecffecff1400e2ff2200f0ff26002600fafffafffcff0c00080008000000e0ff,e0ffd0fffeffdeffe0ffd0ff02000200020022002a00f8ff1e000e001200f2ff
7,7,0,eaffdafff6ffd6ff060026000800e8ff08000800eeffeefffefffeff0e00feff,629bc828e2b38c4ab8d84e65e0ffd0710a000a00feffeeff0400f2ff12001200,0e00ecfff2ff0400120012001600e6ffeaff28000c00fcfff8ff180000001000,f0ff02001c001c00f0ffe0ff02000200f0ff0200f8ffe8ff0e00fcffe2ff0200
8,8,0,daff0c00280008000600f4ff2800f8ffe6ff0800200000000c000c000e002e00,a04f8cb9502fc69e7405ee8e50def08dd8ffe8ffceff0c00e2ff14001200f2ff,0e00ecfff2ffe2ff22001200e6ff0600eaffeaff0c00ecff08001800f0ffd0ff,f0ff0200feff0c00c0ffe0fff2ffe2ff0200e0ff2a001a001e000e00f2fff2ff
9,9,0,fafffaff08000800f4ff16002800280008001800eeffeeffdefffeff0e000e00,88cc4e5e0af2766e621c8c729040e067f8fff8ff1c00eeff140014001200f2ff,0e00ecff14001400220022001600e6ffeaffdafffcfffcfff8ff1800e0fff0ff,e0ffe0fffeff0c00e0fff0fff2ff220022000200f8ff0a000e00fcfff2ff1200
10,10,0,eaff0c000800f6fff4fff4ff180018000800f6ffeeff10001c00eeff0e000e00,0c136292daeb088d3ac49e9520a610abf8fff8ffdeffceff1400040022001200,0e00fcfff2fff2ff1200e0ff06002600daff1800fcffecff2800180000002000,020002000c001c00f0ffc0fff2fff2fff0ff2200d8fff8fffcff0e001200f2ff
