Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,e8fff8ffeeff00000c00faffe6ff0600fcff0e0014000400f0ff0000f0ff2000,2e8e0801e09af827ceb5544c26d8466500000000faff2800eaffeafffeff0e00,eeff1000260016000000eeffdcff2c00dcff0a0006001600f8ffe8ffe8ff0800,d6ff22000c000c000e00f0fffeffdefffcfffcff58001800e2fff2ff2c00fcff
1,1,0,e8fff8ff0000eefffaff0c001600f6ff1e00ecfff2ff14002c0000001000f0ff,666750dd8250aaba662dd09d7606268feeffeeffeaffdafffaff0c001e00eeff,20002000f4ff2600eeff20001c00ecff0a000a00e6fff6ff0a000a00e8ff0800,f4ff1200eeffdeff00000000eefffefffcfffcff08000800f2ff14001c000c00
2,2,0,f8ff1a001000eeff0c00faffe6ff1600ecff0e0034001400f0ffe0ffe0ff1000,08ac9c41a8cb4e5deaf3726fb61bc672000010000800faffeafffaffeeff0e00,eeff10001600f4ff0000eeff1c001c000a000a00e6ff2600f8ffd8ff18000800,120022001c00feff0e001e00eeff0e000e00ecff080018001400f2ff0c00fcff
3,3,0,0a00e8ffdeffdeffeaff1c0026000600fcffecffe2ff040000001e001000f0ff,0e397aa58c14f2922aea108d96c42695eeffeeffeafffafffaffeaffdefffeff,0000deff0600f4ff100010002c00ecfffcffdcfff6fff6fff8fff8ff0800f8ff,12001200eefffefff0fff0fffefffefffcff0e000800080014001400fcff0c00
4,4,0,e8fff8ffeeff1000faffeaff160006001e000e000400f2ffe0ffd2ff00000000,aee6746b0c0e8c727636826ce655d658eeff1000faffeaff0c00eafffeff0e00,100000001600f4ff00001000fcfffcffecfffcfff6ff16000a00f8ffe8fff8ff,12003000deff1c000e000e000e00feffecffecff08000800f2fff2fffcff1c00
5,5,0,1a00d6ff1000defffaffeafff6fff6fffcfffcff14000400f0ff0e00f0fff0ff,4af7ee8c78d132913eae6ea3769786c010000000eafffafffaff0c000e00feff,2000100016000600000010003c00fcffdcffecfff6fff6fff8fff8ffe8fff8ff,02001200eeff0c000e000000feffeefffcff0e0028000800f2fff2fffcfffcff
6,6,0,f8ffe8ff00001000faffeafff6fff6fffcffecfff2ff04000000f0ffd0ff0000,322ab470f24b2e61426604442672762010000000caff4600fafffaffeeffeeff,100010002600160010000000ecff0c00b0ff0a000600f6fff8ff1a0008000800,f4fff4ff0c002c0000000000eeffeefffcff0e00d6ff0800f2ff24002c00ecff
7,7,0,f8ffd6ffeeff0000fafffafff6ffe6fffcff0e00f2fff2ff1e000e0030000000,46b81c9c509e1cb5d08e2cda368e76012000eefffaff46001c000c00defffeff,10000000f4ff0600eeff1000ecfffcffceff0a00260026000a000a00f8fff8ff,e4ff0200feffeefff0ff3e001e000e00fcfffcff08001800e2ff14000c00fcff
8,8,0,e8fff8ffeeff20002e00fafff6ff06000e000e000400f2ff0e00f0ffe0ff1000,385f7a4e2c6f282e92720804066706ddeeff1000faffeaff0c00eafffeffeeff,deffdeff0600060010000000ecff1c000a00ecfff6fff6ffe8fff8ff08000800,020012001c00eeff0000e0ffdeffeeff0e00fcfff6ff0800f2ff14000c001c00
9,9,0,f8fff8ff200020001c00faffe6ffd6ff1e00fcffe2ff04001e00e0fff0fff0ff,ee91d2cd328d92f39096b81d36ac06421000eeff3800faff1c00faff0e000e00,200030000600060010000000fcff0c00fcffecfff6ffe6fff8fff8ff2800d8ff,f4ffe4ff0c000c000e000e00eeff0e000e00ecfff6ff0800f2ff1400ecfffcff
