Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,02000200eaffeafff6ffe6fffaffeafffcff1e001400e2fff8ffe8ffeeffdeff,0257a260a02aa6a8928e00d5a41b9471d8fff8ff3e002e000c00eaffccffdcff,08001800f0ff34001a00fcff12000200d4ff1000fcffecff00000000e0ffe0ff,e0ff0e0020002000feff0c000a000a002600f4ff16000600f0ff0200f8ff0800
1,1,0,f0fff0ff0c000c0008001800eaffeaffecffdcfff2ff140026002600feffeeff,508edcd5101c4c71be60a4e3a4a8e49e1a00e8fff0ffd0ff0c001c000c00dcff,0800e6ff02001200fcff0a001200f2ff0000f2ffecff0a000e0000000000f0ff,00001e000000100048000c000a000a00e4fff4ff0600f8ff02000200f8fff8ff
2,2,0,02001200eaffdafff6fff6fffaffeaff0e000e0004001400f8ff2600feff1e00,52600ae456a8869f90d54c577471242af8ff1a003e00e0fffaffdaffecff1c00,0800f6ff12001200fcfffcff32002200f2ffe2ff1a000a000000f0fff0fff0ff,1e00f0ff20002000fefffeff1a00faff0600e4fff8fff8fff0fff0ff1800f8ff
3,3,0,e0ff1200daffeaff2800f6fffaff3a00ecff0e00140024000600f8fffefffeff,0cd682574c71302a14e4828e849ff41bf8ffd8ffd0ff2e000c000c000c00dcff,f6ff1800120022000a00fcfff2ff0200f2ff00000a00fcff0000f0fff0ffe0ff,1e0000002000200058000c00faff0a00f4ff160016000600f0ffe0ff3800f8ff
4,4,0,12000200faff0c0018000800eaff0a00fcfffcffe2fff2fff8ff2600feffdeff,4ce3508ed69f001d9c571e60f42824a81a000a00f0ffe0ffeaffeaff1c001c00,f6fff6ff12000200fcffecfff2ff1200e2ff10000a001a0000000e0000000000,0e00e0fff2fff2ff0c00feff0a001a001600160006000600e0ff020008003800
5,5,0,f0ff0200faffcafff6ff0800fafffaffecff0e001400e2ff0600f8ffdefffeff,b257f25fc029b6a7828e80d7c41cb471e8ff0a002e004e001c00faffecffdcff,f6fff6fff0ff22000a001a00f2ff120000000000dcff0a00e0ff0000e0ff1000,e0ff000010002000eeff4800eafffaffe4fff4ff1600f8ff0200120018000800
6,6,0,0200f0fffaff0c00f6ff1800eaffeaffecff0e002400040016003600deffdeff,508ebcd6001d4c71fe5f72e3c4a734a02a00e8ffd0ffc0ff0c000c002c00fcff,0800080012000200fcff0a0002002200f2fff2fffcfffcff0e001e00f0ffe0ff,0000e0ff00001000feffeeff0a00fafff4ff16000600f8fff0ff02000800f8ff
7,7,0,02000200eaff0c0008000800eaff2a000e00ecfff2ff040006002600feffeeff,825f7ce256a726a010d79c58a471d4280a002a002e002e00faffeaffecfffcff,1800f6ff020002001a000a0022000200100010000a00ecff1e00e0ffe0ffe0ff,000000000000f2ff0c00feff1a000a000600e4ff1600f8ff02002200e8ff0800
8,8,0,e0ffe0ff0c00eaff1800f6ffdaff4a00ecfffcff040014002600e8ffdeffceff,acd772585c71502802e2a28ea4a0a41df8ffc6ffd0ff0e001c000c00fcffccff,f6fff6fff0ff0200dcffecfff2ff2200f2fff2ff2800fcff0e00f0ff0000f0ff,0e000e0020001000eeffeeff1a000a0006000600f8ff2600f0fff0ffd8fff8ff
9,9,0,1200f0ffdaff1c00d6ffe6fffaffeaff0e00ecff0400f2ff0600f8fffefffeff,dce1508e96a0201e9c58ac5ee42764a72a000a002e00f0ffeafffafffcff1c00,1800f6ff02000200fcfffcfff2ff0200100010000a000a000000f0fff0ff0000,0e001e00100000000c000c00faff0a000600d4ff0600d8ff12000200f8ff0800
10,10,0,0200f0fffafffafff6fff6fffaffeaffecfffcff2400f2ffe8ff0600deff0e00,2259f25ed027e6a6928eb0d7d41eb471e8ff0a003e002e000c001c00ccffdcff,08001800120002000a00fcff0200f2ff2e0000000a000a0000000000f0ffd0ff,1e002c0010001000feff3a00faff1a0016000600e8ff0600e0ff120008000800
11,11,0,120022000c00fafff6fff6fffaffeaffecffdcff040004001600f8fffeffeeff,408e8cd8101f4c71ee5eb2e054a654a10a00c6ffe0ffd0ff1c000c001c000c00,f6ff08000200f0ff1a000a00e2ff120010002000fcff0a0000000e000000c0ff,0e000000f2ff10000c00deff2a00faff0600f4ff260026002200e0ff0800f8ff
12,12,0,f0ff1200fafffaff08000800faffeaff2e003e00e2ffe2ff060006000e000e00,a25edce026a666a100d96c59e471e4261a001a00e0ff3e00eaffcaff0c001c00,e6ff0800f0ff02000a0038000200f2ff20000000fcfffcff0000000000002000,000000002000f2ff0c001c001a000a00e4fff4ff2600f8fff0ff020018000800
13,13,0,02000200fafffaff180018001a00faffecfffcff04000400060006000e00eeff,3cd932598c71a026b2e0728ea4a1a41ff8ff0a00e0ff2e001c001c001c00fcff,f6ffd6ff1200f0ff0a000a00f2ff22002e001000dcff0a00e0ff0e00f0fff0ff,00000000000010000c00fefffafffaff1600060006000600f0fff0fff8fff8ff
14,14,0,0200e0ffeafffaffd6ffe6ffeaff3a000e00ecffe2ff0400f8ff1600feffdeff,0ce0408e06a2f01fec597c5e142634a60a000a00e0ffb0ffeaff1c001c002c00,e6ffc6ff1200120038003800e2ff2200000000002800ecff0e00e0fff0fff0ff,0e00f0ff100020001c00feff0a000a000600f4ff0600d8fff0ff0200f8ff0800
15,15,0,12001200dafffaffd6fff6fffaff1a00dcff2e0004000400e8ffe8ffdeffdeff,625a325eb02686a5628e72daa420c471d8ff1a002e004e001c00eaffecfffcff,e6ff08000200f0fffcff1a00f2ff4200200000000a00fcff0e00f0fff0fff0ff,d2ff0000f2ff40000c00deff0a00faff16000600f8ff0600020002000800f8ff
16,16,0,120022000c000c00f6fff6fffaff0a00dcffecffe2ff14002600f8ff1e00eeff,328e3cda10216c71ac5dc2df84a534a20a00d8ffe0fff0ff1c002c001c00ecff,f6ff08001200f0ff0a00fcff2200f2ff00001000fcff0a000000000010000000,e0ff000010000000fefffeff0a000a00f4ff060006002600f0fff0ff1800e8ff
17,17,0,0200f0ff1c00fafff6fff6ffdaff0a00fcff0e001400f2fff8fff8ffeefffeff,a25d4cdf66a556a262da2c5be47124251a002a003e002e00eaffdaffecff0c00,e6ff0800f0ff12000a002a001200f2ff3e001000fcffecff0e000000f0ff0000,00000000100010000c000c001a00fafff4fff4ff0600260002000200e8ffe8ff
18,18,0,f0ff0200faff0c00e6ff08001a00faffecffdcff2400f2ff0600f8ffdeffdeff,dcda625a5c71802402df628e94a2d420e8ffd8ff1e00d0ff1c00faff0c00ccff,f6ffe6ff12002200fcff1a00e2ffd2ff20001000fcff0a001e00e0ffe0ff1000,1e000e00f2ff20000c001c000a000a00f4ff16002600e8ffe0fff0fff8ffd8ff
19,19,0,f0ff1200fafffaff0800d6ffdaff0a001e00fcffe2ffe2fff8ff1600fefffeff,9cde508e96a28021fc5abc5c0425c4a40a001a00f0ffc0ffdaff0c00fcff1c00,f6fff6ff020002000a002a000200220010002000fcff0a00e0ffe0ff1000f0ff,1e00f0fff2ff00000c001c001a001a00f4ff06002600160002000200f8ff1800
20,20,0,020002001c000c00080008003a000a00fcff0e0014000400f8ffe8fffeffdeff,625be25cd02396a4728ee2da9421b471f8ff1a000e002e001c00eaffdcffecff,e6fff6fff0ff02001a000a00f2ff22002e00f2ff1a00fcff1e00f0ff0000f0ff,1e00000010004000feff0c000a001a000600d4ffe8ff2600f0fff0fff8fff8ff
21,21,0,020022002c00fafff6ffe6fffafffafffcfffcff04000400f8fff8ffdeffeeff,228e4cdc80227c71cc5cb2dc54a424a30a00f8ffe0ffd0ff0c000c00fcff0c00,e6ffe6ff1200e0ff0a000a00f2ff0200f2ff20001a000a00e0ff00000000e0ff,1e002c0010003000fefffeff1a001a0006002600f8fff8fff0fff0ffe8ffe8ff
22,22,0,120012000c000c0008000800eafffaff0e00fcfff2ffe2ffd8ff0600eefffeff,a25cbcdd16a456a312dc1c5bd47124230a001a002e00f0ffcaffdaffecff1c00,f6fff6ff12001200fcff480012000200e2fff2ffceffecff0e00e0fff0fff0ff,e0ff000010000000feff0c000a002a00f4ff1600d8fff8ff02001200f8ff0800
