Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,0600e4fffcff1e0020001000f2ff1200fafffafff6ff0800eeffeefffcfffcff,5465e650a011489a968fdcedfe336e70ceff0e00d0ff2e00feff0e00f0ffe0ff,9b369b36dc36dd36e336e336d336d33653375437d936dc36df36de36e536e536,280008001e00f0ff24000400f6fff6ff1400f2fffeffeeffe6ff08002600f6ff
1,1,0,f4ffe4fffcffecffbcffccfff2ff32000c000c00e6ffd6ffeeff2c000c00fcff,528f7cee4e34ea6fa04f04cb4e9a2eb00e00eeffe0ffc0ffeeff0e0010000000,9c369d36da36dd36e236e536d636d33657375337dc36dc36dd36de36e736e736,38000800000000000400f6ffe6ff0600040004000c00feff0800e6fff6ff2600
2,2,0,060016000e000e000000deff4200e2fffaff1c002800f6fffeffeefffcffecff,a64f9ecb389a96af5cef96653e70de10eeff2e003e00d0ffceffbeffe0ff1000,9a369c36df36de36e136e336d636d53655375437dd36dd36dd36dc36e536e836,eaff080000001e000400f6fff6ffd6ff0400f2fffeffeeff0800f6ff0600f6ff
3,3,0,e4ffe4ffccff1e000000deff4200e2ffeaffeaff080008000c00eeff1c00fcff,7cef1466ea6f801004cbc68f6eb03e35deffceffc0ff2e001e000e000000d0ff,9c369b36dd36dd36e336e236d336d23658375337da36db36dd36dd36e736e936,08000800f0ffe0fff6ffe6ff1600060004001400feffeeffe6fff6fff6fff6ff
4,4,0,06000600ecff0e0000000000f2ff32000c00faffd6ffd6fffeff0c003c001c00,7ecaa28f76b06e356666604ffe0fbe993e000e00d0ffc0ffdefffeff10002000,9a369d36dd36dd36e336e236d336d53652375337de36df36dd36dd36e336e736,eaffeaff0000f0ff2400f6fff6ff060014002400eefffeff18000800e6fff6ff
5,5,0,06001600fcff0e00eeffdeffe2ff4200faff1c00280018001c00deffdcff1c00,3466564f500f9899b68fbcf0be352e70eeff0e001e003e000e00ceffe0ff0000,9d369c36db36db36e436e436d236d23654375337db36dc36dd36df36e736e336,faff280000001e00f6ff0400f6ffd6ff14001400feffeeff08000800e6fff6ff
6,6,0,0600c4ff0e00dcffeeff10000200f2ffeafffaffe6ff18000c00eeff1c00fcff,d28f2cf0ce35ea6ff04e04cb8e99feb00e00feffc0ff0000eefffeff2000e0ff,9e369b36e036dc36e036e136d536d43654375737dc36da36dd36dc36e936e536,1800eafff0ff00000400040006000600d2ff14000c00deffe6ffe6fff6fff6ff
7,7,0,f4ff0600ecfffcff000000000200f2ff1c00faffe6ffd6ffeefffeff1c001c00,364efec97899a6b0acf016671e708e0f0e000e001e002e00deffdefff0ff1000,9c369d36de36e036e336e236d236d23654375837dc36dc36de36dd36e436e436,eaff3800000000001400e6fff6ffe6ff1400f2fffeffeefff6ff0800f6ffd6ff
8,8,0,160006000e00fcffeeff100002000200fafffafff6ff18001c00eeffecff1c00,bcf1d466ca6fb00e74c9b68f9eb14e36deffeeffb2ff2e001e001e000000f0ff,9c369c36da36de36e236e336d436d23655375037da36dc36dd36de36e836e736,1800daff0000d2ff04000400160006000400f2ff0c000c00080008001600e6ff
9,9,0,1600e4ffecfffcff2000eefff2fff2fffaff0c00e6ffe6fffefffeff1c000c00,4ec9d28fb6b1be360667a04d8e0ede980e000e002e00e0ffdefffeff20000000,9c369e36dd36dc36e036e536d436d53653375337db36db36d936dd36e736e836,fafffaff0e001e00f6ff1400d6ff060014002400feffd0fff6fff6fff6ff0600
