Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,240014000000eeffe2ff0400fcff0c001a00f8ff0000eeff080008001e000e00,1000f2ff08000800aafffafffcff1c003aea2aea329c429ce4158415e263f263,c4ff4000f0ff12001200f4ff08003800ccffdcfff6ff140006002400f8ff0800,020022000600f8fff8ff16002400040016000600deffeefff8ff1a00f6ffe6ff
1,1,0,1400240000001000f2ffd2fffcff0c00f8ff0a0000001000e6ff0800feff1e00,2000000008000800eaffeafffcfffcfffae9cae9029c029cf4157416c263e263,6000e4fff0fff0ffe4ffe4ff08001800bcffecfff6ffc8fff8ff060008001800,120032001600f8ff160006001400140026000600feffeefff8ff1a00f6ffe6ff
2,2,0,140004000000000004002400fcffecfff8ff1a00eeff0000f6ff0800eeff0e00,f2ff100008000800fafffaff0c000c00bae9eae9429c129c2416e415d263b263,c4ffb6fff0ff0200d4ffe4ff18001800aeffecfff6ffd8fff8ff06000800f8ff,f4ff2200f8ff06000600660034001400e4fff4ffdefffefff8ffe8ff2600e6ff
3,3,0,140024001000defff2fff2ff0c00ecff0a000a0010002000f6ff0800feff1e00,f2ff00000800080018001800fcff0c00eae88ae9729c429c84165617b263d263,b6ff60001200f0ff0200020008001800aeffbcffd8ff1400060024001800f8ff,22003200f8ff160016001600f4ff1400f4fff4fffeff0c000a00f8ff06000600
4,4,0,0400140010001000040014001c001c00e8ff1a00eeff0000e6ffe6ff1e00feff,e2ff100008000800fafffaff0c00ecff6ae9eae8729c329ce616d616a263a263,7000d4fff0ffe0fff4fff4fff8ff1800ccffccff040004001600daff08000800,22000200e8ffd8ff160016001400140006001600deffeefff8ff0a001600f6ff
5,5,0,140034001000000004001400fcff0c001a000a0010000000180008001e001e00,2e002000080008001800eaffecff0c00bae85ae9629c529ce616c617a263a263,c4ff600002000200e4ff02000800f8ffdcffecffd8fff6fff8ff160008001800,2200f4ff0600f8ff0600060004001400f4ffe4ffeeffeefff8fff8fff6ffe6ff
6,6,0,1400140010002000f2ff04000c00fcfff8ffe8ff1000eeff1800f6ffeeffeeff,2000000008000800eaffeaff3c000c004ae8fae7729c829cd617b41692639263,7e00e4ff120002001200f4ff0800e8ffbcffecffc8ff040006000600f8fff8ff,22002200f8fff8ff16001600040004000600f4fffeffeeffe8ffe8fff6fff6ff
7,7,0,0400040010001000f2ff14000c00ecffe8ff0a00eeffeeff0800e6fffeffeeff,f2ff000008000800faffeaff0c000c002ae86ae8829c629cd617b6187263a263,7e00c4fff0fff0ffe4ff220008000800bcffbcfff6ffe6ff06000600e8ff0800,0200f4ff0600060036000600240004000600e4ffeeff0c000a00f8ff16001600
8,8,0,140024001000100004001400fcfffcff0a000a000000eeff080008001e00eeff,10000000080008001800eaff0c001c00dae7aae7929c729ce617d61782637263,c4ff7000f0fff0ff12000200f8ffe8ffecfffcff1400f6ff16001600e8fff8ff,12002200e8ffd8ff0600160004000400f4ffe4fffeffdefff8ff0a00f6ffe6ff
9,9,0,e2fff2ffeeffeeff34000400fcffdcff1a001a000000eeff1800f6ffeeff0e00,1000100008000800fafffaff0c00dcfffae79ae7929c829cb618661952635263,7000e4ff02001200120002000800e8ffccffccff040004000600060008000800,02002200060026000600060014001400e4fff4ffeefffefff8fff8ff06000600
10,10,0,14000400eeff000004002400ecffecff1a000a000000eeff08002800fefffeff,f2fff2ff0800080008001800fcff0c00aae76ae7829cb29cc618661822632263,700050001200e0fff4fff4ff08004800dcffdcfff6ffd8fff8fff8ffe8ff1800,120032001600f8ff26001600f4ff0400f4ffe4ff0c00feff1a00d8ff16000600
11,11,0,3400f2ffeeff1000f2ff1400fcff1c00f8ff1a00eeff0000e6fff6ffdeff0e00,f2ff2000080008000800eaff0c000c005ae6eae6a29cc29ce618261912632263,40006000f0ff1200f4ff0200f8fff8ffaeff8eff1400040006000600f8ff0800,02000200d8ff0600160026002400f4ff06000600eeffeeffe8fff8fff6ff0600
12,12,0,3400040020000000040004000c00fcff1a000a0010000000f6ff0800fefffeff,f2ff100008000800dafffaff0c000c003ae6bae6d29cd29c16199618f2622263,d4ff6000f0ff0200d4fff4fff8ff0800ccffccffe6ff040016001600e8ff1800,120002001600f8ff0600f8ff24000400f4fff4fffeffdefff8ffe8ff16000600
13,13,0,1400140010001000d2fff2ffecff0c000a001a0000001000e6ff08000e001e00,00001000080008000800daffdcff1c002ae65ae6e29c129db619961af262e262,60007000f0fff0ff1200f4ffe8fff8ffccffbcff0400040016000600f8ff1800,020002000600060026000600140014000600f4ffeefffeff0a000a00f6fff6ff
