Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,0c001c001000deffe0ff120030000000eeff000020000000060006000e00eeff,0a00ecff7802cafedcffdcff18000800f8fff8fffeff3c00f6fff6ff10000000,f8ff0a00f6ff080002001200f2ffe2ff04003200000010001000200004003400,ecfffcfff4ffe4ffeafffafffefffefff8ff0a0020001000f8ff0a0002000200
1,1,0,fafffaff00000000f0ff02000000e0ffeeff00000000200006001600deff0e00,0a000a00e8febafe3800dcff08001800f8ff1a003c00feffe6ffe6ff0000f0ff,1a000a00f6ff080012000200120002001400e6ff1000f2ff00001000f4fff4ff,0a00ecfff4ffd6fffafffafffefffeff2a002a0020001000e8ff0a00f2fff2ff
2,2,0,eaff1c00100020002200f0ffe0ff00001000100000001000060006000e00eeff,1a00fcffd8febafe2a00ecff0800f8ff1a000a00eeffeeff0800f6ffeeff0e00,0a00f8fff6fff6ff12001200d2fff2ff040004000000000000000000f4ffe4ff,fcff2a00f4ff0200caffeaffeeff0e000a00f8fff2fff2ff0a001a00d2ffe2ff
3,3,0,faff0c0000001000f0ff2200f0ff3000eeff0000ceff0000e8ff06000e001e00,dcff1a00d8fef8fe3800ecff180008000a00f8ffdeffeeff0800f6ff0e002e00,e8ffe8fff6ff080012000200f2fff2ffe6ff04001000000020001000f4ff0400,0a00ecffe4ff0200daffeaffdeffdeff1a00e8ff2000f2ff0a000a001200f2ff
4,4,0,faff1c00deff100012001200f0ff2000eeffeeff1000000016001600fefffeff,fcfffcff7802f8feecffdcfff8fff8ff0a000a00eeff0c0008001800eeff0e00,0a00f8ff080008000200020012002200e6ffe6ff200020000000000004001400,fcffdcffe4ff02000800eaffeefffefff8fff8ff20001000f8ffe8fff2ff0200
5,5,0,fafffaff000000001200220030001000eeff00000000eeff24001600eeff0e00,dcffecffcafee8feecffecfff8ff18001a000a00eeff0c00f6ff0800fefffeff,f8fff8ff0800f6ffe0ff42000200f2ff1400f6ff1000200020002000e4ff1400,fcfffcffe4ff12001800fafffeffdeff1a00e8ff000000000a001a0002000200
6,6,0,eaff1c001000100012000200f0ff3000deff10000000100016001600defffeff,ecffecffcafecafe5800cefff8fff8ff0a000a00feff0c000800f6fffeff0e00,1a00f8fff6fff6ff0200020002000200d8ffe6ff00001000deff00000400f4ff,0a00ecffe4ff0200faffeaff0e00feff0a00f8ff10001000f8ff0a001200f2ff
7,7,0,faff1c0000001000f0ff2200f0ff30000000deff000000001600f8fffeff0e00,1a00fcffbafe06ffdcff380028001800f8ff0a000c00fefff6ff0800fefffeff,0a00f8ff18001800e0fff0ff12001200c8ffc8ff1000e2ff1000deff1400f4ff,1a00dcfff4ff0200fafffaff0e000e001a00f8ff100000000a002a00f2ff0200
8,8,0,eaff0c0000001000e0fff0ffe0ff30000000eeff2000000016002400eeff0e00,0a00fcfff8fed8fe2a00fcff08002800f8fff8fffefffeff0800e6ffdefffeff,1a000a0018000800020002002200d2ffe6ff0400000010000000100014001400,0a00fcfff4ff02000800faff0e00feff0a00f8fff2fff2ffe8ff0a001200f2ff
9,9,0,0c000c000000000002000200f0ff10001000deff000010001600f8fffefffeff,dcff0a00d8fe16ff2a002a00f8ff08000a000a003c00feff08000800feffeeff,1a000a000800f6fff0ff12000200020014001400200030001000000004001400,fcff0a001200e4ff1800fafffefffeff0a000a00f2ff2000f8ff0a00d2ff1200
10,10,0,0c00faff0000eeff0200120010001000ceff000000001000060016001e000e00,fcfffcffbafe7802fcffdcffe8ff08000a00e8ffeeff2c0008000800eeffeeff,f8ffe8ffe6fff6ff1200e0ff0200f2ff1400040020002000000010000400e4ff,fcff0a00d6fff4fffafffaffeefffeff2a00d8ff100000000a00f8fff2ff0200
11,11,0,1c000c000000eefff0ffe0ff4000f0ff1000000010000000e8ff1600deff0e00,1a00dcfff8fef8fe2a002a00280008001a000a003c00eeff0800f6ffeeff0e00,e8fff8ffd4fff6fff0ff12000200f2ff140014002000100020000000f4fff4ff,ecffdcff0200020008000800deff0e000a00f8ff10001000e8ffe8ff2200e2ff
12,12,0,1c001c001000eeff22001200f0ffe0ffdeff0000eeff000006000600feffeeff,0a00fcff7802d8fe1a002a00e8fff8ff0a001a00feffdeff1800e6fffefffeff,e8ffd8ffe6fff6ff120022002200e2fff6ff1400100020001000000014000400,0a00fcff0200f4ff0800faffeeffeeffe8fff8ff1000f2ff1a00d8fff2ff1200
13,13,0,1c00faff1000eeff22002200f0ff30001000eeff100000001600daff1e00feff,fcffecffd8feacfeecffecff1800d8fff8ff1a00feffeeffe6fff6ff0e00deff,f8ffe8fff6fff6ff0200f0ff02000200e6ff04000000300000001000f4ff1400,1a000a000200f4fffafffaffeeffdefff8ff2a00f2ff00000a00f8fff2ffe2ff
14,14,0,faff0c00100010002200e0ff2000e0ff0000100000000000e8ff0600feffeeff,fcff1a00e8fe16ff2a002a00f8ff08000a000a000c000c00f6ff0800eefffeff,f8fff8ff0800180012001200f2ffe2fff6fff6ff100010000000eeff1400f4ff,ecfffcff020012000800dafffeff0e00f8ff0a00f2fff2fff8ff1a0012001200
15,15,0,faffeaff0000eeff220012003000f0ff0000eeff2000eeff1600e8ff0e00feff,0a001a00acfe7802fcffecff1800f8ff0a00f8fffeffeeff08001800eeff0e00,0a000a00f6ff0800e0ff02001200f2ffc8ff04001000e2ff1000eefff4ff0400,fcff0a00d6fff4fffafffaffeefffeff1a003c00f2fff2ffe8ff1a00f2fff2ff
16,16,0,1c001c000000200012001200f0ffe0ff10000000eeff1000160006000e00feff,fcfffcfff8fed8fefcfffcff080018000a000a00eefffeff18000800deffeeff,1a00e8ff0800f6ff0200d0ff0200f2ffe6ff0400e2ff10001000100004000400,ecfffcff2200020018000800eeffeeff0a001a00f2ff1000f8fff8ff22000200
17,17,0,0c00faff00001000e0ff1200e0fff0ff00000000eeff0000e8fff8ff0e00feff,fcff0a00e8fecafeecfffcff180008000a00f8ff2c00eeffe6ff1800feffeeff,0a002c00f6ffe6ff12000200e2fff2ff1400040000000000100000001400f4ff,0a001a0022000200eaffdaffeefffeff0a000a00200030000a000a0012000200
18,18,0,1c00faffeeff100012001200f0ff3000eeff200000000000060024000e00eeff,fcff0a00d8fee8feecfffcff1800f8ff0a000a00feffeeff0800f6ffeeff0e00,0a001a00e6ff08004200e0fff2fff2ff32000400e2ff0000100000002400e4ff,ecffecff220022000800faff2e00defff8ff0a0020001000e8fff8fff2fff2ff
19,19,0,1c000c00eeff1000120012003000f0ff1000eeff0000cefff8ff1600fefffeff,dcffecffcafef8fedcffdcff08000800f8ff0a00fefffeff080018002e000e00,f8fff8fff6ff0800220032001200020014000400e2ff10000000eefff4ff0400,0a00fcfff4ff0200080008001e00feffd8ffe8ff2000f2fff8fff8ff12002200
20,20,0,faff0c00eeff000002000200e0ffe0ff10001000deffeeff1600e8fffefffeff,ecff3a00d8fe78023800fcffe8ff0800f8ff0a00feff0c000800f6ffeeffeeff,2c003c00e6fff6ff1200120012000200e6ffd8ff20002000000000001400f4ff,1a00fcffe4fff4fffaff0800feffdeff0a000a0020002000f8ff0a0012000200
21,21,0,fafffaff1000deff02000200f0fff0ffdeff100010000000e8ff1600fefffeff,dcff0a00d8fef8feecff380008000800e8fff8ffeeff4c000800e6ff0e000e00,0a00f8fff6fff6ff42001200f2ff1200d8ff0400e2ff100000000000f4fff4ff,fcfffcff1200f4fffafffafffefffeffd8ff0a000000e2ff0a000a000200d2ff
