Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,e4fff4fff2fff2fff0ff12000c00fcffe6ff08001c000c001000000002000200,faff0c0008fc2600dcff2a001400e4ffba20c648f0c02855aea56a0402ede2ae,3200020022000200e6ff240000000000feff1c00d6fff6ffecff0a000c00ecff,d0ff0000f6ff04001a000a00120012001400f4ff04000400e0ffe0fffcfffcff
1,1,0,e4ff160014000400f0ffe0fffcffecfff6fff6ff1c000c00e2ff0000f2ff0200,0c00daff26002600fcffdcffe4ff3400e61892a2985b40d2dc3aa83342d9125d,02001200f0ffe0ff0400f6ff20000000feff0c00040004001a00ccfffcffecff,f0ffe0fff6fff6ff2a000a00020012001400f4fff6ffe6fff0fff0ff2c001c00
2,2,0,f4ff1600f2ff0400f0ff02001c00ecff0800f6fffaff1c00f2ff2e0002000200,eaff1c0026002600ecffbeff0400d4ffc8b6384e52abeef4a4fba0a87251e2ba,f4ff0200f0ff02001400e6ff100000005c001c001400f6ff0a00fcffecff0c00,0000f0ffe6ffe6fff8fff8ff02002200f4ffe4fff6ff0400f0fff0ff0c00fcff
3,3,0,060006001400e2fff0ffe0fffcff1c00f6fff6fffaff0c0000002000f2fff2ff,0c00eaff26002600ceff0a00d4ff04004c5dc4deea2d3a3fe8ccf05912a38212,02001200440002002400140000002000ceffeeff2400f6ff0a00fcfffcfffcff,0000f0ff22001400f8ff0a0012001200e4fff4fff6ffe6ffe0ff0200ecfffcff
4,4,0,e4fff4fff2fff2ffe0ffd0ffecfffcff08000800eaff1c002000100012000200,dafffaff26002600fcffdcff0400040016b2f6e69c0a72a48e5772c52245c226,c4ff0200220002001400f6fff0ff00000c001c00040004000a001a00dcff0c00,0000f0ff0400f6fff8fff8ff12001200f4ff1400e6fff6ff120002001c00fcff
5,5,0,16000600f2fff2ff02000200ecfffcfff6fff6fffaffdafff2ff200012000200,faffeaff26002600cefffcff140004002a21f64810c1e854cea5aa0342eda2ae,32001200020012001400140000001000beffaefff6ff04000a00fcff1c000c00,00000000f6ff04000a00f8ff12001200f4ffd4ffe6ffd8ff22001200ecffecff
6,6,0,f4ffe4ff0400040002000200fcffecff1800e6fffafffaff20000000f2ff0200,daffbaff26002600fcff0a0014002400d61892a2885b70d2ec3af63272d9025d,020022000200f0ff3400140010002000beff0c00f6ff1400fcff0a001c00fcff,1e002e00f6ff0400f8ff1a003200220004000400e6ff0400020002000c00fcff
7,7,0,f4fff4ff1400f2ff0200f0ff1c00dcff1800e6fffaff1c000000000012001200,baffdaff26002600ceffdcff1400e4ffc8b6e84d42abdef4a4fb20a8625122bb,22000200f0ff12000400140020003000befffeffe6fff6ffdcffecffecff0c00,2e000e0004000400f8ff0a0022002200e4fff4ffe6ffe6ff0200f0ff0c00fcff
8,8,0,e4ff0600f2fff2fff0fff0ff0c00ecff1800f6ff0c00faff3e00000002002200,eaffdaff26002600fcff1a00e4ff14002c5dc4de4a2d8a3fa6cc405a12a32212,0200e4ff1200ceffe6fff6ffe0ff3000aeff0c00f6fff6ffecff2a00fcfffcff,f0ff0000f6ff0400e8ff0a00f2ff020004000400e6ffd8fff0fff0fffcff0c00
9,9,0,e4ff1600040004003200f0ff1c00ecff180008000c000c002000200012000200,faff0c0026002600fcfffcff2400e4ff06b2a6e6ac0a62a48e5722c6d2442227,02001200e0ff1200f6ff140020002000defffeff0400f6ffdcff0a00fcff0c00,1e00f0fff6ffe6ff0a00f8ff32001200f4ff1400d8ffd8ff0200f0fffcfffcff
10,10,0,06001600f2ffe2ff020002003c003c00f6ffe6ff0c00faff00001000f2ff1200,faffdaff26002600beff1a00f4ffe4ff0a21d648d0c008559ea5ea0432edb2ae,f4ff12000200120004000400f0ffd0ff2c00defff6ffe6ffdcffecff1c00fcff,0000f0ff1400d8ff0a00f8ff12002200f4fff4fff6ffd8ff1200f0ff1c000c00
11,11,0,f4ff0600e2ff14000200f0ff2c00dcff08000800eaffdaff20002000f2ff1200,caffcaff260026002a000a00e4ff3400c61882a2885b60d2bc3a983322d9f25c,12000200340002003400140000004000feffdefff6fff6fffcff0a000c000c00,1e002e00f6ff04001a00f8ff32000200f4fff4fff6ff1400f0ff2200ecff0c00
12,12,0,06002800f2ffd0fff0ff0200ecff2c00f6fff6ff0c00faff00001000f2ff1200,faffdaff26002600fcfffcff2400f4fff8b6184e22ab1ef5d4fb90a8825122bb,0200320002000200d6ffe6ff0000f0ffdeff0c00f6fff6ff0a00dcff1c00fcff,00000000e6ffd8ff0a00f8ff22001200f4ff04000400f6fff0fff0ffecfffcff
13,13,0,0600280004000400e0ff0200fcff1c00f6fff6ff1c000c001000100022001200,faffeaff260026001a001a00e4fff4ffac5d34dfda2d8a3ff8cc105a22a30212,2200f4ff1200e0ff34001400e0ff2000eefffefff6fff6ffecffecfffcff1c00,0e000000f6ffd8ff0a001a0032003200f4fff4ff0400f6fff0ff0200fcffecff
14,14,0,060006000400e2fff0ffe0fffcffecff080008000c000c0020000000e2ff0200,cafffaff260026000a00ceff4400f4ff16b2f6e6bc0a52a48e5772c5f2449226,f4ff2200120022002400d6fff0fff0ff2c001c0004001400fcff0a000c00fcff,e0fff0ff0400f6ffe8ff0a003200320004000400e6ff0400f0ff0200fcff1c00
15,15,0,d2fff4ff140004001200e0ffecffecff1800f6ffeaffeaff20002e0022001200,1c001c0026002600dcff0a00e4ff0400ca20e648e0c0e8548ea55a0322edc2ae,1200f4fff0ff2200f6fff6ff000010001c005c00f6ffe6fffcff1a000c000c00,2e000000f6ffe6ffd8fff8ff12001200f4ff0400f6ffe6fff0fff0ff0c000c00
