Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,f6ff2a00dcfffcfff0ff2200e8ff080012000200fafffaffe0ff0000f0ff1000,020002000c000c00d8ff1600f0ff0000ec21b84790c21c56b6a5a0058cebbcaf,180018000c001c00e8ffe8ffd8ff1800c4ff120000000e00f6fff6fff2fff2ff,e2fff2ffe6fff6ffeeffeeff0800f8ff0400040012001200eeffeefff6fff6ff
1,1,0,0800d4ff0e00ecff12000200f8fff8ffe0ff1200faffeaff1000f0fff0ff0000,f0ffe0ff0c000c002600f8fff0ff30007817b2a22c5b60d0463b1233bcda1c5d,18002600faff0c00d8ffd8ffe8fff8ffe4ffc4fff0ffe0ff0400e6ff1200f2ff,f2ff20000400040000000000f8fff8ff14002400020012000000eeff0600f6ff
2,2,0,08000800ecff0e00120002000800e8ff1200f0ffdaff1c00f0ff1000f0ff0000,beff12000c000c00f8ffd8ff1000d0fffab7aa4e8eaa64f7caf958a95c500cba,26001800eaff0c00d8fff8fff8fff8ff1200f4ff0000f0ff0400f6ff0200f2ff,f2ff00001400f6ff00000000f8ff0800240014000200f4ff00002000f6ff1600
3,3,0,08002a000e00ecff0200d0ffe8ff1800220002000c00fafff0ff00001000f0ff,1200e0ff0c000c00f8ff260010000000205da6dd8a2fea3d48cd245a2ca31c14,2600faff1c00faff1600f8fff8fff8ff1200e4ff000000000400e6fff2ff1200,1000d4ff2400140000002000f8ffe8ff0400e6ff32001200100000000600f6ff
4,4,0,08000800fcfffcffe0fff0fff8ffd8ff120002000c000c00f0ff0000f0fff0ff,e0ff12000c000c00160016003000f0ff58b16ae81609eea4225774c4ec451c25,08001800eafffaff060016000800180022002200f0ff0000e6ff14001200e2ff,100000003400f6ff1000eefff8fff8ff14001400e4ff020000001000f6fff6ff
5,5,0,f6ff0800fcff0e0002000200f8fff8ff0200f0ff0c001c00f0ff10000000e0ff,120002000c000c00c8ff0600f0ffd0ff6c22e847b0c2dc55b6a58e046ceb9caf,260018000c001c00e8ffe8ffd8ff1800420012000e000e00d8ffe6ff0200e2ff,d4fff2ff0400f6ffeeff1000d8ffe8ff1400f6ff0200f4ff2000defff6ffe6ff
6,6,0,f6fff6fffcffdcff12000200f8fff8ffe0ff0200fafffaff0000000020001000,e0ffe0ff0c0012fc36001600200030006817a2a2fc5a50d0763bf231fcda1c5d,eaff18001c00faffe8fff8ff28001800e4ff22000e000e002200040012000200,e2ff2e00e6fff6ff0000100008000800240004000200f4ff20000000e6ffe6ff
7,7,0,18001800fcff1e00120022000800d8fff0ff0200fafffaffe0ffe0ff00001000,f0ff02000c000c00e8ffd8ff1000f0ffcab7ba4e6eaa94f76afae8a80c50dcb9,18001800faff1c00e8ffd8fff8ff180074ff020000001e000400f6ff02000200,e2ffe2ff040004001000eeff0800f8fff6ff04000200120000000000e6ffe6ff
8,8,0,18000800fcfffcff02002200f8ff08000200f0fffafffaff0000e0ff2000e0ff,f0ffceff0c000c00e8ffe8fff0ff1000705dd6dd6a2f7a3d78cd645a1ca3fc13,180018003e006000c8ffe8ffd8ff3800e4fff4ff0e000000220004001200f2ff,e2ffe2ff04000400eeffbeffd8ff08001400f6ff1200320010001000f6ff0600
9,9,0,0800f6ff0e00fcff0200020008000800f0ff0200faffeaff000000000000f0ff,f0ffceff0c000c000600c8ff1000100018b1dae8d608dea4f25654c5fc455c25,26001800faff0c000600d8ff0800e8fff4ff020000000e00e6ffe6ff2200e2ff,f2fff2ff1400f6ff10001000e8fff8ff140014001200020020000000f6ffe6ff
