Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,160006000a002a00dcffecffe4ff2400f4fff4ff1c002e00f2ffe2ff0600f6ff,fac284e31091462dfe86886672a6b27a0800e6ff3200f4fffcfffcff02001200,9d369e36e036de36e036e036d536d3364f375137dc36dc36df36df36e536e436,0e000e00eeff0c001600f8fff6ff1600eeff10003e00eefff8ff0a002200f2ff
1,1,0,360026000a000a00fcff1e00240034000600f4ff1c00fafff2ff100006001600,44917475dcc372748a0c684a024e12080800f6ff2200d4fffcff0c00f2fff2ff,9c369e36dd36e036e236e136d636d33657375037dd36dd36de36df36e536e536,0e000e000c001c00f8ff060016001600eeff0000deffeeffe8ff0a00f2ff0200
2,2,0,160006000a00f8ffecff1e000400f4fff4fff4fffaff1c000000f2ff26000600,442ed42b24675ae2987a3ea3c26372860800f6ffd4ff2200ecfffcff1200d2ff,9c369c36e036de36e336e236d236d43653375137db36dd36dd36df36e436e536,00001e000c000c00340006002600060020001000defffeffd8fff8fff2ff0200
3,3,0,16001600f8ff2a00fcff0e004400f4fff4ffe4ff1c001c0000001000d6ff0600,64742490844950878a036ea962bfe2e7f6ff0800d4ff3200ecff0c0012000200,9b369b36df36dd36df36de36d536d23655375337dd36db36dd36de36e636e236,000000001c00feff5400e8ff16001600eeff00000e00feff1a00e8ff02002200
4,4,0,360026000a000a00fcff1e00f4ff3400f4ffe4ff1c000c00f2fff2ff16000600,d4e0aac58ea2b80d8e85285152939276f6ff0800f4fff4ff0c000c00f2ffe2ff,9c369c36e036de36de36e336d336d63652374f37db36dc36dd36df36e236e636,000000000c001c003400f8ff160006001000eeff0e00eeffe8ff0a00f2ff1200
5,5,0,060006000a000a00ecff2e00440034000600f4fffaff2e00e2ffe2ff16000600,4687f867eea9227a9cec58616232122818000800c4ff22001c00fcff02000200,9d369d36dd36df36e336e136d236d63652375537dc36dc36dd36de36e436e536,f0fff0ff0c00feff1600f8ff06000600eeff00001e000e00e8ffe8fff2fff2ff
6,6,0,16002600d8fff8ffdcff0e00f4ffd4ff0600e4fffaff1c000000f2ff06000600,6a0f1e48f451d80398778ebb2273828ef6ff1800f4ffd4ff1c00fcff02000200,9b369e36df36df36e236e136d436d23654375437d936dc36de36e036e336e436,1e00f0ffeeff2c004400f8fff6ff36000000eefffefffeffe8fff8ff02000200
7,7,0,360026000a00e8fffcff0e0034001400e4ff0600fafffaffd2ff100006001600,447a50a16460e0856a23be9502dd82c90800f6ffe4ff3200fcfffcff12001200,9c369e36e036df36e036e236d236d33650375437de36dc36df36df36e736e536,0e000e000c002c00f8ff440036000600ceff0000feff0e00d8ff0a0002000200
8,8,0,26001600e8ff1a00fcffdcffe4ff2400e4fff4fffafffaffe2fff2fff6fff6ff,ec003eabbcba1aedce8c9a365288226a08000800120032000c00fcfff2ff0200,9c369c36de36e036df36df36d436d63654374e37db36db36de36de36e536e436,f0ff0e002c00eeff440006003600160010001000fefffeffe8ff0a0022000200
9,9,0,06002600e8ffd8ff2e00fcff34003400f4ff0600fafffaffd2fff2ff0600f6ff,76855c532e96a2773ccd387192139244f6ffe6ff120022000c00dcff12002200,9d369836de36df36e036df36d236d53654375137db36dd36dd36de36e436e436,0e000e001c001c004400f8ff16001600eeff0000feff2e00f8ff0a000200f2ff
10,10,0,260026001a001a00ecfffcfff4ff340006000600fafffaff000010000600f6ff,e0ee985f86378822886cecd8227ad29e180008003200e4ff1c000c0012001200,9e369b36e036dd36e236e036d736d43653375437db36db36df36df36e636e436,00000e00deff0c000600e8ff3600260010001000fefffeff0a000a0002000200
11,11,0,060016000a000a002e00fcffe4ff4400f4ff0600eafffaffe2ff200006001600,24784cb9b270808c08415e89b2fc92ae0800080022002200fcffecfff2ff0200,9c369b36df36df36de36e236d336d43654375437dd36db36df36dd36e536e536,e0ff0e00feff0c00f8ff160036000600eeff00001e000e00f8ff1a00e2fff2ff
12,12,0,160026001a000a00fcfffcff34000400d2ff0600fafffaffe2fff2ff16000600,f620f496ccd72cce2e9caa1762855256080008003200e4ff1c001c001200f2ff,9c369d36e036df36e036df36d636d43653375337db36dc36dd36df36e536e536,1e001e001c001c000600f8ff16001600100020001e00feff0a00f8ff0200f2ff
