Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,f4ff2200f4fff4ff340016000600e6ff22000200eeff1c00140014000c00ecff,1200f0ff00000000f0ff1200faff0a00020002000000eeffe8ffe8ff00001000,100000000a00f8ffc8ffe8ff0c001c001e00fcff0000eeff0e000e0018002800,04000400fcfffcffd4ff06000a000a00f8e092b27cc49e18c641063e1c141cc2
1,1,0,12000200d4fff4fff8ff2400f6ffe6ff2200acfffefffeff14000400fcfffcff,f0fff0ff1000000002000200faff0a0012002200eeff1000e8ff1a0000001000,000020000a000a00e8ffe8ff1c00dcffdcffdcff100000001e00dcff2800e8ff,f2ff1400ecffecff1600f4ffdaff0a0036478836be08bcbb18b40ef2ec233c4d
2,2,0,1200f4fff4fff4ff340024000600f6ff0200f0fffeff1c00040046000c00bcff,e0ff120000000000f0ff02001a000a00f0ff02001000defff8ff2c00f0ff1000,0000ceffe8ffe8ffe8ffe8fffcff1c00fcffecff00002000ecfffcffe8ff0800,f2fff2ffecffecff06000600daff0a0020b7d4fd3e2efe4ae42ccad5bcb69ccd
3,3,0,1200e4fff4fff4fff8fff8fff6ffe6ff120002001c00fefff2ff0400ccffecff,f0ff020010000000e0fff0ff0a001a0002001200000000000a00f8ff0000f0ff,eeffeeffe8ff1a00e8fff8ff0c000c00baffecff10001000fcfffcff18001800,140004000e000e00f4fff4ffeafffafffc22ccccdcb35cd7a00a164bfc464cfc
4,4,0,0200e4ff16001600e8ff3400f6ffe6ff1200beffdefffefff2fff2ffecff1c00,f0ff0200bcff0000f0ff12000a000a001200d0ff1000eefff8ff1a0010000000,000010000a000a00e8ffd8fffcff1c00dcffecffeeff2000fcfffcff08002800,f2ff0400fcfffcff060006000a00faffce15344dde403cf008c4d8bc4ce29c37
5,5,0,22000200f4ff060016000600060026002200ceff0c001c0026001400fcfffcff,f0ff1200000000000200e0ffeaff0a0012001200100010000a000a0010000000,0000eeff0a001a00e8fff8ff1c00ecffdcffccff00003000ecff0e0018001800,0400e2ff1e00fcfff4ff16000a000a0060bd0ec3bcedae3e464d02177ce46cb2
6,6,0,f4fff4fff4ff06002400160006000600ceffceff1c00feff3600f2fffcffecff,1200f0ffeeff1000f0fff0fffaff0a002200e0ff100010000a00f8ff00000000,eeff1000d8ffb8fff8ff1a00dcfffcfffcfffcff20002000fcff1e00f8ff1800,140014000e00fcffe4ff1600eaffeaff944bc00bccd95cb30acb52229c455c39
7,7,0,f4ff1200f4ff060024001600060016001200beff0c002a0014001400fcffbcff,0200f0ff000000000200f0fffaff0a00f0ff0200000000001a001a0010000000,deffdeff0a00c8ff1a00d8fffcff0c00fcfffcffeeffdeffecffecff0800f8ff,040004000e00fcff160016000a000a00dcd4ea2b1e4a7e304effa8b70cb6fcf9
8,8,0,f4ff0200f4ff060016001600f6fff6ff12000200feff0c00e2ff2600ecfffcff,220022002000000002000200eaffeaffd0ffe0ff000010000a000a0000000000,0000ceff1a00d8ffc8ffd8ff1c00ecffdcffecffeeffeeffdcff0e0008003800,14000400ecfffcfff4ffc4fffaff4a0076f332b4dcb9be05443586475c269ccf
9,9,0,f4fff4ffd4fff4ff0600060016000600beff02000c001c002600f2ff1c00ecff,1200e0ff1000acff0200f0fffaff0a0002000200deffeeff0a001a00e0ff1000,eeffceffe8ff1a00f8ffe8fffcffecffdcffccff00001000ecfffcff18000800,f2fff2ff0e00fcffe4fff4fffafffaff883da642de1b9cc6a8b2acdf3c12cc4c
10,10,0,e4ff1200f4ff060016000600f6ff06002200ceffeeffeeff2600e2ffccffdcff,1200f0ff100000001200f0ff0a000a0012001200eeff00000a000a0000000000,deff1000e8fff8ff1a00d8ff0c001c00ecffecff1000eeffdcff0e002800e8ff,0400f2ff0e000e00f4ff1600faffdaff02b3e6ea1e1d1e4e143bfce64cbf8cc0
11,11,0,f4fff4ff1600d4ff3400f8ff06001600beff12001c000c00f2fff2ffecffecff,1200f0ff10001000e0fff0ff0a00eaff02002200300000003c00f8ff2000f0ff,eeff10000a00d8ffc8ff2a00bcff0c000e001e00000010000e00fcfff8ff0800,14000400fcffecfff4ff0600faff0a00ba32badc6cb90cc8eef646445c4cbc0f
