Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,dc36e036d936d936cf36ce360d371037cd36a6361d371b37d536d6364f354e35,0c00eaff08001800d6ff4a001e00feffdcff0c000c000c00000000000c000c00,0000eeff0a000a00eafffaff02000200c8ff0c0004002400fafffaff14001400,0200f0ffe4fff4ff14001400160006009009961f1624fc02f02a12ef302890df
1,1,0,df36df36d836d836ce36cf360f371037a536cb361c371d37d436d5364d354f35,ecff0c00e8ff18001a00e8ff1e001e00ecffdcffeaff1c001000eeffdcffecff,10000000e8fff8ff0c00fafff2ff0200c8ffc8ffa6ff14001800fafff4ff0400,0200f0fff4ff16001400040006001600661f08d77c02aad9e2ee68e670df30f8
2,2,0,e036e036d936d936cd36cf360f370f37a536cd361f371937d736d6364e355035,0c000c00e8ffe8fff8ff0a000e000e00dcffecff0c00faffeeffeefffcfffcff,000010001a00f8ff0c00faff1200e2ffc8ffc8ff140054000800faff04001400,f0ff02000600f4ff140014000600060018d7a00938d9242348e6d02a10f85028
3,3,0,df36de36db36db36a436d0360f370f37cc36cd361d371d37d636d53650355235,fcfffcfff8ff1800f8ffe8ff0e001e00ecffecff0c00faff00001000ccffdcff,ceff0000d8ff0a000c00faff0200f2fffafffaff24002400faff180004000400,f0ff02001600060014001400f6ffe6ffe009061ff623ec01e02aa2ee202870df
4,4,0,df36df36d736d936cf36ce360e370f37a536a63619371b37d636d7364c354f35,0c001c00f8ff1800f8ffe8fffefffeffecfffcffeaff0c00eeff0000ecfffcff,0000cefff8fff8ff0c00eaff12000200eafffaff14003400daffeaff14002400,0200020016002600040024000600f6ff161fc8d69c0248d9d2ee68e680df70f8
5,5,0,de36de36d836d736ce36ce3610371037cc36a6361c371c37d936d6364f354f35,0c000c000800e8ffe8fff8ff2e002effdcffecfffaff0c0000001000ecffecff,eeff00000a00f8ffeaff0c0022000200faffeaff0400f6fffaff2800f4ff1400,020002002600f4fff6fff6ff0600f6ff98d5000a6ada06245ae7002b00fa3028
6,6,0,df36df36d936d936cd36ce360f370f37a536cc361d371d37d436d63652354e35,ecfffcff0800f8fff8ffe8ff2e00feffecffdcffeaffeaff000010000c000c00,200010000a00f8fffafffaff02001200eaff0c00f6ff24000800180014000400,0200e0fff4fff4ff04000400f6ff26000e10fa1936243a01102b00eed027f0de
7,7,0,e136e036d936d936a436ce360d370d37a636a6361c371d37d736d7364f354d35,fcfffcff08000800f8ffd6ff0e001e00fcffecff0c00eaffdeffeeffdcfffcff,1000eefff8ff0a001c00eaffe2ffe2ffeafffaff24000400faffeaff04001400,1200f0ff0600f4ff1400040006001600ca1998d5fa009adaf0ed7ae750de30fa
8,8,0,e036df36d936d836ce36d1360f370f37cd36a7361c371937d736d63650354e35,ecfffcff0800f8ffe8fff8fffeff0e00fcff0c00faffeaff00001000fcfffcff,ceff00001a001a00eafffaff12000200fafffaff24002400dafffaff04001400,f0ffe0ff16000600140004004600060088d52e104ada0825fae6102be0f9c027
9,9,0,e036df36d836da36cd36ce360f370e37cd36a5361b371c37d836d6364e354e35,0c000c00080008001a00e8fffeff0e000c000c000c000c00200000000c000c00,ceffdeff0a000a00eaff0c00c2ffd2ffd8ffeaff1400b6fffaff08001400e4ff,0200f0fff4ff06000400f6ffe6ff36003e10fa191624da00e02af0edf02770de
