Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,e436e336db36db36d236d0360d370d37cc36cd3615371637db36dc365a355d35,9e36a13609370b371237113720372137183717371f371d37e336e5360c371037,f0fff0fff4ffc4ffe6ffe6ffb2ff1200fc14d622201cde1e56211619c6232610,dc36db361b371a37e536e436e936ea368f368e362237203710371237e436e336
1,1,0,e336e636d836db36d036d2360e370d37cc36cc3614371537da36da3659355835,9f369d36083709371237113720372037173716371e371e37e536e5360f370e37,e0ffe0ff5000d4ffd6fff6ffa2ff120094dce0ec60dcbaf514df560066e4a60a,dc36db361a371b37e436e536e836e8368f368f362237233713371137e536e436
2,2,0,e336e436db36da36cf36d2360e370e37cc36cd3616371537da36d9365b355c35,9d369e3608370937143714371f371f37163715371f371e37e536e6360e370e37,0200f0ffe4ffd4ffd6fff6ff12001200721d58f8e016ecee760d34e6c60346e0,db36dd361c371c37e536e536e936103790369136233721370f371137e436e536
3,3,0,e436e436db36d936d136d0360f370f37cc36cc3615371437db36dc365b355d35,9f369e3608370937123710371f372037173716371f372037e436e5360d370e37,e0ff020050000200c6ffd6ff0200020078f9d21d36035e22760dc62366168622,dc36dc361b371c37e536e236e936e83691368e36213722370f370e37e636e536
4,4,0,e536e336d936d936cd36cf360e370d37cd36cc3614371437d736d9365b355e35,9d369d3609370837113711371e371e37153715371e371f37e536e7360c370e37,e0ff1200d4ffb6ff080008002200c2ffb0ec94dccee4f0df34dfd4e576dc86ee,db36dc3619371b37e436e436e936e836903690362137203710370f37e536e536
5,5,0,e436e436dd36d936d136d1360d370d37cd36a536ec361437da36da365a355c35,9f369d36093709371237123720371f37163718371e371f37e536e53610370e37,1200cefff4fff4ffd6fff6ff2200b2ff0623bc14de23c40b5621c600861c66f6,da36db361b371b37e436e1361037e9368f368f362237223710371037e336e336
6,6,0,e336e436db36d936d136cf360e370d37cb36cd3615371537dc36da365f355835,9e369f36083709371437153720372037163715371e371f37e536e6360e370f37,1200ceffd4ffd4ffd6ffe6ff1200120018e19005cee7c20f14f10619f6fab61e,dd36dd361b371a37e436e336ea36e83690368e36213722370f371137e136e336
7,7,0,e336e436d836d936d136d4360e370d37cc36cb3617371637dc36da365c355b35,9e369e3608370937123711371e3720371537163720371f37e536e3360d370d37,f0ff0200f4ffd4ffd6ff080012001200b408f8e258fe70de24f414dca6ea56dd,dc36dc361d371c37e536e636e936113790368e362237223710371037e536e236
8,8,0,e436e436da36d836d036d1360d370d37cd36cc3612371737db36da365c355c35,a0369f3609370a37113710371e372137163718371e371f37e536e5360f370d37,02001200c4ffd4ffd6fff6ff120012007a126623301a7e203620a61a3623e612,db36db361a371c37e236e4360e371037913691362037223710371037e536e436
9,9,0,e436e336d936d836d236cf360f370d37cc36cb3616371737da36da365a355c35,9f369f3608370937113712371e372037173716371f371e37e736e6360e370c37,e0fff0ff5000d4fff6ff18002200020034dd9eea50dc7af2c4ddb4fd36e2c607,db36dc361c371a37e336e336ea36e73690368f362037223710370f37e536e536
10,10,0,e336e336d936da36cf36d0360d370e37cc36ce3615371537d936dc365c355935,9e36a0360a3708371237103721371f37143715371e371f37e536e6360f370e37,02001200f4ffb6fff6ffd6ff22000200121f7afb10199af1661064e8760696e1,dc36db361b371b37e536e136e936e9368f3690362037203710371037e436e536
11,11,0,e536e336d936db36d436d0360e370c37ce36cd3616371437da36da365c355d35,9e369f360a370737103711371f371e37153716371e371f37e636e6360e370e37,e0ffceffd4fff4ffd6ff1800c2ff120096f5201ce8fffe20760ad62306141623,dc36dd361b371b37e336e636ea36e93691368e362237213711371137e436e536
