Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,e236e336d936d936d036d0360d370d37cc36cd36ed361737da36dc365a355b35,9d369d360937083710370f371e372037173715371d372037e736e5360e370e37,120032003200a2ffd200b20042ff32ff02177223921f7220f221421892255210,db36db361b371b37e136e436e8360e378f368e362137233711371137e536e336
1,1,0,e236e336db36d936d036d1360c370e37cb36cd3612371737d536d63659355b35,9d369d36093709371037103721372237163715371e371f37e636e6360c370b37,f2ff2200a2ff2200b200b20042ff42ff82dd42efa2de02faf2dfb202b2e7120f,db36da361c371c37e336e1361037123790368e36213722370f371137e536e336
2,2,0,e336e236d936db36d136d0360e370d37cb36cb3612371437d836d9365d355835,9d369c36093708371037103721372037173715371f371d37e736e6360b370c37,12002200a2ff2200b200b20042ffd2fe821dd2f7921772ef220cb2e5620302e1,db36db361c371c37e436e6360e370f378e368c362337213711371137e536e536
3,3,0,e236e336d936dc36cf36ce360e370c37cc36cd3612371137da36d8365c355c35,9f369f3609370a3710371037223721371837163720371f37e436e6360c370b37,42002200c2ffb2ffd200c20022ff42ffa2fba21f6207e224420f1224f2199223,dc36dc361c371b37e536e4361037e9368f368f362037223711371037e336e436
4,4,0,e336e236db36dc36d036cf360c370b37cd36cc36ec361537da36db365e355c35,9d369e36083709371037113722372037163716371e372037e736e6360d370c37,3200120022002200e200b20032ff42ff32ec02ded2e512e3b2dea2e712de42f2,dc36db361b371b37e436e63610370f378f3690362137213712371437e536e536
5,5,0,e236e136dc36d936cf36cf360c370d37cd36a63615371437d936da3659355c35,9d369d3608370a3711371137213722371637163720371f37e736e6360b370c37,120032004200a2ffb200c20032ff32ff322422141226720bf22062fff21c72f6,dc36dc361c371c37e636e536103710378f368f362037203711371137e436e536
6,6,0,e336e336d936d936cf36ce360c370c37cc36cb3612371437d836d7365b355b35,9e369d36083708370f370e3720372037153715371f371e37e636e6360c370d37,32002200d2ffa2ffa200a20042ff32ff72e3020992eb921372f3421a02ffd221,dc36da361b371b37e436e3360f3710378f3690362137223712371137e736e536
7,7,0,e436e336dc36dc36d036cf360e370d37cc36cd361537ec36d936d9365a355935,9e369c360b3709371237103720371f37153718371f371d37e636e6360b370c37,62001200a2ff2200b200c20042ff32ff820752e2a2fee2dfc2f262dca2eac2df,da36dd361c371b37e336e4361037e8368e3691362337233715371137e536e736
8,8,0,e436e536d936d936cf36cf360f370c37ce36cc3615371437da36d9365a355a35,9b369d36093709370f37103721372037153715371e372037e736e7360c370c37,320022002200a2ffc200c20042ff32ff02150224d21d32225221f219b225d212,dc36db361a371a37e336e53610370e378f368f362037223711371237e636e536
9,9,0,e336e436dc36d936d036cf360d370c37cc36cd36ec361437da36d9365b355e35,9d369c36093709370e370f371f372137163718371e371e37e636e5360c370b37,6200420022004200c200d20052ff32ffd2dd02ed92dee2f6b2ded2ffc2e5020c,da36db361a371c37e336e5360e370e378f368d362337223710371237e536e536
