Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,e736e436d936d836d136d0360e370f37a736a63614371437da36da365c355a35,9f369e36083707370e3710371e371e37163715371f371d37e536e6360d370d37,080008002e00b4ffeeff1000f8fff8fffadbf8f182dd6cfb54e1060602e8f20f,da36da361b371b37e436e536e936e936923691362037223711371137e536e436
1,1,0,e436e336db36db36cf36ce360e370d37a736a73614371537da36d93659355935,9d36a03608370837103710371e371f37153716371f371e37e636e6360d370d37,faff08002e0020001000100008000800521a58f3a81280ea9608c4e232fe22de,dc36d93617371c37e436e436e936ea36913691361f37213711371337e436e636
2,2,0,e736e436d836d936d036cf360e370e37cd36cd3613371437dc36dc365a355a35,9d369d3607370937113711371f371e37163717371d371d37e536e5360c370d37,ccfffaff2e00b4ffdeffeeff0800f8ff60fe56207a08a42396127823921a7220,da36da361b371b37e036e536e936e936923690361f37223711371237e436e336
3,3,0,e336e436d936d936cf36cf360d370e37cc36cc3617371537da36d9365b355d35,9d369f360737083710370f3720371e37153716371f371f37e536e5360c370c37,fafffaffb4ff2e00000000000800f8ff82e81ade90e160e372ddf4e902dce2f3,da36dc3618371c37e436e636e936e9369136923622371f3711371137e536e536
4,4,0,e236e436d936d936d136d0360d370d37cd36a53614371637da36dc365b355d35,9f369e3609370837123710371f371f37173716371e371f37e436e6360b370c37,46000800e2ffe2ff200010001800a8ffd823dc0f34234a06161f84fba21882f1,da36dc3619371837e436e136e936ea3691368f362237223710371137e436e536
5,5,0,e436e436d936d936cf36cf360e370d37a536cd3616371637da36d9365a355935,9e369f3609370a370f37103720371f37173716371e372037e536e6360c370d37,fafffaff3e003e00100000002800080090e4180b2eec581424f6061c42006221,db36db3619371937e336e336ea36e936923691362137213711371037e336e336
6,6,0,e236e436d836d936d236d2360e370e37cc36cd3615371537db36d83658355935,9e369f36073708370f37123720371f37163715371f371e37e536e6360e370c37,faff0800d4ffb4ff0000ceff0800e8ffe202ccdf4cf9e2dc44ef62dc82e6b2de,db36dc361a371a37e436e4360f37e836913690362037213712371337e436e436
7,7,0,e436e636d936db36d036d0360e370d37cd36a53615371437dc36d93658355935,9d369e360a3708371137103720371f37153715371e371f37e636e6360d370e37,daff3600b4ff2e0010000000f8fff8ff80165822b61d061ee821e616f223220e,da36db361b371a37e336e636e8361037923692361e37223710371137e536e336
8,8,0,e436e436d936d836d036d0360d370e37cc36cb3612371437da36db365c355a35,9e369e3608370837103711371d372037153715371e371f37e536e5360b370e37,faffeaffe2ffe2ff200000000800f8ff6adc06efc2dc3cf8c2df660302e6720d,da36d93619371a37e436e4360e37103791369136223720370f371137e536e536
9,9,0,e536e436d836d936d136d1360d370c37cc36a53616371637da36db365d355b35,9f369e3608370937113711371e371e37173716371f371e37e636e5360d370d37,2600faff2e003e00000020000800f8ff541c0af65615beec460b04e52201f2de,db36da361a371a37e536e336ea36e836913692362137223711370f37e536e436
10,10,0,e436e636dd36d936ce36d0360e370d37a536a53617371437d936d9365a355835,9d369e360a370737103710371e372037163715371f372037e536e6360c370d37,dafffaffb4ff2e00200030000800a8ff6efbf61e6a05b4220610d82342188221,da36da361a371b37e536e4360e3710379136913621371f3711371037e536e536
11,11,0,e536e436d936d936d136d0360e370f37cd36a63615371537db36d7365c355c35,9f369e360837093710370f371e372037163715371d371e37e636e4360e370f37,faffeaff3e00f2ff100000002800a8ffe4eafadcb0e320e122ded4e732dc92f0,da36da361c371b37e436e536e836e836913690362037203710371137e536e336
12,12,0,e736e336dd36db36cf36d1360e370d37cb36cc3618371637d936d93659355b35,9e369e3607370837103711371d371f37173716371e371e37e536e7360d370c37,3600faff2e002e0000001000f8ff080058239e12b4231a09a82054fef21a42f4,db36da361a371a37e636e136ea36e9368f3691362037203711371137e436e536
13,13,0,e336e236d936d936d036d1360b370c37a736a63615371737da36d6365a355935,a0369d36083708370f37113720372037163718371f372037e536e6360e370e37,faff08004c00c4ff00000000f8ff0800cee2a60890e9a81184f3661a62fd0220,db36db361b371b37e336e436e8361037923692362137203711371137e336e336
14,14,0,e336e436d936d936d136d1360e370c37a536cc3614371337db36da365c355835,9e369e3608370837103711371e372037163716371d371e37e536e6360c370b37,08001800c4ffb4ff10001000180008001406fce00cfcc2dd84f112dc82e8e2dd,da36db361a371b37e536e5360e370f379136903621371e3711370f37e536e536
15,15,0,e336e336d936db36d136ce360d370e37cd36a73615371737d936db365a355a35,9f369f36083708370f3711371f371c37183716371e372037e536e6360b370b37,0800faff3e00e2ff200010000800f8ff7e142823d61b761f38214619c223a210,da36da361a371c37e436e436e836e836913691361f3721370f371137e536e436
16,16,0,e436e336dc36db36d036d3360e370c37a536cc3616371537dc36da365a355d35,9d369e36073709371337103720371e37163716371e371f37e636e7360d370e37,eafffaff2e0020000000100018000800aadc94ec42dc4ef5e2def4ff12e4520a,d936da361b371c37e436e336e936e936943690361f37203711371037e636e536
17,17,0,e136e236db36d836d136d1360e370f37cc36cd3614371537da36d9365d355a35,9d369e360a37e1360f37113721372037153717371f372037e636e5360d370c37,080018003e003e000000cefff8ff0800041e6cf966179eefc60d64e6420492e0,dc36db361a371937e536e236e936ea36913690362337203710371037e336e436
18,18,0,e436e436db36d936d036d3360e370d37a736a53617371537da36dc365b355b35,9e369d3608370837103710371f371f37153716371e371d37e536e5360d370d37,faffeaffa6ff20000000eefff8fff8ffdcf8741d5a020422160df823e215b222,da36da361b371a37e336e336e936e836913690362037203711371137e436e336
19,19,0,e436e636dd36d936d036d2360d370d37cd36a53616371537d936d9365a355a35,9e369d36e23608370e3710371f371e37153715371d371e37e536e6360c370e37,faffeaff2e003e0000003000f8ffe8ff14ed6adc60e5c2df52dfe4e592dc22ee,da36db361b371937e536e4361037ea369036923620371f3712371237e436e336
20,20,0,e236e636d936d936cf36d0360e370d37cc36cc3616371837d936db3659355835,9e369e3607370937113711371e372037173717371e371f37e436e5360e370d37,fafffaffb4ff2e0000000000f8ff0800f822de140424080c78215601b21c02f7,da36da361b371937e336e336e7360f37913691362237213711371137e636e336
21,21,0,e436e436d836dc36ce36d1360e370e37cc36cc3616371737da36d9365a355935,9f369f360737083711370f371f371e37173716371e371f37e736e5360c370f37,fafffaff2e002e00ceffeeff98ff1800dce0140570e7580f54f0961872faa21e,db36da361b371b37e536e4361037ea36923692362237203710371137e336e336
22,22,0,e436e736db36dc36d136d5360e370c37cb36ce3615371737db36da365d355a35,9d369d36083708370f3710371f371e37163717371d371e37e636e4360d370e37,faff08003e002e001000deff0800f8ffe6081ee3ecfe72de74f432dc42eb52dd,db36da361a371b37e336e536e836e73691368f362237213710370f37e436e336
23,23,0,e636e436db36db36d036d0360c370d37a636cc3615371737d936db365b355b35,9d369f3608370937103710371e371e37163717371f371d37e536e6360b370c37,0800faff3e00b4ff00000000080008003c126823261af420a61f161b42234213,d936da361a371c37e536e436e8360f37913691362037233712371137e336e436
24,24,0,e236e636d936d836d136d0360d370d37cb36cd3618371737db36da365a355835,9e369e3607370837103710371e371e37173716371f371e37e536e5360d370c37,faff0800b4ffa6ff10000000e8fff8ff3add52ea42dc3ef2a2dd34fd12e22207,d936d9361a371b37e436e636e9361037903691362037203710370f37e636e436
