Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,e136e036db36db36d136cf3610370e37cd36cd3615371437da36da3659355935,9d369e3609370737103710371e374a38163715371d371c37e636e4360c370b37,e136df3602370337e936eb36d236d2368c3a55066d2af2021a19a102e80ae004,dd36dc361c371b37e336e4361037103790369136223722370f371037e436e436
1,1,0,e136e136dc36db36d136cf360f370e37cd36cc3616371537dc36d93658355735,9e369d36083709370f37103721372237183715371e371c37e536e6360e370e37,e036e13602370237ec36ec36d236d5361162026ce3662a689e6a17596a6cd852,db36dc361b371b37e436e43610370f378f369136213721370f371237e536e436
2,2,0,e136e236da36d836d136d1360d370e37cd36cf361437ec36da36da3659355a35,9d369d36e23608371037113722372037183718371e371e37e636e7360d370d37,e236e136dc36da36e936e836d336d436ab02d818e902e6281a0614399f0a2d49,dc36dd361b371b37e636e3360e370f3790368f3620371f3711370f37e336e336
3,3,0,e336e136d936dd36d136cf360c370e37cd36cd3614371637d736d93657355b35,9d369f36073708371037103720372037163717371d371d37e336e4360e370c37,e136e036dc36dd36e836eb36d336d43697666028ad60a618a6501b11d738f304,dc36dc361b371b37e536e536e8360e378e368f361f37203710371037e536e236
4,4,0,e236e236d936d936d136cf360f370e37cc36cd3617371237d936db365c355735,9e369e3609370a370f3710374d382237163718371f371e37e536e6360d370d37,e036e336da360437e936ec36d336d336d6325668f23af16a12532c6ca35aa16a,dc36db3618371b37e436e336e936103790368f362237203711371037e536e336
5,5,0,e136e136d936dc36ce36d13610370e37cc36cc3612371637dc36d93655355835,9b369e36083708370f37103721371f37153717371e371f37e536e3360c370c37,e236e236dd36dd36ed36e936d336d336ac161003e010a80668042213d702ad1a,dd36dc361c371c37e436e636e936ea36903690361f3721370f371037e436e536
6,6,0,e136e336dc36db36ce36cf360d370f37cb36cc3614371237d736d93658355635,9f369f36083707371137103722372237163717371f371f37e636e6360e370d37,e236e33604370337ea36ed36ad36d3361b6cd3565e6b1c47156999361c65a826,dc36dd361b371b37e536e436e836103790368f361f37203710370f37e336e736
7,7,0,e136e336db36d936d036cf360f370d37cd36cc3615371437d936db3656355835,9d36a0360837e1361137103721372137173718371e371e37e436e6360c370e37,e336e23602370237eb36ec36ad36d5360f07de44ea14e5546d242e64a934d968,dd36dc361c371b37e436e336e93611378f368e3620371f370f370f37e636e536
8,8,0,e336e336dd36db36cf36d0360e370d37cd36cb3611371337da36db3657355635,9e369c360a370737103711374d382137173714371f371b37e536e6360d370c37,e236e23602370237eb36eb36d236d43615451707f13462039524990224155903,dc36db361c371b37e036e4361137e9369036903621371f370e370f37e336e636
9,9,0,e236e136d836db36d036cf360c370d37cb36ce3615371337d936d93654355635,9f369e36083709371137103722371e37163716371f372037e536e6360e370b37,e236e23602370237ed36e836d436ab36a056466cea64e76815692e64616c2955,dc36dc361b371a37e436e3361137e9368d36903621371f370f370e37e436e436
