Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,e636e436db36dd36cf36cf3612371037cd36a7361b371537d936d8364e354f35,9e369c3606370737103711371c371c37153715371e372037e536e5360b370837,f6ffc6fff0ff0e000200e0ffeaffdaff96635ad7024b80b51828849b34ff948e,da36dc361c371d37e436e536113713378b368e36203721370f370e37e336e036
1,1,0,e536e436dc36da36d136d13610371037c936cb361b371a37d936d9364f355335,9b369e36e1360837143711371c371c371437143720371f37e436e4360a370a37,e6ffc6ff0e00f0ff12001200eaff3a006eb18e47bad1da60b2f9027064222471,d936db361c371a37e336e536123710378c368c361d371f370f371037e336e336
2,2,0,e636e636db36da36d036d23610371037cb36a63619371937d936d83651354e35,9c369c36e336e236113711371b371e371437143720371e37e636e73609370a37,e6fff6fff0ff1e000200f0ff0a000a00f83268a16e0d649150e4f28d24bfd498,db36da361e371b37e336e436103712378c368d361f3720370e371037e436e236
3,3,0,e436e636db36dc36d136d1360f371237cd36a63616371a37d736d6364e354f35,9c369c36e336e336123710371c371c371337143720372037e636e53608370a37,f6ff0400f0fff0ff02000200eaff0a0082edca6cb0144072fc3ac269045a0454,dd36db361a371c37e436e536113712378b368d361e3720370e371037e336e136
4,4,0,e436e436da36db36d036d13610371137a636ca3617371937d836d73651352835,9e369d36e336e336103711371b371c37143713371f371f37e636e6360a370a37,d6ffb6ff0e00f0ff02000200dafffaffd2f0728d68cb949308ab36a76495b4c6,da36db361b371b37e536e336113713378c368d361e3720370f370e37e136e336
5,5,0,e436e336db36db36d036cf3610371037cc36cc3619371937da36d8364f354f35,9d369d36e436e336113710371d371c371637153721371e37e436e5360c370937,c6fff6ff1e001e00f0ff0200fafffaff76304a6f2450b85cc2672c3f44728419,db36db361c371b37e536e336143713378d368b361f3721370f371137e236e336
6,6,0,e336e536da36db36d036d23610371237cb36cb361b371737d736d9364f354c35,9d369b36e23606370f3712371a371e37133714371f371f37e636e7360a370c37,e6ffe6ff00000000e0fff0ff5a00faffaeb3f89f489b42bb648eaedf64904408,da36da361b371c37e436e536123710378c368c362037213711370f37e336e236
7,7,0,e336e736db36db36d036d2360e371137cb36cb3616371937d736da3651354c35,9a369c360637e336113711371e371c371537163721372037e636e5360c370837,0400e6ff0e000e00e0ff02001a00daff3662ae491e70f626e270c2fe246384d6,da36da361c371a37e736e536103712378d36663620371f370f371037e436e536
8,8,0,e436e336d936db36d336d03611371037cb36cb3618371737d636d6364f355135,9f369c36e436e3360e3711371d371b37153715371f371f37e636e53609370b37,e6ffe6fff0fff0fff0ff1200eaff0a00b49018d4128eb8fa5499c822c4b1f446,da36dd361c371b37e436e33614370f378d368b362037213710370f37e036e336
9,9,0,e436e336dd36dc36d336d3360f371137cb36cb3617371937d836d8364e354d35,9e369d3607370637103711371c371c37143714371e371f37e536e5360a370a37,0400e6ff0e00f0ff34002200faff2a004c72ca0a7c69f0e38e538abe443244a1,db36dd361b371c37e436e336103710378e3667361c371c370e371037e336e436
10,10,0,e436e336d936da36d036d43611371037a836a73615371b37d936d9364f354d35,9b369c36e436e236123710371d371c37143714371f371e37e536e7360c370a37,f6ffd6ff1e00f0fff0ff1200fafffaff44941e17fca7ae3b5cc7405a24ee346d,da36db361b371c37e536e336123712378e368c3620371e370d370f37e236e336
11,11,0,e336e436dc36db36d236d2360f370e37a736cc3615371737d736d6364e354f35,9d369d3606370637113712371a371c37153713371e371f37e436e5360a370a37,d6fff6ff0e00f0ff02000200fafffafff45a96c98e3e5caa16191495f4ef948d,db36dc361a371c37e336e536123711378c368b3620371f3710371137e236e136
12,12,0,e436e736db36db36d036d0360f371137a736a73619371837d936d8364d354c35,9d369c36e436e2360f370f371d371e37153715371f371f37e536e5360a370a37,f6ffd6ff0000f0ff120022000a00faff02bd42525ee04c68d40814723431c46d,dc36db361b371b37e536e536143712378c368c3621371d370e371137e236e336
13,13,0,e336e436da36da36d036d13612371237cb36cc361a371a37da36d9364e355135,9f369d3607370737123712371e371c37143718371f372137e636e6360a370837,e6fff6fff0ff0e00f0ffe0ffdaff3a00a224269a28fe528eded53490c4b264a0,db36dc361b371d37e436e4361137113767368d361e371f3711370e37e336e436
14,14,0,e736e336db36dc36d036d03610371137cb36cc3617371837d736da364c354c35,9d36a036e436e236113710371c371d371437153721371e37e536e6360a370c37,e6ffd6fff0ffe0ff0200f0ffcaffeaffc6fc8c70c6239e709e47e062a4622448,db36da361c371c37e536e236123714378c368b361f371e370f371137e436e636
15,15,0,e436e536dc36db36cf36ce360f370e37ca36cb3619371737da36d7364c354e35,9c369c36e2360737103710371d371c371437153720371e37e436e53609370c37,0400e6fff0ff0e00e0fff0ff0a00faff2ee1428e02be6699e6a068b29490e4d4,db36da361a371c37e636e436133711378b368c362037203711371037e236e336
16,16,0,e636e536dc36dc36d136d0360f370e37c936cb3619371637d636d93651354d35,9c369d36e1360637113712371d371d37123713371f372037e536e4360a370b37,e6ffd6fff0ff0e0012000200faffeaffaa3d9868985a0453826dea313472240a,db36dc361d371c37e336e436113712378e368c361f371f3711370f37e436e336
17,17,0,e336e736dd36dc36ce36d1360f371037c936cc3617371837d736d5364e354f35,9d369e3606370637103710371a371d37133714371e371f37e536e5360d370d37,0400e6ff1e001e00f0ffe0fffaff0a008ca87ca99494c6c7928db0eec4940418,dc36dc361c371b37e636e636133711378b368b361f371f370f371137e036e336
18,18,0,e636e436db36dc36cf36cf3611370e37a736a73617371637d936d7364e354c35,9d369c36e2360637123712371c371d37113714371e371f37e636e73609370937,f6ffd6fff0fff0ffceff0200eafffaff28699a3c10722218826d70eff45a44c8,da36db361b371c37e236e336123713378d368c361e371e3710371037e336e236
19,19,0,e636e436db36dc36d036ce3610371037cb36cc3617371837da36d8364e354f35,9e369d36e2360737103710371e371d371337153720371f37e536e63609370837,f6fff6ff0e00f0fff0fff0ffeafffaff128e8ee25490bc09c6a05a31a4bdd452,dc36db361a371b37e536e436113712378c3668361d371e3711371137e336e336
