Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,e536e636da36dd36d236d0360e370f37a636cb36ee361637d936d93652355735,9e369d3606370737113710371a371d37143714371f371f37e436e6360a370b37,f4fff4ff28000800fcffecffe8ffe8ff52b76a9d7a9d24b72c8f26db3e8ffe03,db36da361c371c37e436e13612370e378f3690361d371e3712370f37e136e236
1,1,0,e636e436dd36db36d336d23612371137cc36cb3617371637d936d93655355535,a1369e360737e236113710371e371c371537153720372137e436e43609370b37,2600e4ff0800f6ffecff1e000800f8ff5c5f264d306fda2b9a71ac03ae65deda,d936da361c371b37e536e236123710378c368f361e371d3711371037e236e336
2,2,0,e736e736dc36dd36d036d1360e370d37cc36cb3612371337db36d73653355435,9e369e3607370737113712371c371e37173713371e371e37e436e2360a370b37,f4ffd4ff3800e6fffcfffcfff8ffd8ff26924acf968d88f51c97101e3eae6e43,d936d9361c371b37e436e336123712378f368c361e371e3712371037df36e236
3,3,0,e636e636da36de36d236ce360f370e37cc36ca361537ef36d536d73652355335,9f369d36063706370f3711371d371e37143717371e371d37e336e5360d370737,06000600f6ff1800fcffecfff8ffe8ff627270102e6b64e8985692c28e361ea4,d936db361b371b37e336e536123712378e368d361e371b370f371037e136e136
4,4,0,e336e436dc36db36d136d1360e370f37cb36cb361537ed36d936d83654355335,9d369c36e2360737103710371c371a37143716371e371d37e636e3360c370937,2600260028001800fcffdcfff8ff080096924212bea4ae37e2c2d8579ee9ce6b,d836db361c371a37e136e436113711378d368e361c371e3711371037e136e236
5,5,0,e636e636db36db36d236d13612370f37cd36cb361537ee36d736d73656355435,9d369c3607370837103710371f371d37163715371f371e37e436e3360a370a37,f4fff4ff08000800ecfffcffe8ff38005c5ecacdb042c0ada01dfc967ef4ce8d,dc36db361c371b37e236e336103713378e368e361b371e3710371137e036e336
6,6,0,e436e436db36dc36d236d1360f371037cb36cb3614371437d736d83651355335,9c369e36e3360837103710371c371c37133711371f372037e336e3360b370937,f4ff06000800f6fffcffecfff8ffe8ff92b8864ef0db3c662c04aa716e2cce6e,d936dc361b371c37e136e336103710378d368e361c371e370f371137e136e236
7,7,0,e536e736db36d936d336d53610371037ca36cc36ef361437d536d63652355435,9f369e3606370637113711371d371c371737163720371e37e536e3360c370c37,16000600f6fff6ffecfffcffe8ff3800aa29189ccc02068f66da6c8faeb61e9e,da36dc361c371d37e236e236103711378f368c361d371e3711370e37e136e136
8,8,0,e336e536db36db36d036cf360f371037cc36a636ee361637db36d9364f355135,9d369f36e2360537103711371c371b37143713371d371e37e336e33609370a37,1600b4ff2800e6fffcfffcff0800e8ffa8f7e26f161f9071e443aa650e601e4c,da36d9361c371c37e236e336113710378d368e361e371e3710371037e236e336
9,9,0,e536e436dd36db36d136d23611371137cc36cc3613371437d636da3655355235,9f369f36073708370f3710371a371c37143716371d371c37e336e43609370a37,f4ffe4ff0800d6ffecff0e00f8ff480082e6b48dc6c12897cea390aeee917ed0,dc36da361c371c37e236e436143710378f368d361c371e3712371137e236e236
