Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,e336e336d936d836d036ce360e370e37ce36cc3614371237d936d93657355835,9d369c360a3709371137123722372237173718371f371f37e536e4360a370d37,12f722f7a8ff3000f8fff8ffb8fff8ff68e7dc0d7cfc941f2207722360115023,dc36db361b371b37e436e5361037e8368d368c362337233710371037e436e536
1,1,0,e136e336db36db36cf36cf360e370f37cb36cd3614371637d936da3655355635,9e369d360a370937113712374c384d38173716371f371e37e636e4360c370d37,12f712f7d6ffc6ff0a000a00f8ff1800cce62ed180e9c2dd80e2f0e1f0dde0e8,db36dc361c371c37e536e4360e37113765368d362137223710371137e536e236
2,2,0,e436e336d836db36cd36ce360f370d37cc36cb361737ec36da36d93657355535,9f369f360a370a371437103722372037163716371e371f37e636e736e5360b37,22f722f73000d6ff0a000a000800f8ffea134e0d9423981172232207e01f30fd,dc36db361c371a37e536e436e7360e378e3666362237223710371037e236e336
3,3,0,e436e436d936d936cf36d0360e370d37cb36cb3615371737d736d93654355635,9d369e3608370a371337103723372337163717371f372037e536e6360c370c37,02f7f2f6d6ffb8fff8ff0a00a8ff080064d33af3e0e35a0970eba21390f4101b,db36dc361c371b37e336e5361137e8368d368d36233722370f371037e336e336
4,4,0,e236e436d836d936d036cf360e370f37cc36cd3616371637d736d93655355635,9d369d3608370a371137113722372237173718371f371d37e536e6360c370d37,f2f6f2f63000c6ff1a00f8ff2800c8ff3a02f0dcda0412e130fa20dd30f030dc,dc36db361b371b37e336e636103710378e368e362237223710370f37e336e336
5,5,0,e336e436d936d936d036cd360e370e37cc36cd3615371437da36da3656355535,9d369e360a370837123710372337233715371a371f371e37e536e7360d370e37,12f712f7a8ff2000f8ff0a0008000800440048178615b422221d821ea0210018,dc36db361d371b37e336e536103710378c368c362237223710370f37e536e436
6,6,0,e436e136d936d936cf36d0360e370e37cd36cc3616371437db36db3657355935,9b369e3609370a37123710371f374c381737183720372037e836e4360b370b37,f2f6f2f620003000f8ff0a0028000800f0d3c2d9a2dc5eed50dc10f830df9001,dc36dc361d371c37e436e6360f37e8368c368c362637243711371137e336e236
7,7,0,e436e436d836d936cf36cd360e370e37cd36a63616371237d736d93657355735,9d369d360a3709371237123721372037163715371e372137e536e6360a370937,f2f602f730003e000a00f8ffa8ff180044152af6561decf7d21540ee300de0e5,db36db361b371b37e436e5360e370e378e368e362237253710371137e236e236
8,8,0,e236e236dd36d936ce36cf360e370d37cd36cc3615371637da36dc3657355635,9d369d360a3708370e371037203722371637173720371e37e536e6360c370b37,f2f602f7200020000a001a00a8ff2800a6e4bc0a7cf9f61d42048222600ef023,dc36dc361e371b37e336e536e83610378d368c36223722370e371037e336e436
9,9,0,e236e336d636d836d036ce360e370c37cc36cc3614371537da36da3654355735,9d369d360a3708371237103722372337163717371f372137e436e6360c370d37,32f7f2f6d6ffa8fff8ff0a00080008003ee910d1feebd2dcf0e350e0c0dec0e6,dc36dc361c371b37e636e4360f3710378c368c362237213710371037e236e436
10,10,0,e436e236d936d936cf36cf360e370d37ce36a63615371837db36da3657355635,9d369d360a370a37113712374d3822371737163720371f37e436e4360c370b37,02f702f73e00c6ff1a00f8ffc8ffb8ff2e13a60e34234814d223d2093021f0ff,dc36dd361b371c37e436e536e8360f378c368c362337223713371037e536e436
11,11,0,e236e436d936d836cf36cd360f370e37cc36cc3616371337da36d93659355835,9e369e360a370a371237103722371e37183717371f372037e636e7360a370c37,02f7f2f620003e00f8fff8ff080008003ad2a6f010e27a06c0e8e210f0f14019,db36dc361c371c37e336e336103711378e368c362337243711371037e336e336
12,12,0,e336e436d936d836d036d0360e370e37cb36cc3615371537db36d83656355835,9e369e36083709371137123722372337163716371f372037e636e5360c370d37,f2f622f7d6ffa8ff0a000a002800b8ff5805a6deea07b0e270fdb0dd50f320dc,da36db361d371c37e436e4360e3710378d3666362137223713371137e436e436
13,13,0,e336e236db36d936d036d1360d370f37cc36cc3613371537d736da3656355435,9d369e360837073710371437223723371637153722371f37e436e5360d370c37,f2f612f7d6ffa8ff1a001a001800a8ffc0fdbc1628136423721be21f6020301a,dc36da361b371c37e336e33610370f378d368d362337223710371137e336e336
14,14,0,e336e336db36d936d036d0360d370d37cc36cc3614371337da36d83658355735,9c369d360837093712371237213723371537153720371e37e636e6360c370e37,f2f602f720003e002a002a001800180058d50ad862dd10eb40dc50f460de90fe,db36db361c371b37e436e536e936e8368f368d362237243710370f37e336e436
15,15,0,e436e336d836d936cf36d1360b370e37cd36cc3616371437d636d93658355635,9e369f360837083710371237223721371637163721372137e736e6360c370d37,12f712f7300020000a00f8ff1800180000169cf8b41e4cfbc21880f0e00fa0e7,db36da361c371c37e636e5360f3710378e368d362337233711371037e436e336
16,16,0,e636e336d936d936d036d1360d370e37cd36cd3613371337d936db3656355635,9e369d360837093711371237213723371737173720371f37e336e6360c370b37,02f712f73000a8fff8ff0a0008000800f6e1c6088cf6961c32016221400bf023,dd36dc361c371d37e636e636e8360e378e368f362237243711371037e436e536
17,17,0,e236e636d936dc36cf36ce360e370f37cc36cc3617371937da36d93658355635,9d369e360737083711371137213722371637193720371f37e636e6360c370b37,12f702f73e00a8ff0a00e8ff0800180000ec5ed14eee62dcd0e570dff0df10e5,dc36dc361d371c37e736e736103712378c368e362237243710371037e236e436
