Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,e436e336d936d936d036d0360e370e37cc36cb3617371237d636da3656355835,9e369e360a370a370f37103721371e37163716371f371d37e536e6360d370b37,f2ff140006001600020012004400d4ff34dec4ce10e512e0b8de58e668dcd8ee,dd36da361d371c37e436e4360f370f378f368d362637263711370f37e436e536
1,1,0,e336e436db36d936d136d0360e370e37cd36cc36ec361237d736d63658355335,9e369f3608370837103710371e374d38173715371f372037e636e6360b370e37,04000400060016000200f0ff140014008c130805cc23240b6a213a00581c58f6,da36da361a371d37e536e5360f3710378f368e36233723370e370f37e336e536
2,2,0,e436e336d936d936d036d0360d370f37cd36cd3614371437d936db3653355735,9e369f3608370a3710370f3720372037173715371e372037e636e4360d370e37,f2ffe2ff06000600120012002400c4ff0ed312f70ee8d20f78f13a1928fbd81e,db36dc361d371a37e436e636103710378e368e36273721370f371037e436e536
3,3,0,e236e436d736d836ce36d3360e370c37cd36cc3614371637d636d93657355435,9d369e3609370a370f370f3721372137173717371f371e37e536e7360d370d37,0400f2ff0600280012000200b4ff140066f9a6d448fe42dec8f328dc68ea78dd,dc36db361d371c37e436e43610370f378f368f362237243711371137e436e636
4,4,0,e336e436d936d836cf36d1360e370d37a636cd361537ec36d936da3659355735,a0369f3608370937113710371e374c38163718371f371f37e436e5360a370d37,f2ff1400160006001200120024003400b003bc134e1aac202a208a1a28238812,db36db361b371b37e536e5360f3711378e368f362537233713371137e336e536
5,5,0,e436e336d936db36d136d1360e370d37ce36a73612371437d936d93656355835,9f36a0360a370837123710374c382037153717371f371f37e736e6360c370b37,f2ffe2ff280028000200f0ff1400040012cfcadc32dcacf218ded8fd58e20808,dd36dc361d371b37e336e6360f3710378e368c362337223711371037e636e436
6,6,0,e336e236d936d936d036d1360f370e37cd36cb3614371737d936d73656355835,9d369e36083709371037103720371f371737163720372137e536e5360e370c37,04002400f4ff060002000200c4ff0400520f98ecde182cf14a1008e8280698e1,dc36dc361d371d37e636e436103711378d368d362537233710370f37e336e336
7,7,0,e236e336d936d836cf36d1360d371037cc36cc3614371737da36d73658355635,9e369f3607370a3711371037213721371737173720371f37e536e5360c370b37,140004007eff0600d0ff02002400d4ff00e8000d86004c21da0aaa2338140823,db36db361d371c37e736e7361037e8368e368d362737213710371137e436e236
8,8,0,e436e236da36d936cf36d1360e370d37a536cb3615371437d736da3655355635,a036a03608370837103710371e374c381637183720372137e536e5360b370c37,1400e2ff7eff2800d0ff02000400140068e086cea0e6b2dee8df78e428dd88ec,db36db361c371c37e536e536113710378f368f36243725370f370f37e636e436
9,9,0,e136e336d736d836d036d0360f370c37cc36cd3613371537da36d93653355735,9f369f3609370a3710371037223722371637173721372137e836e5360b370c37,1400f2ffb0ffa0ff120002000400140010136c07ac23c20dfa218a03e81d48f9,dc36db361b371c37e536e53610370f378e368f36233725370f371137e536e536
10,10,0,e336e436d836d736d036cf360d371037cd36cb3614371237d736d73655355435,9d369d360837093710371037203722371737173720371f37e736e7360c370d37,f2ff040016000600d0ff12000400140004d270f400e6320db8ee9a1628f8881d,dc36dd361c371c37e536e5360f3712378f368e362237233711371137e536e536
11,11,0,e236e336d936d936cf36d2360d370e37cd36a536eb361637da36da3653355635,9e369f3608370b371037103722372237173717371f371f37e736e7360c370e37,d2ffe2fff4fff4ff0200f0ff3400b4ffe8fb5cd6060162df88f648dc78ed08dd,db36da361e371c37e436e5360e370e3790368d36243723370f370f37e536e436
12,12,0,e136e336dc36d836d036cf360e370c37cd36cd3615371537d936d73656355535,9f369d36093708371037103721372237163718371f372037e636e5360e370d37,040014000600f4ff02000200d4ffb4ff9a011a1420187c213a1f5a1cb8223815,dc36db361b371c37e536e4360f3710378d3690362037223710371037e436e436
13,13,0,e236e336d936dc36d236d0360e370f37cb36ce3613371537da36d73652355435,9f369e3608370837113710374e3821371637173720372237e536e4360d370b37,34002400f4ff06001200f0ffc4ff2400cecf76da72dc6cf048dd68fb38e16805,dc36dc361c371c37e436e33610370f378f368d362537233710371137e236e236
14,14,0,e336e336d736d836ce36ce360e370d37a636cb3614371437da36db3656355735,a036a0360a370837103711371f374d381737173720372137e636e6360c370d37,1400140006001600020002002400d4ffcc101cef4e1b2af4ba1288ea080988e3,db36db361b371d37e636e6360f370f378e368e362237223711371037e336e436
15,15,0,e036e336da36d836d136d1360d371037cc36ce3615371637da36d73653355535,9e369d36093709370f370f37203721371637173720372037e536e5360f370f37,e2ff240016000600120012002400140010e5380b58fd1c20ca077a23e811a823,dd36da361e371c37e536e536103710378f3690362237233711370f37e536e336
16,16,0,e136e436d936d736cf36d0360c370e37cd36cc3615371437d736d93658355635,9f369f3609370a3711371037213720371637173720372037e636e6360a370c37,1400e2ff0600280012001200b4ff040058e336cefee8f2dd78e1c8e2a8dd78e9,db36dc361b371b37e636e636103710378f3690362037223711371137e436e236
17,17,0,e336e336d736d936d036cd360e370e37cb36cc3617371637d636da3655355335,9f369f3609370a3712371137223721371637163720372137e536e6360a370b37,140034000600060002000200b4ff54004811d009ac23a210ea225a06181f38fc,db36dc361c371d37e536e636103710378e368c362337213711371037e336e436
