Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,e036e236d936da36ce36cf360f370f37cd36cb3618371737da36da3656355335,9e369e36083709371437113721372237183717371f372037e436e7360e370d37,0e001e00120022000200d0ff3e00deff8e22ecb4ac0690a54ae8069c8acd1a9c,db36da361c371c37e536e536103710378d3667362737263710370f37e536e436
1,1,0,df36e036db36d936cd36cf360e370f37cc36a53618371737d936d63652355435,9e369c360a37093714371037223749371837163721371f37e536e63610370d37,0e001e0012006eff0200f0ff3e00deff0e2aae64224136608655a6525a613a3e,dd36da361c371c37e736e636113710378d3666362737273711371037e436e436
2,2,0,e136e336da36d936ce36ce360f371037cb36cb3619371c37d736da3655355635,9e369d360a370a3710371137213750381837173720372137e736e6360d370e37,dcfffcff1200f0fff0ff1200deffceff9ca0ecba509b46d1069d88ee1aa73a0b,db36dc361c371c37e436e5361037113764368b362537273713371237e536e636
3,3,0,e036e036d936d936ce36cf360f371037cb36cc3616371b37d736d63654355535,9d369d360a37083712371237223722371737173721372037e436e6360c370d37,1e00fcff1200f0ff0200f0ffbeff3e007e5cfcfd544e58e2ac389ec6ba1dbab1,db36db361c371c37e336e436113710378d368d362637293710370f37e436e536
4,4,0,e236e136d936d936cf36cf360e370f37a636cc3615371737d736d93657355635,a0369e360a3709371437113722372237183716371e372137e636e4360b370b37,fcfffcfff0ff0200f0ff0200ceff4e00ccd9ae484af40659821354630a2f9a64,da36db361e371a37e436e436103710378d3666362637273711371237e536e536
5,5,0,e236e136da36d936ce36ce360e370e37cc36a83615371537da36d93653355635,9f369f36093708371237113723372037163718371f372037e536e7360c370d37,dcff0e00f0fff0fff0fff0ffceffeeff0cda8c9a04c2409e14adc4abca9faabe,dc36db361d371c37e436e53610371037673666362637263711370f37e536e336
6,6,0,e136e236d936d936cf36cf360f371037a536cb3615371737d736d63654355235,9d369d3608370937113712374e384f381737183720372137e536e3360e370c37,ecffecffe0fff0ff0200e0ffdeffdeff6e5c5e49066480329463e215da5acaf8,db36dc361c371c37e536e53610371237673668362737283711370f37e436e436
7,7,0,e036e036d936d936ce36cb360e370c37cb36cc3617371737d936d83657355535,9d369d360937083711371037493720371937163720372137e536e7360b370c37,ecfffcff220012000200f0ffceff3e00bca07cfd42af4e1990c49c359adeea4b,dc36dc361c371d37e536e5361137113766366736273726370f371037e736e436
8,8,0,df36e236d936d836ce36ce360f370e37a536cc3618371937d736da3654355735,9d369d3608370b370f371437223720371637183720372037e636e6360d370c37,ccfffcff1200020012001200deffdeff0e2adcba7c0f50a928f1969d7ad50a9b,db36dc361c371d37e336e3361137113766368e362637273710371337e536e536
9,9,0,e236e136d936d936d036ce360f370f37cc36cd3617371737d636d73653355435,9c369c3609370937123711374d3850381937183720372037e736e6360e370d37,fcfffcff0200f0fff0fff0ff1e002e005e227e64123b3662c850e6579a5e9a44,dc36dc361a371a37e636e336113712378e3667362637253711371337e436e536
10,10,0,e036e036d836d936cd36ce360f370e37cb36cc3617371737d636d63656355535,9d369e3609370737113710374c384d381737183720371e37e436e5360b370d37,1e00ecfff0ffe0fff0ff0200deffceff8ca49cb4409c44c9c69bbae54aa32a03,db36dc361c371d37e336e4361037113766368c362437263713371137e436e536
11,11,0,e136df36da36da36ce36cb360f370e37cd36cd3619371737d536da3655355535,9c369f36083709371137123720374e381837173720372037e536e5360c370b37,fcfffcff120012001200f0ff4e00eeff8e5f3e06a45318eb4a3efecd9a252ab7,db36dc361c371c37e336e336123711378e366636263725370f371137e236e336
12,12,0,e036e036dc36d936cd36cd360f370f37cd36cc3615371837d936db3654355435,9d369e3609370937113711374e384f381737193720372037e636e6360d370d37,ccffecfff0ff020002000200eeffceff6cd21e4208ec7454740b1461fa265a65,db36db361b371c37e536e436113711378c368d36243725370f371137e436e436
13,13,0,df36e236d936d936ce36ce360f370f37cc36a53617371837d936da3652355435,9c369c36083708371137123721374c381837163721372037e536e5360c370e37,fcfffcfff0fff0fff0fff0ffeeffceff1ce1fc9a44c8809ce2b1a4a63aa28ab8,db36db361b371b37e536e53612370f3764368d362737243710371037e436e436
14,14,0,e036e036d836dc36ce36cd360f371037a536cc3617371737d636d73653355335,9e369e360937093714371037213750381737173721372037e536e5360b370d37,dcffdcff12000200020002003e00eeff6e593e4e9662023a9464d01d1a5e6a01,db36dc361b371c37e536e43611371037663667362537273710371037e536e536
15,15,0,e136df36d636d936d036ce360c370e37cf36a73617371637d636d63654355435,9d369d360737093711371137503823371837183721372037e636e7360e370c37,0e00fcff020002000200f0ff1e001e005c9e0cf550aafc1040beac2ecad61a46,dc36db361d371c37e436e436103710378c368c362737273711370f37e436e536
16,16,0,e036df36d936da36ce36cf360f370f37a336cb3617371537da36d63653355435,9f369d360a3709371037113750384e38183716371f372137e636e5360b370e37,fcffdcff12000200f0ff0200deffceff5e328cc0ce1712ae86f9d69fdadcfa9a,dc36db361b371b37e536e336113710378c368c362637263710371037e636e436
