Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,e336e336dc36dc36cf36cf360f370c37cd36ce3617371737d736d93656355635,9b369d3608370c3711370f37503821371737173720372037e836e6360b370b37,fcfffcff68ff08006e017e01c6ff3e00f21e065318d846ac903a9c519abc38bb,da36da361e371f37e636e536113711378b368d36243724370e371037e336e336
1,1,0,e336e236db36db36d136ce360e370d37cc36cd3617371237d736d93657355635,9d369b360a370a3711370f3722371d3717371a3721372037e736e6360b370c37,0e000e00260008006e016e01d6ffb6ffc2ac0accf8537a2ce6ae0ce9444cd805,d936dd361d371c37e536e436123711378e368d362437263710371037e336e436
2,2,0,e136e236db36dc36cf36cf360d371037cd36a63616371637d736d93656355c35,9c369b36083708370e370f3721374d381837153722372037e536e6360d370d37,ecffecff260008002e011e014e005e00ae34fce00ed378264e17b4c5ee01a44b,da36db361e371e37e536e5361037123766368c362237233710371037e636e336
3,3,0,e236e036db36db36d136d1360e371237a636cd3614371737d836d63657355735,9d369d36083708370e37103720372237173717371f372037e536e5360c370e37,ecfffcff78ff08002e013e01b6ff4e00fa1de452f2d856ac3e3a2c5152bdd8ba,dc36db361c371c37e436e436103712378d368d362237213710370f37e236e536
4,4,0,e136e236d936dd36cf36cf360e370e37cc36ce3615371337d736d73658355735,9c369d3608370937113710374e3820371637173720371f37e536e7360d370e37,fcff0e00180086ff5e019e01c6ffb6ffc2acb8cbf853ec2ce6ae0ce8944c0806,dc36dc361b371b37e536e5360f3710378c368c36233724370f371037e336e436
5,5,0,e336e136d936d836cd36cf360e370e37a536cc3617371437d736d63657355935,9d369d360a37073710371137223721371837173721371f37e536e5360c370c37,ecffdcff260026004e011e015e00d6ffce3466e224d216267018e4c59e01b24a,da36dc361f371e37e536e536123712378c368d362137253711371037e536e436
6,6,0,e136e336db36db36d136ce360e371237cc36cc3615371737d936d73656355635,9d369c360937083710371037203750381837163721372037e636e5360a370c37,3e002e0078ff78ff6e011e013e004e00aa1d0653d6d9d2ab2e3aa65162bdc8ba,db36da361d371e37e236e33611370f378d368d362237233713371037e436e436
7,7,0,e336e336db36dc36ce36d4360c371037cb36cb3616371737da36d73657355735,9b369b3608370a370d371037233721371737173720371f37e436e6360a370a37,fcfffcff260008002e015e01c6ffc6ff92ac38cbd853b02de6aecae72c4d0607,db36db361b371e37e136e636103710378d368d36233722370e371037e236e536
8,8,0,e236e236de36d836cf36d0360e371037cc36cd3614371637d936d63653355935,9b369d360937093710370e374e3821371937193720372137e636e5360e370e37,ecffdcff080036005e013e016e00d6ff4035a2e252d16425901844c60e01d24a,db36dc361c371c37e436e53612371037653667362437243710370f37e436e336
9,9,0,e036e236dd36db36d036cf3610370e37a636cb3612371537d736d63656355635,9c369d3608370a3710370e374f381f37193718371e372037e536e6360d370b37,2e001e0096ff78ff8e014e012e002e00b81cd45200dbc2ab0c39fe51b2bd58ba,db36da361d371e37e436e336103710378c368d362337233711371037e336e336
10,10,0,e136e236d936dd36cf36cf3610370e37cd36cd3616371537d936d73658355835,9d369c36083708370f370e3720372037183717371d371f37e636e7360c370c37,fcff2e00180078ff2e016e01c6ffb6ff78ad06caf853422e86ae2ae7b44c3208,da36dc361e371c37e536e3360e3710378e368e36263722370f370f37e236e336
11,11,0,e336e336db36d936cf36cf360f370e37cc36cd3615371637d936da3659355a35,9b369e36093708370f3710374c384d381737183720371f37e436e7360b370c37,ecffccff0800faff1e015e013e004e00903514e322d1e2240219b6c66600a24a,da36da361e371f37e536e436123710378d368c362337213711370e37e336e336
12,12,0,e336e136d936db36d436d03611371137cb36cd3616371537d936d63658355735,9d369d36083709370f3710374e384c381637153720371e37e636e3360c370b37,1e001e00080008006e016e014e00c6ff881c065362db76ac1c390e52f2bd58ba,dd36da361c371b37e536e536103710378d368e36243723370e370f37e436e536
13,13,0,e336e236dc36dc36cf36d13610370d37cd36cb3614371537d936d93656355635,9d369c3609370a371037103720374c381637193720372037e636e5360b370b37,0e00fcff18005aff4e018e01d6ffa6ff78ada6c9e853a22e76aef6e58c4d1a09,d936da361c371b37e436e63610370f378e368d36263722370e370f37e536e336
