Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,e536e336d936d936cf36cf360f371037a736cb3617371537d536d93653355135,9e369e36e2360837103713371f371e37153715371f371e37e336e6360b370b37,a0ff14000800d6fff0ffe0ff120002000022b410fe2826b484ad3448d23716f7,db36db361a371b37e436e136103710378c368b361c371f3710370e37e336e236
1,1,0,e636e736db36dc36cf36cf360f371037cc36cb3617371737d736d7364d355035,9d369c36063709370f3712371f371e37133713371e371f37e336e6360b370837,f2ff0400f6ffe6ffc0ff1200f2ff0200825216b818c81e097ceeaa3df04b72ae,d936da361d371d37e436e4361037113767368a361d371c3711370d37e336e336
2,2,0,e636e336d936d936d136d13613371237cb36cb3617371737d836d73652355135,9f369d3605370637113710371f371d37123714371e371e37e436e5360a370e37,2400f2ff0800e6ff120012001200d2ff641080c246b45051044896dda6f6b6d6,db36da361c371c37e436e3360f3710378f368d361f371d370e371037e336e336
3,3,0,e436e436db36db36d236cf3612370f37a536ca3616371837d636d7364f355235,9d369e3606370637123710371d371e371537113720371e37e436e23609370b37,2400c0ffe6fff6ff1200e0ff0200e2ffd6b780225e09ce280a3d84ad62ae0238,da36dc361b371b37e236e336113710378c368c361d371f370f370f37e536e236
4,4,0,e436e436da36db36cd36d03612371137cb36a73618371937d736d83651355035,9c369d360737e236113712371e371f37123715371f371d37e536e6360c370b37,e2fff2ffe6ff08001200d0ffe2ff120012c3b252b051c8c726dd48f016d74a4b,da36da361d371c37e136e236123711378c368b361e371f3710370f37e236e336
5,5,0,e336e436dc36df36d136d03610371037a636cb3618371437d936d53652355435,9d369b360837e236113710371d371f37113714371e371d37e536e6360a370a37,f2ff24000800e6ffe0fff0ffc2ff1200202314101e2886b494ad5448623826f6,dc36d9361b371e37e336e136103710378b368a361d371e370e370f37e336e336
6,6,0,e336e636db36db36d036ce360f371037a736ca3616371637d736d63653355435,9d369c360737e336103712371e371f37143713371c371e37e636e3360d370a37,f2fff2ff0800e6ffe0ff32002200e2ff825258b758c7560a48f0763cda4a32ae,d936db361e371c37e236e3360f3711378b3667361e371d3711371037e336e236
7,7,0,e536e436db36d936d136d23611371137a536cb3615371437da36d93653355135,9c369d3606370637113710371e371e37173713371e371e37e436e4360a370a37,1400c0ffd6ff0800e0fff0ff0200e2fff40e52c3d6b4b051844892dc96f5f2d7,d936da361d371d37e336e3361037103766368c361e371e3710370f37e136e336
8,8,0,e236e436db36db36d036cf3611371237cb36cb3614371b37d636d83651355135,9d369d36063706370e3712371c374438133713371f371f37e336e3360a370d37,f2ff0400e6ff18002200f0ff2200e2ffe8b616244e0b8c27563ce4ad32ae3639,dc36da361b371e37e136e336123710378b368e361e371e3711370f37e436e436
9,9,0,e636e336dc36db36ce36d03612370f37a736ca3617371537d336d73651355235,9c369f36063706371137113744381c371237143720371f37e236e4360a370b37,e2ff0400d6ff28002200e0ffe2ff220018c4a252c051b2c622dcdaf042d8fa4a,da36d9361d371c37e436e3360f3711378a368b361e371f3711370f37e436e336
10,10,0,e636e436dc36db36cf36cf3613370e37ca36cb3617371637d636d63651354f35,9d369c360637e136103712371e371f37153713371d371d37e436e3360b370937,f2fff2ffe6ffd6ffe0ff0200f2ff220046240a0fc626b6b4a4ad6649b839f6f4,dc36dc361c371c37e536e336103711378c3666361f371f3710370f37e336e336
11,11,0,e336e236db36d936d036d23610371037a736a53616371937d936d73651355135,9d369b3606370637103714371e371e37123713371d371e37e536e4360a370b37,040024000800e6fff0ff020002000200525296b642c6ae0baaf1e43b8a4a22ae,d836da361b371b37e436e336103711378a368c361e371c370e370d37e336e236
12,12,0,e736e336dd36db36cf36d03610371037a636a73617371537d636d73652354f35,9b369f3606370737103710371d374438163715371e372037e536e4360c370c37,46000400f6ff2800220022000200c2ffea0e68c4a2b500526649a2dafcf366d9,da36db361e371b37e336e63610371237673667361f371c3710370e37e436e336
13,13,0,e436e436da36dc36cd36cb3610371137cb36a73617371737d536d83654355435,9b369c360637063710370f371e371e371537143720371e37e536e4360b370b37,1400d2ffc6ff2800020022001200e2ff86b6d824fe0b5626843bf4add2ad183a,dc36dc361b371d37e336e03610371137683667361e371e370e370e37e336e136
14,14,0,e636e436dc36dc36ce36d03611371137a636ca3616371737d736d93653355235,9c369d3607370537113710371e371f371437143721371e37e536e5360a370a37,e2ff0400f6ff08001200d0ffe2ff1200c8c422520052b2c5f2da58f2b6d93a4a,da36dc361b371c37e336e53612371037673666361c371f3710371037e336e436
15,15,0,e736e736d936db36d136d03611371037cb36a73619371737da36da3652355235,9d369c36063707371037103720372037163712371f371f37e536e3360b370937,f2ff46002800e6ff2200f0ff120002004825100dc625f2b5e4ad8649783a8cf3,da36dd361c371e37e136e436113712378e368b361d371f370d370d37e236e336
16,16,0,e736e836db36db36d036d03612371237cb36cb3617371937d836d53653355235,9b369c36e2360837113714371d374438163711371e371e37e536e5360b370c37,46001400d6fff6ffd0ff120022000200625256b6a2c5be0cb6f2843a3a4a12ae,da36db361c371e37e436e33611371137673667361e371d370e370e37e436e436
17,17,0,e636e436dc36da36d036cf3613370f37a736a73615371737d736d63653355335,9d369c3607370737133712371e371d37133714371f371d37e336e53609370737,1400d2ffc6ff0800f0ff22002200e2ffb00c28c512b6e251d64992dac6f236da,da36dc361d371c37e436e336113712378c3668361f371b370f370f37e336e236
18,18,0,e636e636dc36da36d136cf3613371037cb36a53617371737d836d73651355235,9c369c36083706370f3710371f371d37123714371c371e37e536e6360d37e636,e2ffe2ffe6ff080022001200e2ff0200ccb5c8256a0d6625743a04ae02aec83a,db36da361e371e37e136e536113711378d3666361b371e3710370f37e136e336
19,19,0,e436e436db36dc36cd36d1360e371237a636cb3615371637da36d73653355035,9c369d3606370637123711371c371c37153716371e371e37e136e5360b370a37,14001400080008001200e0ffd2ff120098c5f2514a5262c5f2d956f308dbea49,db36da361b371b37e336e136123710378b368a361b371d3710370f37e436e336
20,20,0,e636e536dd36da36cf36d13610371037cb36cb3616371837d936d83653355435,9c369b3607370637123711371c371d37133714371d371e37e536e4360c370a37,f2ff56000800d6ffd0ff2200f2ff6c0052260e0c262512b624aeac4a483bd6f2,dc36da361c371f37e136e136103710378b368b361c371f370e370e37e236e236
21,21,0,e536e736db36db36d236ce3611370e37a736a63619371937d736d63654355135,9e369c3606370537113712371a371e371237153720371d37e536e6360c370c37,0400f2fff6ffd6ffe0ff12001200020022527cb586c47a0db6f3343aaa49e2ad,d936dc361c371c37e436e2360e37123767368c361e371b370e371037e236e336
