Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,e336e136da36d936ce36cd360f370f37cb36cb3617371737d736d63657355435,9c369b3609370937103710371e374d38183716371e371f37e636e5360b370c37,2a00e8ff260026000c00faff3000d6ff244cf84370aedac888538c2532b1fcf0,da36db361d371b37e336e336113710378f368d36263722370e370e37e536e536
1,1,0,e136e236d936d736cf36d1360c370d37cc36cd3617371937d636da3653355435,9c369e3609370837103711374f382037183717371f371f37e636e5360d370d37,1a002a00260026001c001c00b6ffb6ff34bb9e0742373ce5b4db5a2ec20e98c0,dc36db361b371b37e536e1361237e8368d368d36213721370f370f37e336e536
2,2,0,e236e236d836d936d036ce360f370e37cd36cc3617371837d636d53654355635,9d369c360a370937113710371e374c38143716371f372037e436e5360d370d37,e8fff8ff34003400faff0c0030003000d0f95eb40419da517cd122ad683f4e4e,dc36dc361c371c37e136e3360f370f378d368d36213723370f370f37e436e336
3,3,0,e336e136d936d836d136cf360f370e37cd36cc361b371737d736d73656355735,9e369e36093709371037123720372037173717371f371f37e536e5360d370d37,0a000a00a6ff44000c000c0030003000d44b1a4570aecac88853fc25f2b0aeef,da36dd361c371b37e336e136113710378f368d362137223710370f37e536e436
4,4,0,e336e336d736d836d036d0360e370f37cc36cd3617371837d836d73655355535,9e369d360937093711370f37213722371737173720371f37e636e5360d370c37,f8ff2a00a6ffa6ff1c001c00b6ff100024bb640592378ce624da9a2dc2107cc1,db36db361b371c37e436e3360e3710378d368f362237213711370f37e436e436
5,5,0,e336e436d936d936ce36ce360f370d37cd36cd3617371337d736d73658355635,9d369c3609370837103710374e382137163715371f371f37e636e5360b370e37,e8fff8ff44002600bafffaff2000400010fa9eb4fc19ca51ecd1f2acfc3e6e4e,dc36dc361e371c37e036e4360f370e378f368e36223721370f370e37e636e536
6,6,0,e436e236d836db36cf36cf360e370e37cd36cc3617371737d636d53653355435,9e369e3608370a3712370f371f374a38183717371e371f37e736e5360d370d37,f8fff8ffa6ff1600faffcaff10002000de4abc4690aec8c7a853f626e2b0aeee,dc36da361e371e37e436e23612370f378f368d36213723370f371137e436e536
7,7,0,e436e336dc36d936ce36d0360f370d37ce36cd3618371737d936d63658355435,9e369c3608370737123710371f374e38153718371e371c37e536e7360c370c37,0a001a00160034001c002c00c6ffb6ff94ba4405be389ce614da2a2dca11dcc1,db36dc361b371c37e536e3360f3711378e368e362137253710371037e336e636
8,8,0,e236df36d936d736cf36cf360d370e37ce36cc3618371837d636d63657355635,9d369d36093709371137123721372237193715371f372037e536e5360d370d37,e8fff8ff34003400fafffaffc6ffd6ffe0fabeb424183051aad2f2ac1c3ebe4e,db36db361f371d37e536e536113710378d368f36223722370f370f37e636e336
9,9,0,e336e336d836d736cf36d0360e370f37cf36cc3619371b37d636d63657355535,9d369d36073709371137103722372237173717371f372037e636e7360c370e37,0a00f8ff26002600faffeaff20003000be4aec46a0ae50c6885356277eb00eee,db36db361d371d37e136e536103712378d368d362537233710371037e436e536
