Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,e836e436db36db36d436d13612371037cc36cb3615371537d936d63654354e35,9d369d3606370637113711371c371f37133714371f371e37e336e4360b370a37,0a00d8ff0000eeffe4ff1600fafffaff3c06f499aa9434f8623abe6b9e4646c6,dd36dd361c371c37e236e336123714378b368c361f37203711371337e336e436
1,1,0,e636e636de36dc36d136ce3611371037cd36cb3615371737d636d63654355535,9e369d36053708370e3712371c371d37133715371f372037e436e5360a370837,e8fff8ff10003000f4ff1600faffcaffa23cd26a0e4564c44a9960ba00fa9666,db36da361b371b37e536e436113712378e3667361f371f3711371037e236e036
2,2,0,e636e436db36da36d036d13612371037cc36cb3615371537d636d73654355235,9d369d360737e23612370f371e371c37123714371e371f37e436e4360a370c37,2c00d8ff0000eeff16002600faffeaff749840bbdafb3467686a5a05c2c27c95,df36da361c371b37e336e436113712378e368d361e371e370f370f37e336e336
3,3,0,e536e836db36db36d136d13610371037cc36cb3614371337d736d63652355235,9f369e36073707370f3711371c371d371437143720372137e636e5360a370937,1a000a001000eeff1600f4ffcaff3200326ad00238c1ca95c8bc1e3e14682644,dc36dd361c371b37e436e236123712378d368d361f371f3714370e37e336e236
4,4,0,e636e736dc36db36d136d1360e371237cc36cb3617371437d436d5364e355235,9d369f360837e236103710371c371a37143714371f371f37e436e5360a370937,0a00e8ffeeff200016001600faffcaffbcbe543fcc688a427e01ee974c96aefd,dc36d9361b371e37e536e336133710378c368f361d371e3710370f37e236e336
5,5,0,e536e636db36da36d136ce360f371337a736cb3617371937d836d63652355235,9e36a03606370637123710371a371d37143713371f371f37e436e43607370c37,1a002c0000001000d4ff2600faff0a0064ffe296ca962afff2408a6994402cc0,db36dc361c371b37e636e436123713378d368c361f37203711370e37e236e136
6,6,0,e436e436dc36dd36d136cf3610371237cb36cc3615371437d636d7364f354e35,9f369f36e13607370f3711371c371c371437133722371e37e336e53609370a37,0a00f8ff100000003600f4ffcaffeaff2042c8681e4084bec29638bffc004a69,da36db361b371c37e336e5360f3712378b368d362137213711371137e336e136
7,7,0,e336e336db36dc36d136d13610370f37a736a73614371437d636d73651355235,9e369e36063706370f370f371c371b371437143720371e37e436e3360b370737,1a00e8ff0000deff16000600320052007296c0c0e8028c69626888fd3ebd4c97,db36db361b371d37e436e436123713378e368b3620371f370f370f37e136e336
8,8,0,e436e436dc36db36d036ce3610370f37cc36cb36ee361337d936d93652355435,9f369e360937e23610370e371f371e37153712371f371e37e436e4360b370b37,d8fff8ff10000000d4ff1600eafffaffc86782fca2bbe49720c20c43126a463e,db36dd361d371c37e336e2360f3710378a368c361e37223712371337e336e236
9,9,0,e436e436dd36da36d336d2360f371137a736ce3616371637d736d63653355035,9d369d3607370737103710371a371b37133714371f371f37e436e33609370b37,0a00e8ffdeff000046000600eaffcaff98c3f644846a9a3c5efa62959a988e04,dc36dc361b371c37e436e536113711378d368a361e37213710371137e236e436
10,10,0,e436e636db36dd36d236d23612370f37cc36ca3617371537d836d63653355435,9d369c3606370837113712371d371f371337133720372137e536e53609370b37,0a001a00deffeeffe4ff0600faffeaff5ef85095d4981c06f0458267143b7cba,dc36db361c371b37e336e436103714378d368b361f371e3711371137e236e236
11,11,0,e736e736d936dc36d136d43610371037cb36cb3617371537d736d73651355235,9f369c3607370837103712371c371c371337153720371f37e236e3360d370a37,c6ff0a00100030004600f4ffcaffeaff76471867ac3952b9ce94cec59408326b,db36dc361b371c37e536e636103712378a368b361f371f3710371137e336e336
12,12,0,e436e736db36dc36d336d03612370e37cb36cb3619371537d736d63651355435,9e369e3607370737103711371e371c371437123720371e37e436e3360b370b37,0a00d8ffceff000016002600fafffaff909490c60609446b1666c6f6cab7c099,db36da361b371c37e336e436113711378c368c361e37203710370f37e136e236
13,13,0,e836e636da36dc36d336d43610371037cb36ca36ee361437d636d73652355135,9e369d360637e236103711371c371c371237113720371e37e336e5360a370b37,f8ffd8ff00001000f4ffe4fffaff0a00366524f5b2b6769a1ac82449dc6b8238,db36db361a371c37e436e336123714378d368e3620371e3711371237e436e136
14,14,0,e636e636db36db36d236d3360e371237cb36ca3614371637d936d73655355235,9f369e360637e2360f370f371e371c37113714371f371f37e336e2360a370a37,e8ff2c0020000000260006003200daffb8c9f0493a6ce83630f42e944c9b180b,db36dd361a371c37e536e536143712378a368a361e37203710371037e236e336
15,15,0,e636e436db36dc36d536d53611371037cc36a73616371537d636d73655355535,9f369e3606370637113711371b371c37143713371c372137e536e5360c370a37,0a00e8ff0000eeffe4ff2600420042001af21094ba9b720c124b326464359cb5,dc36dc361a371b37e236e436113712378d368b36203720370f371037e136e336
16,16,0,e736e636db36dc36cf36d03610370f37cd36cc3614371537d736d63653355235,9e369e360737073710370e371c371c371437153720371e37e236e33609370837,d8fff8ff300000002600c4fffaffeaffba4c5c63f83300b46c93eccafa0e5c6c,db36dd361a371b37e536e436113712378d368d3620371c3710370f37e436e236
17,17,0,e736e736dc36db36cf36d23611370f37cc36a83615371437d636d73653355335,9e369e3607370537113710371d371a37113713371e371f37e436e53609370a37,f8ff1a00eeffeeff060016000a000a003693b2ccea0f8a6cfc62b2efeab2d69c,dd36dc361b371c37e336e436113711378e368d361f371e3710371137e136e236
18,18,0,e336e736dd36dd36d036d23611371137cb36cb3616371637d736d63653355135,9d369d360737073710370f371d371e371437143720371f37e536e3360a370b37,f8ffd8ff0000100016001600faff0a003c6240eeaab17c9d56ce9c4d346d4232,db36dc361d371c37e436e136103712378e368a362037203711370f37e136e136
19,19,0,e336e636db36da36d136d3360f371237cb36cc3615371537d636d93652355435,9f369d36e23607370f3710371c371c371337113721371f37e336e4360a370a37,f8fff8ff000000002600e4ffeafffaffc6cfac4e3a6dba30f6ecc0923e9e2212,dc36da361c371c37e436e636133712378c368c361e371f3710371137e036e136
20,20,0,e436e736dd36da36d336d43610371337cb36cc3616371437d636d63652355135,9e369d360737e336123710371d371b37153713371f372337e336e5360a370937,1a003c00eeffdeffe4ff360052000a0034eb7692ec9ea813fa4f88614c2f42b0,db36db361d371e37e536e03611370f378c368c361f371d3711371137e436e436
21,21,0,e636e336db36dd36d136d0360f370e37cb36cb3615371737d636d73653354e35,9d369d360837083711370f371b371d371437153720372037e636e4360937e536,0a003c0010008a00e4fff4ffdaff4200d6515460d02ddaae46923cd28415a46d,dc36dc361d371e37e336e336103710378a368d361f371f3712371237e236e236
22,22,0,e636e636dc36dc36d036d23610370f37cb36ca3617371537d536d63651355335,9e369f3607370637103710371d371c37163713371f372137e336e3360b370937,0a00f8ffeeffeefff4ff06000a00faff36925ed3c816da6df05fd0e9b4ad4ca0,dc36db361b371b37e436e436123712378a368d361f371e3711371137e236e236
23,23,0,e736e636dd36dd36d336d23610370e37ca36cb3616371737d636d8364e355235,9f369e36083706370f370f371c371a37153714371f371f37e336e5360a370837,1a001a0010000000f4fff4fffaff4200e05ef0e7f8aca6a042d49652e46d042c,dd36dc361c371c37e336e3361137113766368a3622371f370f371037e336e336
24,24,0,e336e736dc36dd36d236d03610371237cb36ca3617371637d736d63653354f35,9f369d3607370837113710371c371a371437143720372037e436e33608370c37,0a001a00eeff200026000600eaffcaff5ad656532a6eee2a8ce6e69172a14819,dd36db361d371d37e436e436103710378b368d361d371f3711371137e236e336
25,25,0,e436e336db36dd36ce36d13611371037cc36a83615371637d636d93652355335,9d369d3606370737113712371d371f37153712371f372037e636e53608370a37,e8ffe8ff1000400016001600eafffaff8ee416927aa2661a7c54e45dac28ccab,da36dc361c371b37e136e436103714378b368d361d371e3710371237e236e236
