Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,e036e436dc36dd36cf36cf3611371137a736a6361c371637d536d4364c352735,9c369f36e336e2360f370e371f371f371437163720371f37e136e336e5360b37,420022000000d4ffe4ff1400f2ff1200541856caf8f0f4e7e4cf5c0e66c02630,da36dc361c371c37e636e3361437143766368c362237213710370d37e536e336
1,1,0,e636e436db36db36ce36d13612371237cd36cb361b371e37d436d6364c354c35,9c369e36e23607370e3710371f371d37153716371f371e37e436e4360a370a37,f2ff2200d4ff3e00c4ff1400c2ff12001acf8e0f5cc09c30a4c9843f56e72636,db36da361c371c37e436e0361637143768366836233722370d371037e336e236
2,2,0,e636e536dc36db36cf36cf3610370f37cb36ca3619371d37d636d4364d354b35,9d369c36063707370f370f371e372037153715371e371f37e436e2360a370b37,32003200a6ff3e00040044003200f2ff56ca543f04e810365e0f3e18b63066f0,db36d9361d371b37e436e3361637143767366736253724370d370e37e136e336
3,3,0,e536e436db36db36d036d03613371237cb36a6361b371937d436d73627354d35,9c369e36e236e0361037113722372037143716371e371e37e336e33609370737,12001200e2ff3e00440014002200e2ff4e0f7417dc3078f0943fd4ce063656c0,d936da361c371d37e236e4361237153766366836233725370f370e37e236e136
4,4,0,e236e236dc36dd36d136d03613371237a736a63619371b37d436d33626354d35,9d369c36053706371237123746381f37143713371f372137e536e43608370837,3200f2ff0000c4ff1400f4ff02001200643feacee0355cc02e18e4c966f0e6e7,db36dc361a371c37e436e2361437143766366736223724370d370f37e336e136
5,5,0,e436e436dc36db36cf36d13614370f37ca36cb3616371a37d636d7364c354c35,9b369d360737e0361037103746384638163718371c372037e236e33608370c37,220002003e00d4fff4ffe4fff2ff0200441776caf8ef54e8e4ce9e1066c0e630,d936dc361d371c37e436e2361437143766366836243722370e370e37e336e136
6,6,0,e336e536d836dc36d036d23611371137cc36a6361b371937d536d4364d354d35,9a369b36e13606371137133743384438163716371e371d37e536e13609370837,12003200c4ffc4ffc4ff1400f2ff2200dace1e104cc03e31c4c9743f36e9b635,da36da361d371a37e436e1361637123767366736223724370d370d37e236e236
7,7,0,e436e636dd36d936d136cf3613371337cb36cb3619371737d436d6364c354d35,9e369f36e236e2360e3710371f372037163717371f371f37e336e4360b370937,e2ff2200d4ff5c00f4ff1400e2ffe2fff6ca743f24e9d0355e101e165631e6ef,da36da361d371c37e436e3361537153766366736233721370e370e37e136e136
8,8,0,e636e336da36dd36d136d2360f371037a736a63619371c37d536d5364a354c35,9c369c36e13607371037103747381f37163714371e372037e436e33608370a37,32003200e2ff3e002400f4ff6200f2ffde10d416ce3108ef843fc4ceb63576c0,d836da361b371b37e136e336123715378b368b36223722370e371037e236df36
9,9,0,e436e436dd36d936cf36ce3612371537cb36cb361b371437d536d3364c354c35,9e369e360737e1360e3710374a3846381637173720371c37e436e23609370a37,220002004e00f2ff0400d4ff1200e2ff643f7ace20354cc08e16a4caf6ee66e9,d836da361c371e37e436e4361737163768366536213722370d370f37e136e336
10,10,0,e436e436dc36db36cf36d13615370f37a736a43619371937d436d5364b352535,9c369a36053705370f37103746381f37153714371d371e37e436e0360a370837,320002004e00b4ffe4ff0400e2ff1200421616cbf8ee84e944ce9e1036c00632,db36da361d371e37e436e4361637113767366736213720370d370e37e136e236
