Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,e336e236d936d936cf36cf360d370c37cd36cb3617371737d836d73658355c35,9f369d3609370a3711370f371e371f37173719371e372037e736e5360b370d37,00000000ceffbeff1e001e0008002800e40aa40cd826782698f5b8f35ad9bad9,da36db361c371a37e436e436103712378e3690362237253710370f37e436e336
1,1,0,e236e336db36d936d036d1360d370e37a536cc3616371737d936da3659355c35,9c369e36083709371037123720372137173718371f372137e836e7360a370d37,3200eeff2a00ceff2e00ccff1800a8ff9007e20898278827b8f908f89ad88ad8,da36dc361c371c37e336e136103711378d368d36243723370f371037e336e436
2,2,0,e136e436d836da36cf36ce360d370e37a736a73616371737da36d9365a355935,9d369e3608370937103710371f372037173716371f372037e736e7360d370d37,deff1000a0ff0a00fcfffcff98ff1800be028e04a8279827b8fd98fb3ad85ad8,db36db361c371d37e336e53610370f378e368d362737223710371037e536e536
3,3,0,e436e436d936dc36ce36d0360d370c37cc36a63618371637d936da365c355c35,a0369e36083709371037113722372037163716371f371f37e636e4360d370d37,eeff00001a002a001e000e00180018007afe9c0048279827960188ff7ad83ad8,da36da361a371b37e536e436113711378f368e362437233711371137e536e336
4,4,0,e136e236da36da36d036d0360f370d37a736a53617371937d736da365c355935,a0369e36093709371237103720371f37163716371f372037e536e7360d370d37,000020001a002a00fcff0e00a8fff8ffa8fa98fc9826b8268605c603cad89ad8,db36da361c371c37e536e536123711378e368f362337243711370f37e536e436
5,5,0,e436e236dd36db36cf36d1360d370d37cc36cc3617371637d836d73659355735,9f369f36083709371037103720372037173716371f371f37e736e6360c370e37,100000000a001a000e000e00f8ff180064f6a6f88825182676099607aad96ad9,dc36dc361c371b37e436e43610370f378e368c36253722370f370f37e536e436
6,6,0,e236e436d836d936d036cf360e370c37a636a336ed361637d936d73658355935,9f369f360837083711371037223720371737163720371f37e636e7360e370b37,eeffeeffa0ff1a00fcffecff08002800d2f282f4e8239824c60dd60b4adbbada,db36db361b371c37e536e536e83611378e368d362237233710370f37e436e536
7,7,0,e136e336db36db36cf36d0360e370d37cb36cd3617371937d636d9365b355b35,9d369f36083709371037113722372037153718371e371e37e636e7360e370d37,deffeeffceffaeff0e000e00080028007eee50f1f82138236411e40f7add3adc,dc36dc361b371c37e136e6361037e9368e368f362237233711370f37e436e536
8,8,0,e236e436db36dc36d036cf360e370d37a736a53617371637da36d7365c355935,9f369e3608370b371437103722372237163717371f372037e636e7360c370b37,000000001a001a00fcffecff080028003cebececf81fc820641594131adf2ade,db36db361c371b37e536e236103710378e368f36233721370f371037e436e336
9,9,0,e136e336db36db36d036cf360d370d37cd36a63617371637db36d93659355b35,9f369f36093709371437103722372137173716371d371e37e736e6360c370c37,eeff00002a00a0ff0e000e00f8ff18002ae8dae9281d381ed418d417aae18ae0,db36dc361b371c37e436e33610370e378c368e362637233710371037e336e536
10,10,0,e436e236d936d936cf36cf360d370e37a636a63618371637d936d73659355a35,9f369e36093709371137103721372137173717371f371f37e636e6360b370b37,eeff000080ff1a002e00fcff0800080036e436e5f819681b141c841a1ae53ae3,db36da361c371c37e136e5360f37103790368e36223721370e371037e636e636
11,11,0,e136e136dd36da36cf36cf360e370d37cb36cd3615371637d936d93659355935,9f369f3608370a371237123721372237163717371e371f37e736e5360f370d37,1000eeffbeffbefffcff1e0008001800e4e1c6e27a169818621e421deae75ae6,dc36db361c371c37e436e5361137e8368d368f362437223710370f37e436e436
12,12,0,e436e436db36db36d036d1360f370c37cb36cc3619371637d736d7365a355935,9e369f36093708371137143721372037163718371e371f37e636e6360c370c37,000000002a00a0ff0e000e0018000800d2dee2df7a133a150221c21fbaeb6ae9,dc36dc361c371c37e536e536103712378c368f362237253710370f37e336e536
